sent_id	phrase_text	word_n	character_n
train-s1	看似+	1	2
train-s1	只+	1	1
train-s1	二+	1	1
train-s1	一+	1	1
train-s1	决择+	1	2
train-s1	他们+	1	2
train-s1	的+	1	1
train-s1	但+	1	1
train-s1	其实+	1	2
train-s1	是+	1	1
train-s1	你+的+周遭+	3	4
train-s1	亲朋+	1	2
train-s1	着+	1	1
train-s1	你+	1	1
train-s1	不同+的+意见+	3	5
train-s1	最后+	1	2
train-s1	的+	1	1
train-s1	但+	1	1
train-s1	还是+	1	2
train-s2	的+	1	1
train-s2	就算+	1	2
train-s2	其+便当+	2	3
train-s2	也是+	1	2
train-s2	妈妈+	1	2
train-s2	后来+	1	2
train-s2	其实+	1	2
train-s2	厄运+	1	2
train-s2	电视+台+	2	3
train-s2	父亲+	1	2
train-s2	则+	1	1
train-s3	游行+次+这+最大+的+特色+	6	9
train-s3	于+	1	1
train-s3	越来越+多+年轻+人+	4	7
train-s3	而且+	1	2
train-s3	当中+	1	2
train-s3	躁+少年+	2	3
train-s3	行动+	1	2
train-s3	的+	1	1
train-s4	怀孕+期+	2	3
train-s4	为+	1	1
train-s5	中+	1	1
train-s5	的+	1	1
train-s5	婷婷+	1	2
train-s5	向+婆婆+	2	3
train-s5	与+	1	1
train-s5	她+	1	1
train-s5	的+	1	1
train-s5	为+什么+	2	3
train-s5	生活+	1	2
train-s5	会+	1	1
train-s5	不+	1	1
train-s6	就算+	1	2
train-s6	数论+的+应用+	3	5
train-s6	被+	1	1
train-s6	了+	1	1
train-s6	也+	1	1
train-s6	不会+	1	2
train-s6	人+	1	1
train-s6	会+	1	1
train-s6	因+此+	2	2
train-s6	一+这+数学+的+皇后+	5	7
train-s7	商圈+一中+一+另+特色+	5	8
train-s7	类型+同+商店+	3	5
train-s7	会+	1	1
train-s7	短短+的+育才+街+	4	6
train-s7	了+	1	1
train-s7	家+十数+知名+眼镜+连锁+店+	6	10
train-s7	而+	1	1
train-s7	体育+用品+店+	3	5
train-s7	沿着+太平+路+	3	5
train-s7	一+线+	2	2
train-s7	在+激烈+竞争+	3	5
train-s7	价格+	1	2
train-s7	比+外地+	2	3
