sent_id	character	component_n	stroke_n
651	刚	3	6
651	才	1	3
651	秘	2	10
651	书	1	4
651	处	2	5
651	已	1	3
651	宣	4	9
651	布	2	5
651	五	1	4
651	分	2	4
651	钟	2	9
651	后	2	6
651	复	2	9
651	会	3	6
652	现	2	8
652	在	2	6
652	时	2	7
652	间	2	7
652	已	1	3
652	过	2	6
652	了	1	2
652	五	1	4
652	分	2	4
652	钟	2	9
653	我	1	7
653	想	3	13
653	跟	2	13
653	大	1	3
653	家	2	10
653	说	3	9
653	今	3	4
653	天	2	4
653	的	3	8
653	会	3	6
653	议	2	5
653	分	2	4
653	为	1	4
653	两	1	7
653	部	3	10
653	分	2	4
654	第	3	11
654	一	1	1
654	部	3	10
654	分	2	4
654	是	2	9
654	刚	3	6
654	才	1	3
654	大	1	3
654	家	2	10
654	已	1	3
654	完	3	7
654	成	2	6
654	的	3	8
654	宣	4	9
654	誓	3	14
655	而	1	6
655	第	3	11
655	二	1	2
655	部	3	10
655	分	2	4
655	是	2	9
655	选	3	9
655	举	3	9
655	立	1	5
655	法	3	8
655	会	3	6
655	主	2	5
655	席	2	10
656	我	1	7
656	知	2	8
656	道	2	14
656	有	2	6
656	同	2	6
656	事	1	8
656	对	2	5
656	主	2	5
656	席	2	10
656	候	3	10
656	选	3	9
656	人	1	2
656	的	3	8
656	国	2	8
656	籍	5	20
656	问	2	6
656	题	3	15
656	有	2	6
656	些	3	8
656	意	2	13
656	见	1	4
657	要	2	9
657	求	1	7
657	候	3	10
657	选	3	9
657	人	1	2
657	就	4	12
657	某	2	9
657	些	3	8
657	方	1	4
657	面	1	9
657	作	2	7
657	出	2	5
657	澄	5	15
657	清	2	11
658	由	1	5
658	于	1	3
658	今	3	4
658	天	2	4
658	的	3	8
658	会	3	6
658	议	2	5
658	并	4	6
658	没	3	7
658	有	2	6
658	任	3	6
658	何	3	7
658	程	3	12
658	序	2	7
658	容	2	9
658	许	3	6
658	我	1	7
658	们	2	5
658	在	2	6
658	会	3	6
658	议	2	5
658	厅	2	4
658	内	1	4
658	进	2	7
658	行	3	6
658	澄	5	15
658	清	2	11
658	提	3	12
658	问	2	6
658	辩	3	16
658	论	3	6
658	或	2	8
658	谘	4	11
658	询	3	8
658	等	3	12
658	因	2	6
658	此	2	6
658	我	1	7
658	们	2	5
658	不	1	4
658	可	2	5
658	以	2	4
658	在	2	6
658	会	3	6
658	议	2	5
658	厅	2	4
658	内	1	4
658	进	2	7
658	行	3	6
658	这	2	7
658	些	3	8
658	工	1	3
658	作	2	7
659	不	1	4
659	过	2	6
659	为	1	4
659	让	2	5
659	一	1	1
659	些	3	8
659	关	4	6
659	注	3	8
659	此	2	6
659	事	1	8
659	的	3	8
659	议	2	5
659	员	2	7
659	能	2	10
659	获	3	10
659	澄	5	15
659	清	2	11
659	我	1	7
659	建	2	8
659	议	2	5
659	梁	2	11
659	君	2	7
659	彦	3	9
659	议	2	5
659	员	2	7
659	稍	3	12
659	后	2	6
659	到	3	8
659	会	3	6
659	议	2	5
659	厅	2	4
659	外	2	5
659	向	2	6
659	新	3	12
659	闻	2	9
659	传	2	6
659	媒	3	12
659	交	2	6
659	代	2	5
659	他	2	5
659	的	3	8
659	国	2	8
659	籍	5	20
659	问	2	6
659	题	3	15
660	而	1	6
660	关	4	6
660	注	3	8
660	此	2	6
660	事	1	8
660	的	3	8
