sent_id	word_sound	upos	character_token_n	sound_n
A010001	['da']	a	1	2
A010001	['qiaŋ']	n	1	4
A010001	['n#', 'w#']	f	2	4
A010001	['b#', 'jjəŋ', '$i']	ns	3	8
A010001	['jian', 'yu']	n	2	6
A010001	['ji', '$i']	n	2	4
A010001	['san']	m	1	3
A010002	['tian']	nr	1	4
A010002	['$en', 'yiŋ']	nr	2	6
A010003	['huo', 'xu']	d	2	5
A010003	['yan']	nr	1	3
A010003	['toŋ', 'yi']	nr	2	5
A010003	['z#']	p	1	2
A010003	['$e']	r	1	2
A010003	['maŋ', 'lu']	a	2	5
A010003	['$oŋ']	f	1	3
A010003	['k#', '$i']	v	2	4
A010003	['suan', 'qjəŋ']	v	2	8
A010003	['le']	u	1	2
A010003	['w#']	p	1	2
A010003	['na']	r	1	2
A010003	['jiu', '$i', 'wan']	m	3	8
A010003	['jin']	q	1	3
A010003	['liaŋ', 'pi#']	n	2	7
A010003	['ta']	r	1	2
A010003	['yiŋ']	v	1	3
A010003	['fu', '$u']	v	2	4
A010003	['de']	u	1	2
A010003	['ju', 'da']	a	2	4
A010003	['d#', 'jia']	n	2	5
A010004	['y#']	d	1	2
A010004	['coŋ']	p	1	3
A010004	['xue', 'xi']	v	2	5
A010004	['$#']	u	1	2
A010004	['xue', 'xi#']	n	2	6
A010004	['coŋ', 'w#']	d	2	5
A010004	['xue']	v	1	3
A010004	['guo']	u	1	3
A010004	['$i', '$i']	n	2	4
A010004	['ren', '$eŋ']	n	2	6
A010005	['jiu']	p	1	3
A010005	['xi#']	nr	1	3
A010005	['li']	nr	1	2
A010005	['ge', 'ren']	n	2	5
A010005	['er', 'yan']	u	2	5
A010005	['yi']	m	1	2
A010005	['ti#']	q	1	3
A010005	['b#', 'ju']	n	2	4
A010005	['$i']	k	1	2
A010005	['lu']	n	1	2
A010006	['ruo']	c	1	3
A010006	['$e', 'hui']	n	2	5
A010006	['ji#', 'du']	n	2	5
A010006	['l#', 'kan']	v	2	5
A010006	['pan', 'xjəŋ']	v	2	7
A010006	['ji#', 'yu']	vn	2	5
A010006	['$i', 'b#']	vn	2	4
A010006	['jia', 'tjəŋ']	n	2	7
A010007	['fu', 'mu']	n	2	4
A010007	['qi', 'waŋ']	vn	2	5
A010007	['er', 'zi']	n	2	4
A010007	['$eŋ']	v	1	3
A010007	['loŋ']	n	1	3
A010008	['$oŋ', 'dian']	n	2	7
A010008	['$oŋ', 'xue']	n	2	6
A010008	['xue', '$eŋ']	n	2	6
A010008	['gui', 'guan']	n	2	7
A010008	['yi', 'men', 'xin', 'si']	l	4	10
A010008	['ba']	p	1	2
A010008	['zi', 'ji']	r	2	4
A010008	['qian', 'tu']	n	2	6
A010008	['he']	c	1	2
A010008	['qjəŋ', 'hua']	j	2	7
A010008	['b#', 'da']	j	2	4
A010008	['lian']	v	1	4
A010008	['yi', 'qi']	s	2	4
A010008	['$#', '$u', 'man', '$i']	i	4	9
A010008	['jue', 'de']	v	2	5
A010008	['$eŋ', 'quan']	n	2	7
A010008	['z#', 'wo']	v	2	4
A010009	['dan', '$i']	c	2	5
A010009	['g#', '$oŋ']	n	2	5
A010009	['bi', 'ye']	v	2	4
A010009	['ti', 'jian', 'bi#']	n	3	9
A010009	['$aŋ']	f	1	3
A010009	['se', 'maŋ']	n	2	5
A010009	['er']	m	1	2
A010009	['zi']	n	1	2
A010009	['yun', 't#', '$uan', 'xiaŋ']	i	4	13
