sent_id	lds_text	word_n	character_n
train-s1	看似+简单+	2	4
train-s1	只+是+	2	2
train-s1	二+选+一+	3	3
train-s1	做+决择+	2	3
train-s1	他们+代表+的+	3	5
train-s1	但+	1	1
train-s1	其实+	1	2
train-s1	是+	1	1
train-s1	你+周遭+的+	3	4
train-s1	亲朋+好友+	2	4
train-s1	试+着+	2	2
train-s1	给+你+	2	2
train-s1	不同+的+	2	3
train-s1	意见+	1	2
train-s1	追根究底+	1	4
train-s1	最后+决定+的+	3	5
train-s1	但+	1	1
train-s1	还是+自己+	2	4
train-s2	都是+	1	2
train-s2	的+	1	1
train-s2	买来+	1	2
train-s2	就算+加热+	2	4
train-s2	其+便当+	2	3
train-s2	也是+由+	2	3
train-s2	妈妈+负责+	2	4
train-s2	后来+揭晓+	2	4
train-s2	其实+是+	2	3
train-s2	避免+	1	2
train-s2	带来+厄运+	2	4
train-s2	在+	1	1
train-s2	电视+台+	2	3
train-s2	父亲+	1	2
train-s2	则+	1	1
train-s2	上班+	1	2
train-s3	这+次+游行+	3	4
train-s3	最大+的+	2	3
train-s3	特色+在+于+	3	4
train-s3	上街+	1	2
train-s3	越来越+	1	3
train-s3	多+	1	1
train-s3	年轻+人+	2	3
train-s3	游行+	1	2
train-s3	而且+	1	2
train-s3	当中+不乏+	2	4
train-s3	躁+少年+	2	3
train-s3	行动+激烈+的+	3	5
train-s4	怀孕+期+	2	3
train-s4	为+	1	1
train-s4	421+	1	3
train-s4	至+457+	2	4
train-s4	日+	1	1
train-s5	昏迷+中+	2	3
train-s5	的+	1	1
train-s5	婷婷+	1	2
train-s5	向+	1	1
train-s5	婆婆+诉说+	2	4
train-s5	与+	1	1
train-s5	她+想像+的+	3	4
train-s5	为+什么+	2	3
train-s5	生活+	1	2
train-s5	会+	1	1
train-s5	不+一样+	2	3
train-s6	就算+	1	2
train-s6	数论+的+	2	3
train-s6	应用+	1	2
train-s6	被+找到+了+	3	4
train-s6	也+	1	1
train-s6	不会+有+	2	3
train-s6	人+	1	1
train-s6	会+	1	1
train-s6	因+此+罢黜+	3	4
train-s6	这+一+	2	2
train-s6	数学+的+	2	3
train-s6	皇后+	1	2
train-s7	一中+商圈+	2	4
train-s7	另+一+特色+为+	4	5
train-s7	同+类型+商店+	3	5
train-s7	会+聚集+	2	3
train-s7	短短+的+	2	3
train-s7	育才+街+聚集+了+	4	6
train-s7	十数+家+	2	3
train-s7	知名+	1	2
train-s7	眼镜+	1	2
train-s7	连锁+店+	2	3
train-s7	而+	1	1
train-s7	体育+	1	2
train-s7	用品+店+	2	3
train-s7	沿着+	1	2
train-s7	太平+路+连成+	3	5
train-s7	一+线+	2	2
train-s7	下+	1	1
train-s7	在+	1	1
train-s7	激烈+竞争+	2	4
train-s7	价格+	1	2
train-s7	比+外地+	2	3
train-s7	便宜+不少+	2	4
