sent_id	word_sound	character_token_n	sound_n
train-s1	['kan', '$i']	2	5
train-s1	['jian', 'dan']	2	7
train-s1	['$i']	1	2
train-s1	['er']	1	2
train-s1	['xuan']	1	4
train-s1	['yi']	1	2
train-s1	['zuo']	1	3
train-s1	['jue', 'ze']	2	5
train-s1	['dan']	1	3
train-s1	['qi', '$i']	2	4
train-s1	['ta', 'men']	2	5
train-s1	['d#', 'bi#']	2	5
train-s1	['de']	1	2
train-s1	['ni']	1	2
train-s1	['$#', 'z#']	2	4
train-s1	['qin', 'peŋ']	2	6
train-s1	['h#', 'y#']	2	4
train-s1	['$e']	1	2
train-s1	['g#']	1	2
train-s1	['bu', 'toŋ']	2	5
train-s1	['yi', 'jian']	2	6
train-s1	['$ui', 'gen', 'jiu', 'di']	4	11
train-s1	['zui', 'h#']	2	5
train-s1	['jue', 'djəŋ']	2	7
train-s1	['h#', '$i']	2	4
train-s1	['zi', 'ji']	2	4
train-s2	['qi']	1	2
train-s2	['bian', 'daŋ']	2	7
train-s2	['d#', '$i']	2	4
train-s2	['m#', 'l#']	2	4
train-s2	['jiu', 'suan']	2	7
train-s2	['jia', 're']	2	5
train-s2	['ye', '$i']	2	4
train-s2	['y#']	1	2
train-s2	['ma', 'ma']	2	4
train-s2	['fu', 'ze']	2	4
train-s2	['h#', 'l#']	2	4
train-s2	['jie', 'xi#']	2	6
train-s2	['bi', 'mian']	2	6
train-s2	['d#', 'l#']	2	4
train-s2	['e', 'yun']	2	4
train-s2	['fu', 'qin']	2	5
train-s2	['ze']	1	2
train-s2	['z#']	1	2
train-s2	['dian', '$i']	2	6
train-s2	['t#']	1	2
train-s2	['$aŋ', 'ban']	2	6
train-s3	['ci']	1	2
train-s3	['y#', 'xjəŋ']	2	6
train-s3	['zui', 'da']	2	5
train-s3	['te', 'se']	2	4
train-s3	['yu']	1	2
train-s3	['ɥe', 'l#', 'ɥe']	3	6
train-s3	['duo']	1	3
train-s3	['nian', 'qjəŋ']	2	8
train-s3	['ren']	1	3
train-s3	['$aŋ', 'jie']	2	6
train-s3	['er', 'qie']	2	5
train-s3	['daŋ', '$oŋ']	2	6
train-s3	['bu', 'fa']	2	4
train-s3	['xjəŋ', 'doŋ']	2	7
train-s3	['ji', 'lie']	2	5
train-s3	['$#', 'nian']	2	6
train-s4	['hu#', 'yun']	2	6
train-s4	['w#']	1	2
train-s4	['ri']	1	2
train-s5	['tjəŋ', 'tjəŋ']	2	8
train-s5	['xiaŋ']	1	4
train-s5	['hwən', 'mi']	2	6
train-s5	['$oŋ']	1	3
train-s5	['pwo', 'pwo']	2	6
train-s5	['su', '$uo']	2	5
train-s5	['$en', 'me']	2	5
train-s5	['$eŋ', 'huo']	2	6
train-s5	['hui']	1	3
train-s5	['ta']	1	2
train-s5	['xiaŋ', 'xiaŋ']	2	8
train-s5	['bu']	1	2
train-s5	['yi', 'yaŋ']	2	5
train-s6	['$u', 'lwən']	2	6
train-s6	['yiŋ', 'yoŋ']	2	6
train-s6	['b#']	1	2
train-s6	['$#', 'd#']	2	4
train-s6	['le']	1	2
train-s6	['ye']	1	2
train-s6	['bu', 'hui']	2	5
train-s6	['yin']	1	3
train-s6	['ba', '$u']	2	4
train-s6	['$u', 'xue']	2	5
train-s6	['huaŋ', 'h#']	2	6
train-s7	['yi', '$oŋ']	2	5
train-s7	['$aŋ', 'quan']	2	7
train-s7	['ljəŋ']	1	4
train-s7	['toŋ']	1	3
train-s7	['l#', 'xjəŋ']	2	6
train-s7	['$aŋ', 'dian']	2	7
train-s7	['ju', 'ji']	2	4
train-s7	['duan', 'duan']	2	8
train-s7	['yu', 'c#']	2	4
train-s7	['jie']	1	3
train-s7	['$i', '$u']	2	4
train-s7	['jia']	1	3
train-s7	['$i', 'mjəŋ']	2	6
train-s7	['yan', 'jjəŋ']	2	7
train-s7	['lian', 'suo']	2	7
train-s7	['dian']	1	4
train-s7	['ti', 'yu']	2	4
train-s7	['yoŋ', 'pin']	2	6
train-s7	['yan', '$e']	2	5
train-s7	['t#', 'pjəŋ']	2	6
train-s7	['lu']	1	2
train-s7	['lian', '$eŋ']	2	7
train-s7	['xian']	1	4
train-s7	['jjəŋ', '$eŋ']	2	7
train-s7	['xia']	1	3
train-s7	['jia', 'ge']	2	5
train-s7	['bi']	1	2
train-s7	['w#', 'di']	2	4
train-s7	['pian', 'yi']	2	6
train-s7	['bu', '$#']	2	4
train-s7	['huo']	1	3
train-s7	['san']	1	3
train-s7	['geŋ']	1	3
train-s7	['zeŋ', 'jia']	2	6
train-s7	['g#', 'wu']	2	4
train-s7	['le', 'qu']	2	4
train-s8	['d#']	1	2
train-s8	['nv', 'huaŋ']	2	6
train-s8	['k#', 'lu']	2	4
train-s8	['daŋ', 'ri']	2	5
train-s8	['$aŋ', 'jjəŋ']	2	7
train-s8	['d#', 'bwo']	2	5
train-s8	['$u', '$en']	2	5
train-s8	['daŋ', '$i']	2	5
train-s8	['$oŋ', '$i']	2	5
train-s8	['jie', 'mu']	2	5
train-s8	['jjəŋ', 'li']	2	6
train-s8	['waŋ']	1	3
train-s8	['$i', 'gaŋ']	2	5
train-s9	['wo', 'men']	2	5
train-s9	['xi', 'waŋ']	2	5
train-s9	['jie', '$e']	2	5
train-s9	['ge']	1	2
train-s9	['li', '$i']	2	4
train-s9	['$aŋ']	1	3
train-s9	['$en', '$i']	2	5
train-s9	['ren', 'wu']	2	5
train-s9	['$eŋ']	1	3
train-s9	['li', 'yoŋ']	2	5
train-s9	['yi', 'xie']	2	5
train-s9	['b#', 'guan', 'ye', '$i']	4	10
train-s9	['pian', 'duan']	2	8
train-s9	['zi', 'li#']	2	5
train-s9	['jia', '$aŋ']	2	6
train-s9	['$an', 'yi']	2	5
train-s9	['g#', 'bian']	2	6
train-s9	['bu', 'fen']	2	5
train-s9	['qjəŋ', 'jie']	2	7
train-s9	['neŋ']	1	3
train-s9	['d#', 'g#']	2	4
train-s9	['guan', '$oŋ']	2	7
train-s10	['w#', 'jie']	2	5
train-s10	['$uan', 'wen']	2	7
train-s10	['fan']	1	3
train-s10	['ri', 'xjəŋ']	2	6
train-s10	['$u', 'guan']	2	6
train-s10	['$#', 'yi']	2	4
train-s10	['$uaŋ', 'bjəŋ']	2	8
train-s10	['f#', 'ren']	2	5
train-s10	['wu']	1	2
train-s10	['gu']	1	2
train-s10	['za', 'liaŋ']	2	6
train-s10	['$aŋ', 'da']	2	5
train-s10	['ben', 'l#']	2	5
train-s10	['jiu']	1	3
train-s10	['$eŋ', 'bjəŋ']	2	7
train-s10	['wan', 'yi']	2	5
train-s10	['$#', '$uan']	2	6
train-s10	['bu', '$i']	2	4
train-s10	['wu', 'fa']	2	4
train-s10	['dui']	1	3
train-s10	['guaŋ', 'da']	2	6
train-s10	['ji#', 'd#']	2	5
train-s11	['g#', 'ju']	2	4
train-s11	['liaŋ']	1	4
train-s11	['bian', 'ju']	2	6
train-s11	['du', 'gu']	2	4
train-s11	['hoŋ']	1	3
train-s11	['luo']	1	3
train-s11	['wen', '$oŋ']	2	6
train-s11	['xie']	1	3
train-s11	['ju', 'ben']	2	5
train-s11	['ji', 'hu']	2	4
train-s11	['can', 'k#']	2	5
train-s11	['suo', 'y#']	2	5
train-s11	['y#', 'guan']	2	6
train-s11	['ze', 'tian']	2	6
train-s11	['ru']	1	2
train-s11	['lin']	1	3
train-s11	['yu', 'taŋ']	2	5
train-s11	['$uan']	1	4
train-s11	['$en']	1	3
train-s11	['di']	1	2
train-s11	['ren', 'jie']	2	6
train-s11	['li', 'd#']	2	4
train-s11	['toŋ', 'su']	2	5
train-s11	['yan', 'yi']	2	5
train-s11	['xu']	1	2
train-s11	['$oŋ', 'guo']	2	6
train-s11	['h#', 'f#']	2	4
train-s11	['lie', '$uan']	2	7
train-s11	['huaŋ']	1	4
train-s11	['b#', 'soŋ']	2	5
train-s11	['yan', 'ji']	2	5
train-s11	['deŋ']	1	3
train-s12	['ba']	1	2
train-s12	['ba', 'hu']	2	4
train-s12	['$uan', 'heŋ']	2	7
train-s12	['luan', 'lwən']	2	8
train-s12	['cuan', 'guo']	2	7
train-s12	['yan', '$eŋ']	2	6
train-s12	['r#', 'ruo']	2	5
train-s12	['kan', 'lian']	2	7
train-s12	['nv', 'zi']	2	4
train-s12	['suo']	1	3
train-s12	['bu', 'neŋ']	2	5
train-s12	['roŋ', 'ren']	2	6
train-s13	['ke']	1	2
train-s13	['yoŋ']	1	3
train-s13	['$e', 'ji']	2	4
train-s13	['xin', 'xi']	2	5
train-s13	['jian', 'suo']	2	7
train-s13	['bjəŋ', 'li']	2	6
train-s13	['xi', 'toŋ']	2	5
train-s13	['cu', 'jin']	2	5
train-s13	['$i', 'jian']	2	6
train-s13	['toŋ', 'xun']	2	6
train-s13	['ji#', 'liu']	2	6
train-s13	['huo', '$e']	2	5
train-s13	['k#', 'fa']	2	4
train-s13	['neŋ', 'g#']	2	5
train-s13	['jie', 'xi']	2	5
train-s13	['$eŋ', 'wu']	2	5
train-s13	['yi', 'xue']	2	5
train-s13	['wen', 'xian']	2	7
train-s14	['b#', 'ren']	2	5
train-s14	['jun', 'guan']	2	7
train-s14	['d#', 'ljəŋ']	2	6
train-s14	['h#', 'ren']	2	5
train-s14	['min', 'bjəŋ']	2	7
train-s14	['xi', 'jie']	2	5
train-s14	['ka', 'm#', 'loŋ']	3	7
train-s14	['$uaŋ', 'ɥæn']	2	7
train-s14	['bjəŋ', 'qie']	2	7
train-s14	['qi', 'tu']	2	4
train-s14	['qiaŋ', 'b#']	2	6
train-s14	['m#']	1	2
train-s14	['nv', 'juan']	2	6
train-s14	['baŋ', 'lian']	2	7
train-s14	['jun', 'dui']	2	6
train-s14	['ji', 'kui']	2	5
train-s14	['$e', 'xie']	2	5
train-s14	['$eŋ', 'jiu']	2	6
train-s15	['nian']	1	4
train-s15	['$eŋ', 'xia']	2	6
train-s15	['$i', 'guaŋ']	2	6
train-s15	['ɥe', 'tuan']	2	6
train-s15	['l#']	1	2
train-s15	['bian', 'xie']	2	7
train-s15	['lu', '$i']	2	4
train-s15	['di', 'san']	2	5
train-s15	['$uan', 'ji']	2	6
train-s15	['xian', 'yan', 'xian', 'yu']	4	13
train-s15	['jiu', '$i']	2	5
train-s15	['bu', 'd#']	2	4
train-s15	['bjəŋ']	1	4
train-s15	['ɥe']	1	2
train-s15	['fa', 'xjəŋ']	2	6
train-s16	['ba', 'li']	2	4
train-s16	['fa', 'guo']	2	5
train-s16	['$#', 'du']	2	4
train-s16	['xjəŋ', 'fen']	2	7
train-s16	['bu', 'yi']	2	4
train-s16	['jiaŋ']	1	4
train-s16	['ge', '$oŋ']	2	5
train-s16	['yin', 'xiaŋ']	2	7
train-s16	['he']	1	2
train-s16	['hua', '$eŋ']	2	6
train-s16	['yin', 'ɥe']	2	5
train-s16	['bi#', 'da']	2	5
train-s16	['pu', 'xie']	2	5
train-s16	['ɥe', 'qu']	2	4
train-s16	['qian', 'waŋ']	2	7
train-s16	['w#', 'ye', 'na']	3	6
train-s16	['xjəŋ', '$eŋ']	2	7
train-s16	['tu', '$oŋ']	2	5
train-s16	['jin', 'xjəŋ']	2	7
train-s16	['p#', 'qi']	2	4
train-s16	['goŋ', 'zuo']	2	6
train-s16	['$#', 'yan']	2	5
train-s16	['niu', 'ɥe']	2	5
train-s16	['wa', 'de']	2	4
train-s16	['dan', 'lu', '$u']	3	7
train-s16	['$i', 'hui']	2	5
train-s16	['#', 'le']	2	3
train-s16	['yan', '$u']	2	5
train-s17	['xue', 'li']	2	5
train-s17	['wo', 'di']	2	4
train-s17	['$en', 'fen']	2	6
train-s17	['ɥæn', 'l#']	2	5
train-s17	['$en', '$eŋ']	2	6
train-s17	['yun', 'xiaŋ']	2	7
train-s17	['ji', 'tuan']	2	6
train-s17	['doŋ', '$i']	2	5
train-s17	['$#']	1	2
train-s17	['nv']	1	2
train-s17	['h#', 'mu']	2	4
train-s17	['pin']	1	3
train-s17	['ti']	1	2
train-s17	['$i', '$i']	2	4
train-s17	['hua', 'mjəŋ']	2	7
train-s17	['qian', 'ru']	2	6
train-s17	['tian', 'yi']	2	6
train-s17	['g#', 'kua']	2	5
train-s18	['jjəŋ', 'hua']	2	7
train-s18	['fa', 'xian']	2	6
train-s18	['guaŋ', 'yi']	2	6
train-s18	['bu', '#']	2	3
train-s18	['bian']	1	4
train-s18	['t#', 'qu']	2	4
train-s18	['m#', 'li']	2	4
train-s18	['$uaŋ', 'yi']	2	6
train-s18	['t#', 'k#']	2	4
train-s19	['taŋ', 'xjəŋ']	2	7
train-s19	['fa', 'bian']	2	6
train-s19	['ji#', 'g#']	2	5
train-s19	['qi', 'zi']	2	4
train-s19	['$u', 'fu']	2	4
train-s19	['ruo']	1	3
train-s19	['bu', 'xjəŋ']	2	6
train-s19	['$an', 'si']	2	5
train-s19	['fa']	1	2
train-s20	['ge', 'ri']	2	4
train-s20	['yi', 'min']	2	5
train-s20	['jun']	1	3
train-s20	['qi', '$eŋ']	2	5
train-s20	['ba', 'gua']	2	5
train-s20	['$an']	1	3
train-s20	['xjəŋ']	1	4
train-s20	['$uaŋ', 'lie']	2	7
train-s20	['$eŋ', 'ren']	2	6
train-s21	['ji']	1	2
train-s21	['kaŋ', 'ti']	2	5
train-s21	['dui', 'yu']	2	5
train-s21	['jian', 'ce']	2	6
train-s21	['#', '$eŋ']	2	4
train-s21	['taŋ', 'ni#']	2	6
train-s21	['pa', 'jin', 'sen']	3	8
train-s21	['a', 'er', 'ci', 'h#', 'mwo']	5	10
train-s21	['ji', 'bjəŋ']	2	6
train-s21	['te', 'y#']	2	4
