sent_id	clause_text	lds_n	word_n
n01003007	元+限额+最高+为+每人+5,000+美+	5	7
n01003013	沉闷+也许+要求+着装+过+于+	4	6
n01006011	袭击+告诉+目击者+位+一+警方+害人+被+曾+月+在+四+过+嫌疑人+	6	14
n01007012	有+游戏+生活+与+我们+的+日常+处+相似+之+	6	10
n01009027	孤独+猪+现在+Khanzir+可能+是+只+一+寂寞+的+但+他+并+不是+一直+都+	13	16
n01016032	缺少+手机+Mate+9+界面+个+一+像+助手+谷歌+Siri+或+苹果+的+那样+的+人工+智能+	11	18
n01018040	盈利+方案+该+赞助+通过+广告+和+来+	4	8
n01019005	提出+但是+专家+一些+安全+设立+对+课程+该+的+意图+及+背后+其+的+了+质疑+	11	17
n01022016	增长+投资+方面+这+的+年+在+2015+了+6%+元+至+2210亿+美+	8	14
n01025045	说+纵观+历史+有+市场+国际+头发+上+一直+着+意义+层面+政治+的+Tarlo+	7	15
n01026016	选用+交警+深圳市+以前+曾+处罚+常规+非+	4	8
n01027007	谁+人+这些+是+	2	4
n01027030	围绕+今年+争论+有关+党+民主+的+一直+着+身分+白人+男性+	8	12
n01039039	亮相+妻子+特朗普+的+梅拉尼亚+特朗普+大会+自+月+七+的+共和党+全国+代表+以来+首次+活动+于+中+	10	19
n01043014	超过+超过+预算+它+的+年度+元+十四亿+美+员工+人+6000+	6	12
n01043025	过时+报告+政府+联邦+主动+工资+部门+每个+的+总绩效+水平+和+奖金+2013-2014+但+发布+最新+的+网上+信息+是+年+两+了+	13	24
n01050009	周+时间+目前+的+等候+为+8+	4	7
n01052004	岁+她+已经+84+高龄+	3	5
n01053041	说+传遍+呼声+她+的+了+世界+Leive+	4	8
n01059054	抹杀+大+差异+苏拉+特朗普+和+罗马+美国+和+之间+的+于+相似性+它们+的+但+这+并+不能+处+他们+的+相似+之+	16	24
n01062049	结束+之后+广告+了+	2	4
n01065073	没有+但是+当中+在+她+行为+和+她+与+人+其它+的+并+东西+艺术性+显然+的+	13	17
n01066093	说道+忽视+他+完全+了+健康+自己+的+妻子+他+的+爱丽丝+	7	12
n01069004	写+参赛+克里斯蒂安+沃尔玛尔+将+日+在+月+12+1+他+过+书+不少+关于+历史+铁路+的+	11	18
n01070016	在+船员+超过+名+330+船上+	3	6
n01072012	工作+他+曾+BBC+在+过+年+十+	4	8
n01073004	阻止+谁+能+澳大利亚队+	2	4
n01076030	主张+他+严刑+	1	3
n01077018	遇上+方面+密码+我+都+麻烦+	3	6
n01086031	可怕+那+确实+很+	3	4
n01092014	什么+那么+立场+澳大利亚+的+是+	4	6
n01093007	说道+拟定+不+上限+捕捞+灭绝+鳕鱼+凯尔特海+的+可能+会+官员+位+一+欧盟+	8	15
n01093025	接受+主义者+自然+资源+保护+了+声明+委员会+的+	5	9
n01095019	用+天+第三+我+又+再+EMicro+	4	7
n01097041	发现+我+了+个+几+	2	5
n01101017	防备+同时+香港+似乎+正+在+抗议+波+下+一+的+	8	11
n01105013	寻找+失常+但+现在+事+所有+都+了+并且+他+似乎+一直+在+答案+	9	14
n01112012	刺激+消费者+可以+需求+对+改变+的+	5	7
n01115005	演出+他们+将+会+日+在+月+六+十+周六+	7	10
n01116014	现代化+裙子+很+	2	3
n01116021	抖动+对峙+时+前伸+脖子+她+暴起+青筋+手+不断+	5	10
n01116035	挑剔+但是+谁+能+表现+格伦达+Glenda+的+精彩+	6	9
n01117007	从事+年+数十+来+他+一直+在+工作+广播+电视+和+的+新闻+时事+及+	10	15
n01118003	放下+麦克风+	1	2
n01118010	拍+统计+根据+导演+自己+的+止+目前+到+为+他+已经+了+剧情片+部+八+	9	16
n01120020	除+武装+人员+所有+的+医护+都+全副+了+我+	5	10
n01121051	进行+季+第二+目前+还+在+中+吗+	5	8
n01123012	生+日+年+1832+月+10+31+克顿+于+小镇+附近+桑德兰+的+个+一+里+	6	16
