sent_id	lds_text	word_n	character_n
651	刚才+	1	2
651	秘书处+	1	3
651	已+宣布+	2	3
651	五+分钟+后+	3	4
651	复会+	1	2
652	现在+	1	2
652	时间+	1	2
652	已+过+了+	3	3
652	五+分钟+	2	3
653	我+	1	1
653	想+	1	1
653	跟+大家+说+	3	4
653	今天+的+	2	3
653	会议+分为+	2	4
653	两+部分+	2	3
654	刚才+	1	2
654	大家+	1	2
654	已+完成+的+	3	4
654	第一+部分+	2	4
654	是+	1	1
654	宣誓+	1	2
655	而+	1	1
655	第二+部分+是+	3	5
655	选举+	1	2
655	立法会+主席+	2	5
656	我+知道+	2	3
656	有+同事+	2	3
656	对+	1	1
656	主席+候选人+的+	3	6
656	国籍+问题+有+些+	4	6
656	意见+	1	2
657	要求+候选人+	2	5
657	就+	1	1
657	某些+方面+作出+澄清+	4	8
658	由于+	1	2
658	今天+的+	2	3
658	会议+	1	2
658	并+没有+	2	3
658	任何+程序+	2	4
658	容许+我们+	2	4
658	在+会议厅+内+	3	5
658	进行+澄清+提问+	3	6
658	辩论+	1	2
658	或+谘询+	2	3
658	等+	1	1
658	因此+	1	2
658	我们+	1	2
658	不+可以+	2	3
658	在+会议厅+内+	3	5
658	进行+	1	2
658	这些+工作+	2	4
659	为+让+	2	2
659	一些+	1	2
659	议员+	1	2
659	关注+	1	2
659	此+事+	2	2
659	的+	1	1
659	能+获+澄清+	3	4
659	不过+	1	2
659	我+建议+	2	3
659	梁君彦+议员+	2	5
659	稍后+	1	2
659	到+会议厅+外+	3	5
659	向+	1	1
659	新闻+传媒+交代+	3	6
659	他+的+	2	2
659	国籍+问题+	2	4
660	关注+	1	2
660	此+事+	2	2
660	的+	1	1
660	而+	1	1
660	议员+	1	2
660	亦+	1	1
660	可+出去+	2	3
660	聆听+	1	2
660	他+的+	2	2
660	阐述+	1	2
660	以及+	1	2
660	可以+	1	2
660	向+	1	1
660	他+提问+	2	3
661	议事+	1	2
661	在+会议厅+内+	3	5
661	根据+	1	2
661	规则+	1	2
661	我+	1	1
661	不+	1	1
661	能+容许+大家+	3	5
661	提问+	1	2
661	或+作出+	2	3
661	任何+讨论+	2	4
662	我+	1	1
662	现在+请+	2	3
662	议员+	1	2
662	关注+	1	2
662	此+事+	2	2
662	的+	1	1
662	到+会议厅+外+	3	5
662	听取+	1	2
662	梁君彦+议员+	2	5
662	的+	1	1
662	交代+	1	2
663	我+预期+	2	3
663	会议+	1	2
663	将+	1	1
663	在+下午+	2	3
663	二+时+	2	2
663	三十+分+	2	3
663	正式+恢复+	2	4
664	我+的+	2	2
664	发言+	1	2
664	到此+结束+	2	4
665	现在+暂停+会议+	3	6
666	现在+是+	2	3
666	二+时+	2	2
666	三十五+分+	2	4
666	我+	1	1
666	原先+宣布+	2	4
666	的+	1	1
666	二+时+	2	2
666	三十+分+	2	3
666	恢复+会议+	2	4
666	较+	1	1
666	时间+迟+了+	3	4
666	五+分钟+	2	3
667	我+	1	1
667	不+想+	2	2
667	再+延迟+	2	3
668	现在+宣布+	2	4
668	正式+复会+	2	4
669	会议+	1	2
669	现+	1	1
669	已+恢复+	2	3
669	我+希望+	2	3
669	所有+同事+返回+	3	6
669	自己+的+	2	3
669	座位+	1	2
670	让+我们+	2	3
670	可以+	1	2
670	有+秩序+	2	3
670	地+	1	1
670	今天+	1	2
670	进行+	1	2
670	程式+	1	2
670	选举+主席+	2	4
670	的+	1	1
671	我+	1	1
671	现在+	1	2
671	再+请+	2	2
671	所有+同事+	2	4
671	返回+	1	2
671	自己+的+	2	3
671	座位+	1	2
672	有+议员+	2	3
672	想+提出+	2	3
672	规程+问题+	2	4
673	但+请+	2	2
673	其他+同事+	2	4
673	秘书+	1	2
673	先行+返回+座位+	3	6
673	让+	1	1
673	帮+我+	2	2
673	做+	1	1
673	一些+	1	2
673	文书+工作+	2	4
674	没有+秘书+	2	4
674	帮忙+	1	2
674	处理+上+	2	3
674	否则+	1	2
674	会+	1	1
674	比较+困难+	2	4
675	我+希望+	2	3
675	其他+议员+	2	4
675	先+返回+座位+	3	5
675	让+我们+	2	3
675	可以+进行+会议+	3	6
676	如果+	1	2
676	大家+有+	2	3
676	任何+	1	2
676	规程+问题+	2	4
676	可以+提出+	2	4
677	我+	1	1
677	会+给+大家+	3	4
677	时间+	1	2
678	主席+	1	2
678	我+	1	1
678	想+问+	2	2
678	秘书处+	1	3
678	有+否+	2	2
678	处理+	1	2
678	梁君彦+议员+	2	5
678	的+	1	1
678	国籍+问题+	2	4
679	他+刚才+	2	3
680	刚才+	1	2
680	我+说+过+	3	3
680	有关+梁君彦+议员+	3	7
680	的+	1	1
680	国籍+问题+	2	4
680	不+	1	1
680	是+	1	1
680	今天+会议+的+	3	5
680	讨论+范畴+	2	4
681	好+的+	2	2
682	请+	1	1
682	先+让+我+	3	3
682	说+	1	1
682	可以+吗+	2	3
683	我+	1	1
683	刚才+	1	2
683	已经+说+过+	3	4
683	为了+让+大家+	3	5
683	进一步+了解+	2	5
683	有关+	1	2
683	梁君彦+议员+的+	3	6
683	国籍+问题+	2	4
683	或+要求+他+	3	4
683	澄清+	1	2
683	我+	1	1
683	已+	1	1
683	作出+特别+安排+时间+	4	8
683	让+梁+议员+	3	4
683	在+会议厅+外+	3	5
683	向+传媒+作出+交代+	4	7
683	和+澄清+	2	3
684	如果+	1	2
684	各位+	1	2
684	刚才+	1	2
684	有+出席+	2	3
684	便+	1	1
684	应该+知道+	2	4
684	情况+如何+	2	4
685	无论+	1	2
685	当事人+	1	3
685	如何+澄清+	2	4
685	及+解释+	2	3
685	不过+	1	2
685	在+	1	1
685	这个+会议+上+	3	5
685	我+	1	1
685	不+	1	1
685	能+保证+	2	3
685	令+大家+	2	3
685	满意+	1	2
686	作为+	1	2
686	会议+主持人+	2	5
686	我+	1	1
686	只+	1	1
686	能+	1	1
686	根据+	1	2
686	会议+规则+进行+程序+	4	8
687	如果+	1	2
687	议员+想+确保+	3	5
687	他+的+	2	2
687	问题+得到+	2	4
687	满意+的+	2	3
687	答复+	1	2
687	可以+	1	2
687	在+	1	1
687	其他+场合+提出+	3	6
688	今天+的+	2	3
688	会议+中+	2	3
688	则+没有+办法+	3	5
688	处理+	1	2
688	这个+问题+	2	4
689	我+	1	1
689	现在+想+问一问+	3	6
689	有+	1	1
689	哪些+议员+	2	4
689	刚才+	1	2
689	曾+举手+	2	3
689	想+提出+	2	3
689	规程+问题+	2	4
690	我+看+	2	2
690	不+到+	2	2
691	请+秘书+	2	3
691	帮忙+	1	2
691	曾+举手+	2	3
691	的+	1	1
691	表示+	1	2
691	想+提出+	2	3
691	规程+问题+	2	4
691	把+	1	1
691	议员+名单+交+	3	5
691	给+我+	2	2
692	因为+	1	2
692	我+看+	2	2
692	不+到+	2	2
693	今天+	1	2
693	我+	1	1
693	不+想+	2	2
693	跟+大家+争论+	3	5
693	其他+问题+	2	4
693	因为+	1	2
693	我+没有+权力+	3	5
693	这样+做+	2	3
694	我+	1	1
694	只是+执行+	2	4
694	会议+规则+	2	4
695	其实+	1	2
695	我+	1	1
695	也+	1	1
695	不+是+	2	2
695	很+想+主持+	3	4
695	这+会议+	2	3
696	议事+	1	2
696	担任+议员+	2	4
696	时间+	1	2
696	最+长+的+	3	3
696	不过+	1	2
696	根据+	1	2
696	规则+	1	2
696	附表+一+	2	3
696	第六+	1	2
696	及+七+	2	2
696	段+的+	2	2
696	规定+	1	2
