sent_id	character	component_n	stroke_n
651	刚	3	6
651	才	1	3
651	秘	2	10
651	书	1	4
651	处	2	5
651	已	1	3
651	宣	4	9
651	布	2	5
651	五	1	4
651	分	2	4
651	钟	2	9
651	后	2	6
651	复	2	9
651	会	3	6
652	现	2	8
652	在	2	6
652	时	2	7
652	间	2	7
652	过	2	6
652	了	1	2
653	我	1	7
653	想	3	13
653	跟	2	13
653	大	1	3
653	家	2	10
653	说	3	9
653	今	3	4
653	天	2	4
653	的	3	8
653	议	2	5
653	为	1	4
653	两	1	7
653	部	3	10
654	第	3	11
654	一	1	1
654	是	2	9
654	完	3	7
654	成	2	6
654	誓	3	14
655	而	1	6
655	二	1	2
655	选	3	9
655	举	3	9
655	立	1	5
655	法	3	8
655	主	2	5
655	席	2	10
656	知	2	8
656	道	2	14
656	有	2	6
656	同	2	6
656	事	1	8
656	对	2	5
656	候	3	10
656	人	1	2
656	国	2	8
656	籍	5	20
656	问	2	6
656	题	3	15
656	些	3	8
656	意	2	13
656	见	1	4
657	要	2	9
657	求	1	7
657	就	4	12
657	某	2	9
657	方	1	4
657	面	1	9
657	作	2	7
657	出	2	5
657	澄	5	15
657	清	2	11
658	由	1	5
658	于	1	3
658	并	4	6
658	没	3	7
658	任	3	6
658	何	3	7
658	程	3	12
658	序	2	7
658	容	2	9
658	许	3	6
658	们	2	5
658	厅	2	4
658	内	1	4
658	进	2	7
658	行	3	6
658	提	3	12
658	辩	3	16
658	论	3	6
658	或	2	8
658	谘	4	11
658	询	3	8
658	等	3	12
658	因	2	6
658	此	2	6
658	不	1	4
658	可	2	5
658	以	2	4
658	这	2	7
658	工	1	3
659	让	2	5
659	关	4	6
659	注	3	8
659	员	2	7
659	能	2	10
659	获	3	10
659	建	2	8
659	梁	2	11
659	君	2	7
659	彦	3	9
659	稍	3	12
659	到	3	8
659	外	2	5
659	向	2	6
659	新	3	12
659	闻	2	9
659	传	2	6
659	媒	3	12
659	交	2	6
659	代	2	5
659	他	2	5
660	亦	4	6
660	去	2	5
660	聆	4	11
660	听	2	7
660	阐	4	11
660	述	3	8
660	及	1	3
661	根	2	10
661	据	4	11
661	规	2	8
661	则	2	6
661	讨	2	5
662	请	2	10
662	取	2	8
663	预	2	10
663	期	3	12
663	将	3	9
663	下	1	3
663	午	2	4
663	三	1	3
663	十	1	2
663	正	2	5
663	式	2	6
663	恢	3	9
664	发	3	5
664	言	1	7
664	结	3	9
664	束	1	7
665	暂	3	12
665	停	5	11
666	较	3	10
666	原	2	10
666	先	2	6
666	迟	2	7
667	再	2	6
667	延	2	6
669	希	3	7
669	望	3	11
669	所	2	8
669	返	3	7
669	回	2	6
669	自	1	6
669	己	1	3
669	座	4	10
669	位	2	7
670	秩	3	10
670	地	2	6
673	但	3	7
673	其	2	8
673	帮	3	9
673	做	4	11
673	文	1	4
674	否	2	7
674	忙	2	6
674	理	3	11
674	上	1	3
674	比	1	4
674	困	2	7
674	难	2	10
676	如	2	6
676	果	1	8
677	给	3	9
680	范	3	8
680	畴	3	12
681	好	2	6
682	吗	2	6
683	经	2	8
683	步	2	7
683	解	2	13
683	特	3	10
683	别	3	7
683	安	2	6
683	排	2	11
683	和	2	8
684	各	2	6
684	便	2	9
684	应	3	7
684	该	4	8
684	情	2	11
684	况	3	7
685	无	1	4
685	当	2	6
685	释	2	12
685	个	2	3
685	保	3	9
