sent_id	word_char	character_token_n	component_n
w01001049	宪章	2	5
w01001049	曾	1	4
w01001049	允许	2	5
w01001049	创立	2	5
w01001049	由	1	1
w01001049	城镇	2	6
w01001049	市民	2	3
w01001049	管理	2	5
w01001049	的	1	2
w01001049	商人	2	4
w01001049	行会	2	6
w01001049	以	1	2
w01001049	向	1	2
w01001049	途经	2	6
w01001049	人士	2	2
w01001049	征收	2	4
w01001049	税费	2	6
w01002008	矿物	2	4
w01002008	资源	2	7
w01002008	尤	1	1
w01002008	为	1	1
w01002008	丰富	2	5
w01002008	蕴含	2	6
w01002008	大量	2	4
w01002008	黄金	2	5
w01002008	钻石	2	4
w01002008	锰矿	2	5
w01002008	铅矿	2	5
w01002008	锌矿	2	4
w01002008	镍矿	2	5
w01002008	钴矿	2	5
w01002008	以及	2	3
w01002008	钼矿	2	4
w01002013	在	1	2
w01002013	极西北	3	4
w01002013	地区	2	4
w01002013	以外	2	4
w01002013	泰加林	3	6
w01002013	具有	2	3
w01002013	统治	2	6
w01002013	地位	2	4
w01002013	它	1	2
w01002013	覆盖	2	7
w01002013	了	1	1
w01002013	整个	2	4
w01002013	西伯利亚	4	7
w01002013	一	1	1
w01002013	个	1	1
w01002013	重要	2	3
w01002013	部分	2	5
w01002075	年	1	2
w01002075	世界	2	4
w01002075	大学生	3	5
w01002075	冬季	2	4
w01002075	运动会	3	9
w01002075	将	1	3
w01002075	雅茨克	3	8
w01002075	举办	2	4
w01003051	例如	2	5
w01003051	位	1	2
w01003051	于	1	1
w01003051	太平洋	3	4
w01003051	莱恩	2	6
w01003051	群岛	2	5
w01003051	和	1	2
w01003051	印度洋	3	7
w01003051	马尔代夫	4	6
w01003056	花岗岩	3	8
w01003056	岛屿	2	5
w01003056	包括	2	4
w01003056	塞舌尔	3	8
w01003056	刁曼岛	3	6
w01003056	火山岩	3	4
w01003056	则	1	2
w01003056	如	1	2
w01003056	圣赫勒拿岛	5	12
w01003062	比如	2	3
w01003062	墨西哥	3	7
w01003062	下	1	2
w01003062	加利福尼亚州	6	13
w01003062	离岸	2	7
w01003062	小岛屿	3	6
w01003062	就	1	4
w01003062	属	1	2
w01003062	沙漠	2	6
w01003062	荒岛	2	5
w01004051	公元	2	4
w01004051	前	1	3
w01004051	五	1	1
w01004051	世纪	2	3
w01004051	希腊	2	6
w01004051	雅典	2	4
w01004051	城邦	2	4
w01004051	依赖	2	5
w01004051	来	1	1
w01004051	自	1	2
w01004051	塞西亚	3	7
w01004051	进口	2	3
w01004051	谷物	2	5
w01004051	因	1	2
w01004051	此	1	2
w01004051	与	1	2
w01004051	控制	2	5
w01004051	着	1	2
w01004051	海峡	2	5
w01004051	要道	2	4
w01004051	城市	2	4
w01004051	麦加拉	3	6
w01004051	殖民地	3	6
w01004051	拜占廷	3	6
w01004051	保持	2	6
w01004051	关键	2	5
w01004051	同盟	2	6
w01004051	关系	2	4
