sent_id	word_char	character_token_n	stroke_n
train-s1	看似	2	15
train-s1	简单	2	21
train-s1	只	1	5
train-s1	是	1	9
train-s1	二	1	2
train-s1	选	1	9
train-s1	一	1	1
train-s1	做	1	11
train-s1	决择	2	14
train-s1	但	1	7
train-s1	其实	2	16
train-s1	他们	2	10
train-s1	代表	2	13
train-s1	的	1	8
train-s1	是	1	9
train-s1	你	1	7
train-s1	周遭	2	22
train-s1	的	1	8
train-s1	亲朋	2	17
train-s1	好友	2	10
train-s1	试	1	8
train-s1	着	1	11
train-s1	给	1	9
train-s1	你	1	7
train-s1	不同	2	10
train-s1	的	1	8
train-s1	意见	2	17
train-s1	但	1	7
train-s1	追根究底	4	34
train-s1	最后	2	18
train-s1	决定	2	14
train-s1	的	1	8
train-s1	还是	2	16
train-s1	自己	2	9
train-s2	其	1	8
train-s2	便当	2	15
train-s2	都是	2	19
train-s2	买来	2	13
train-s2	的	1	8
train-s2	就算	2	26
train-s2	加热	2	15
train-s2	也是	2	12
train-s2	由	1	5
train-s2	妈妈	2	12
train-s2	负责	2	14
train-s2	后来	2	13
train-s2	揭晓	2	22
train-s2	其实	2	16
train-s2	是	1	9
train-s2	避免	2	23
train-s2	带来	2	16
train-s2	厄运	2	11
train-s2	父亲	2	13
train-s2	则	1	6
train-s2	在	1	6
train-s2	电视	2	13
train-s2	台	1	5
train-s2	上班	2	13
train-s3	这	1	7
train-s3	次	1	6
train-s3	游行	2	18
train-s3	最大	2	15
train-s3	的	1	8
train-s3	特色	2	16
train-s3	在	1	6
train-s3	于	1	3
train-s3	越来越	3	31
train-s3	多	1	6
train-s3	年轻	2	15
train-s3	人	1	2
train-s3	上街	2	15
train-s3	游行	2	18
train-s3	而且	2	11
train-s3	当中	2	10
train-s3	不乏	2	8
train-s3	行动	2	12
train-s3	激烈	2	26
train-s3	的	1	8
train-s3	躁	1	20
train-s3	少年	2	10
train-s4	怀孕	2	12
train-s4	期	1	12
train-s4	为	1	4
train-s4	至	1	6
train-s4	日	1	4
train-s5	婷婷	2	24
train-s5	向	1	6
train-s5	昏迷	2	17
train-s5	中	1	4
train-s5	的	1	8
train-s5	婆婆	2	22
train-s5	诉说	2	16
train-s5	为	1	4
train-s5	什么	2	7
train-s5	生活	2	14
train-s5	会	1	6
train-s5	与	1	3
train-s5	她	1	6
train-s5	想像	2	26
train-s5	的	1	8
train-s5	不	1	4
train-s5	一样	2	11
train-s6	就算	2	26
train-s6	数论	2	19
train-s6	的	1	8
train-s6	应用	2	12
train-s6	被	1	10
train-s6	找到	2	15
train-s6	了	1	2
train-s6	也	1	3
train-s6	不会	2	10
train-s6	有	1	6
train-s6	人	1	2
train-s6	会	1	6
train-s6	因	1	6
train-s6	此	1	6
train-s6	罢黜	2	27
train-s6	这	1	7
train-s6	一	1	1
train-s6	数学	2	21
train-s6	的	1	8
train-s6	皇后	2	15
train-s7	一中	2	5
train-s7	商圈	2	22
train-s7	另	1	5
train-s7	一	1	1
train-s7	特色	2	16
train-s7	为	1	4
train-s7	同	1	6
train-s7	类型	2	18
train-s7	商店	2	19
train-s7	会	1	6
train-s7	聚集	2	26
train-s7	短短	2	24
train-s7	的	1	8
train-s7	育才	2	11
train-s7	街	1	12
train-s7	聚集	2	26
train-s7	了	1	2
train-s7	十数	2	15
train-s7	家	1	10
train-s7	知名	2	14
train-s7	眼镜	2	27
train-s7	连锁	2	19
train-s7	店	1	8
train-s7	而	1	6
train-s7	体育	2	15
train-s7	用品	2	14
train-s7	店	1	8
train-s7	沿着	2	19
train-s7	太平	2	9
train-s7	路	1	13
train-s7	连成	2	13
train-s7	一	1	1
train-s7	线	1	8
train-s7	在	1	6
train-s7	激烈	2	26
train-s7	竞争	2	16
train-s7	下	1	3
train-s7	价格	2	16
train-s7	比	1	4
train-s7	外地	2	11
train-s7	便宜	2	17
train-s7	不少	2	8
train-s7	货	1	8
train-s7	比	1	4
train-s7	三	1	3
train-s7	家	1	10
train-s7	更	1	7
train-s7	增加	2	20
train-s7	购物	2	16
train-s7	乐趣	2	20
train-s8	一	1	1
train-s8	代	1	5
train-s8	女皇	2	12
train-s8	开录	2	12
train-s8	当日	2	10
train-s8	掌镜	2	28
train-s8	者	1	8
train-s8	是	1	9
train-s8	导播	2	21
train-s8	出身	2	12
train-s8	的	1	8
train-s8	当时	2	13
train-s8	中视	2	12
train-s8	节目	2	10
train-s8	部	1	10
train-s8	经理	2	19
train-s8	王	1	4
train-s8	世纲	2	12
train-s9	我们	2	12
train-s9	只	1	5
train-s9	希望	2	18
train-s9	借着	2	21
train-s9	这	1	7
train-s9	个	1	3
train-s9	历史	2	9
train-s9	上	1	3
train-s9	真实	2	18
train-s9	人物	2	10
train-s9	的	1	8
train-s9	一	1	1
train-s9	生	1	5
train-s9	利用	2	12
train-s9	一些	2	9
train-s9	稗官野史	4	37
train-s9	的	1	8
train-s9	片段	2	13
train-s9	资料	2	20
train-s9	再	1	6
train-s9	加上	2	8
train-s9	一些	2	9
train-s9	善意	2	25
train-s9	改编	2	19
train-s9	的	1	8
train-s9	部分	2	14
train-s9	情节	2	16
train-s9	而	1	6
train-s9	能	1	10
train-s9	带给	2	18
train-s9	观众	2	12
train-s9	一些	2	9
train-s9	启示	2	12
train-s10	当时	2	13
train-s10	外界	2	14
train-s10	传闻	2	15
train-s10	樊	1	15
train-s10	日行	2	10
train-s10	是	1	9
train-s10	在	1	6
train-s10	中视	2	12
train-s10	主管	2	19
train-s10	授意	2	24
train-s10	下	1	3
train-s10	装病	2	22
train-s10	樊	1	15
train-s10	日行	2	10
train-s10	否认	2	11
train-s10	人	1	2
train-s10	都是	2	19
train-s10	吃	1	6
train-s10	五	1	4
train-s10	谷	1	7
train-s10	杂粮	2	19
train-s10	长大	2	7
train-s10	本来	2	12
train-s10	就	1	12
train-s10	会	1	6
train-s10	生病	2	15
train-s10	而且	2	11
train-s10	装病	2	22
train-s10	万一	2	4
train-s10	被	1	10
train-s10	拆穿	2	17
train-s10	了	1	2
train-s10	岂	1	6
train-s10	不是	2	13
train-s10	无法	2	12
train-s10	对	1	5
train-s10	广大	2	6
train-s10	的	1	8
train-s10	观众	2	12
train-s10	交代	2	11
train-s11	该剧	2	18
train-s11	两	1	7
train-s11	位	1	7
train-s11	编剧	2	22
train-s11	独孤	2	17
train-s11	红	1	6
train-s11	罗	1	8
train-s11	文忠	2	12
train-s11	在	1	6
train-s11	写	1	5
train-s11	剧本	2	15
train-s11	时	1	7
train-s11	几乎	2	8
train-s11	参考	2	14
train-s11	了	1	2
train-s11	所有	2	14
train-s11	有关	2	12
train-s11	武	1	8
train-s11	则天	2	10
train-s11	的	1	8
train-s11	资料	2	20
train-s11	如	1	6
train-s11	林	1	8
train-s11	语堂	2	20
train-s11	武	1	8
train-s11	则天	2	10
train-s11	传	1	6
train-s11	陈	1	7
train-s11	虹	1	9
train-s11	武	1	8
train-s11	则天	2	10
train-s11	与	1	3
train-s11	狄	1	7
train-s11	仁杰	2	12
train-s11	历代	2	9
train-s11	通俗	2	19
train-s11	演义	2	17
train-s11	童	1	12
train-s11	煦	1	13
train-s11	中国	2	12
train-s11	后妃	2	12
train-s11	列传	2	12
train-s11	黄	1	11
train-s11	柏松	2	17
train-s11	中国	2	12
train-s11	艳姬	2	20
train-s11	等	1	12
train-s12	电视	2	13
train-s12	台	1	5
train-s12	把	1	7
train-s12	一	1	1
train-s12	个	1	3
train-s12	跋扈	2	23
train-s12	专横	2	19
train-s12	乱伦	2	13
train-s12	篡国	2	24
train-s12	的	1	8
train-s12	武	1	8
train-s12	则天	2	10
train-s12	演成	2	20
train-s12	柔弱	2	20
train-s12	堪怜	2	20
train-s12	的	1	8
train-s12	女子	2	6
train-s12	这	1	7
