sent_id	word_sound	upos	character_token_n	sound_n
M010001	['di', 'wu']	m	2	4
M010001	['bu']	q	1	2
M010001	['yu']	d	1	2
M010001	['$i']	v	1	2
M010001	['neŋ', 'li']	n	2	5
M010002	['wo']	r	1	2
M010002	['$e', 'yaŋ']	r	2	5
M010002	['$uo']	v	1	3
M010002	['ɥæn']	d	1	3
M010002	['y#']	v	1	2
M010002	['yi']	m	1	2
M010002	['$oŋ']	q	1	3
M010002	['xiaŋ', 'fa']	n	2	6
M010003	['z#']	p	1	2
M010003	['b#', 'su']	nr	2	4
M010003	['zui', '$u']	d	2	5
M010003	['g#', 'su']	v	2	4
M010003	['$e', 'ge']	r	2	4
M010003	['duo', 'duo']	nr	2	6
M010003	['de']	u	1	2
M010003	['qjəŋ', 'xjəŋ']	n	2	8
M010003	['yi', 'dian']	m	2	6
M010003	['xjəŋ', 'qu']	n	2	6
M010003	['ye']	d	1	2
M010003	['m#', 'y#']	v	2	4
M010003	['h#', 'l#']	t	2	4
M010003	['sui', '$#']	p	2	5
M010003	['ta']	r	1	2
M010003	['jin', 'yi', 'bu']	d	3	7
M010003	['jie', '$#']	v	2	5
M010003	['jian', 'jian']	d	2	8
M010003	['zeŋ', 'jia']	v	2	6
M010003	['zui', 'h#']	f	2	5
M010003	['wo', 'men']	r	2	5
M010003	['$i', 'jian']	f	2	6
M010003	['na']	r	1	2
M010003	['ci']	q	1	2
M010003	['t#', 'lwən']	vn	2	6
M010003	['$i', 'h#']	f	2	4
M010003	['yi', 'jjəŋ']	d	2	6
M010003	['$wən', 'b#']	v	2	6
M010003	['yi', 'qi']	s	2	4
M010003	['l#']	v	1	2
M010003	['guan']	v	1	4
M010003	['$e']	r	1	2
M010003	['jian']	q	1	4
M010003	['le']	y	1	2
M010004	['ke']	v	1	2
M010004	['xian', 'z#']	t	2	6
M010004	['hu', 'ran']	d	2	5
M010004	['g#', 'bian']	v	2	6
M010004	['$u', 'yi']	n	2	4
M010004	['yin', 'w#']	p	2	5
M010004	['$i', 'z#']	d	2	4
M010004	['bjəŋ', 't#']	n	2	6
M010004	['lan', 'de']	v	2	5
M010004	['$en', '$aŋ']	s	2	6
M010004	['laŋ', 'f#']	vn	2	5
M010004	['yi', 'ge']	m	2	4
M010004	['$i', 'qjəŋ']	n	2	6
M010004	['ji']	d	1	2
M010004	['duo']	a	1	3
M010004	['ren']	n	1	3
M010005	['fan']	q	1	3
M010005	['hua']	n	1	3
M010005	['xiaŋ']	v	1	4
M010005	['tjəŋ']	v	1	4
M010005	['xia', 'qu']	v	2	5
M010005	['jiu']	d	1	3
M010005	['$e', '$i']	r	2	4
M010005	['ju']	q	1	2
M010005	['z#', 'ci']	d	2	4
M010005	['b#']	p	1	2
M010005	['di#', 'doŋ']	v	2	6
M010005	['qi', 'l#']	v	2	4
M010006	['na', '$i']	r	2	4
M010006	['gen']	p	1	3
M010006	['ni']	r	1	2
M010006	['yi', 'yaŋ']	u	2	5
M010006	['jue', 'de']	v	2	5
M010006	['nuu', 'h#']	n	2	5
M010008	['dan', '$i']	c	2	5
M010008	['qiu', 'lin']	nr	2	6
M010008	['fu', 'fu']	n	2	4
M010008	['xu', 'duo']	m	2	5
M010008	['nian']	q	1	4
M010008	['jian', 'mian']	v	2	8
M010008	['$e', 'ci']	r	2	4
M010008	['ru', 'ci']	r	2	4
M010008	['jian', 'nan']	a	2	7
M010008	['di']	u	1	2
M010008	['ci', '$eŋ']	r	2	5
M010008	['hen', 'nan', '$uo']	l	3	9
M010008	['huan']	d	1	4
M010008	['hui']	v	1	3
M010008	['bu', 'hui']	v	2	5
M010008	['xia', 'ci']	t	2	5
M010008	['suo', 'yi']	c	2	5
M010008	['bu', 'h#', 'yi', 'si']	ad	4	8
M010008	['bian']	d	1	4
M010008	['jue', 'djəŋ']	v	2	7
M010008	['na', 'li']	r	2	4
M010008	['$u']	v	1	2
M010008	['tian']	q	1	4
M010008	['ran', 'h#']	c	2	5
M010008	['na', 'tian']	t	2	6
M010008	['w#', 'wan']	a	2	5
M010008	['ta', 'men']	r	2	5
M010008	['bie']	d	1	3
M010008	['w#']	p	1	2
M010008	['f#', 'xin']	a	2	5
M010009	['ke', '$i']	c	2	4
M010009	['jie', 'xia', 'l#']	l	3	8
M010009	['yi', 'xie']	m	2	5
M010009	['que']	d	1	3
M010009	['raŋ']	v	1	3
M010009	['$e', 'di']	ad	2	4
M010010	['dui']	p	1	3
M010010	['gan', 'xjəŋ', 'qu']	a	3	9
M010010	['qi', '$en']	v	2	5
M010010	['qu']	v	1	2
M010010	['d#']	v	1	2
M010010	['zuo']	v	1	3
M010010	['xia', 'l#']	v	2	5
M010010	['tan']	v	1	3
M010010	['dian']	q	1	4
M010010	['bie', 'de']	r	2	5
M010011	['bi', 'jjəŋ']	d	2	6
M010011	['ri']	q	1	2
M010011	['daŋ', 'ran']	d	2	6
M010011	['hen', 'duo']	m	2	6
M010012	['tjəŋ', 'd#']	v	2	6
M010012	['$e', 'hua']	r	2	5
M010012	['$uan', 'guo']	v	2	7
M010012	['t#']	n	1	2
M010012	['kan']	v	1	3
M010012	['yi', 'yan']	m	2	5
M010012	['$eŋ', 'h#']	z	2	5
M010013	['ji#', 'huan']	v	2	7
M010013	['yan', '$en']	n	2	6
M010013	['$i', 'bu', 'guo']	d	3	7
M010013	['$wən', 'jian']	t	2	8
M010013	['ye', 'xu']	d	2	4
M010013	['$i', 'fen', '$i', 'yi', 'mi#']	t	5	12
M010013	['b#', 'fen', '$i', 'yi', 'mi#']	t	5	12
M010013	['$#']	r	1	2
M010013	['neŋ']	v	1	3
M010013	['qjəŋ', '$u']	a	2	6
M010014	['coŋ']	p	1	3
M010014	['kan', 'd#']	v	2	5
M010014	['jian', 'ren']	an	2	7
M010014	['coŋ', 'er']	c	2	5
M010014	['$i', 'd#']	v	2	4
M010014	['si', 'hu']	d	2	4
M010014	['y#', 'xie']	r	2	5
M010014	['te', 'bie']	a	2	5
M010014	['er', 'qie']	c	2	5
M010014	['z#', 'yi']	d	2	4
M010014	['djəŋ']	v	1	4
M010014	['yi', 'djəŋ']	d	2	6
M010014	['guo', 'wen']	v	2	6
M010014	['yi', 'xia']	m	2	5
M010014	['bjəŋ', 'qie']	c	2	7
M010014	['la']	v	1	2
M010014	['jin', 'xjəŋ']	v	2	7
M010015	['jiaŋ']	p	1	4
M010015	['duan']	ag	1	4
M010015	['guo', 'l#']	v	2	5
M010015	['mian', 'qian']	f	2	8
M010015	['zuo', 'xia']	v	2	6
M010015	['jiu', 'b#']	n	2	5
M010015	['yi', 'si']	n	2	4
M010015	['ji', 'ran']	c	2	5
M010015	['ren', 'w#']	v	2	5
M010015	['bi', 'y#']	a	2	4
M010015	['h#']	a	1	2
M010015	['b#', '$eŋ']	v	2	5
M010015	['zi']	n	1	2
M010015	['lu']	v	1	2
M010016	['di', 'er']	m	2	4
M010016	['f#', 'xjəŋ']	vn	2	6
M010016	['jie', '$u']	v	2	5
M010016	['$i', 'ji', '$aŋ']	d	3	7
M010016	['hen']	d	1	3
M010016	['wan']	d	1	3
M010016	['$an']	n	1	3
M010016	['b#', 'tian']	t	2	6
M010016	['he']	c	1	2
M010016	['hui', 'd#']	v	2	5
M010016	['jia']	n	1	3
M010016	['l#', 'qjəŋ']	nr	2	6
M010016	['zuo', 'h#']	v	2	5
M010016	['wan', 'fan']	n	2	6
M010016	['yi', 'jia', 'ren']	n	3	8
M010016	['$eŋ']	d	1	3
M010016	['jia', 'li']	s	2	5
M010016	['deŋ']	v	1	3
M010017	['bjəŋ']	d	1	4
M010017	['$oŋ', 'can']	n	2	6
M010017	['du', 'zi']	n	2	4
M010017	['e']	v	1	1
M010018	['guo']	v	1	3
M010018	['yi', 'hui']	m	2	5
M010018	['qi', 'jian']	f	2	6
M010018	['y#', 'yi']	d	2	4
M010018	['ti', 'qi']	v	2	4
M010018	['$i', '$i']	d	2	4
M010018	['tan', 'qi']	v	2	5
M010018	['xiaŋ', 'hu']	b	2	6
M010018	['jjəŋ', 'li']	n	2	6
M010019	['jiu', '$i']	d	2	5
M010019	['li', 'k#']	v	2	4
M010019	['fan', 'hua']	a	2	6
M010019	['du', '$i']	n	2	4
M010019	['$en', '$an']	n	2	6
M010019	['$i', 'fen']	d	2	5
M010019	['njəŋ', 'jjəŋ']	a	2	8
M010019	['$eŋ', 'huo']	vn	2	6
M010019	['$eŋ', 'er', 'yu', 'nuu']	l	4	10
M010019	['qu', '$e']	an	2	4
M010020	['$i', 'yu']	p	2	4
M010020	['d#', '$i']	d	2	4
