sent_id	phrase_text	word_n	character_n
w01001049	宪章	1	2
w01001049	曾	1	1
w01001049	商人+行会	2	4
w01001049	的	1	1
w01001049	城镇+市民	2	4
w01001049	城镇	1	2
w01001049	的	1	1
w01001049	以	1	1
w01001049	向+人士	2	3
w01001049	税费	1	2
w01002008	尤	1	1
w01002008	为	1	1
w01002008	矿物+资源	2	4
w01002008	大量+的+钻石+锰矿+铅矿+锌矿+镍矿+钴矿+钼矿+以及+黄金	11	21
w01002013	地区+在+极西北+以外+泰加林+地位+统治+具有	8	17
w01002013	它	1	1
w01002013	了	1	1
w01002013	西伯利亚+整个+的+个+一+重要+部分	7	13
w01002075	年+2019+世界+大学生+冬季+运动会	6	15
w01002075	将	1	1
w01002075	雅茨克	1	3
w01003051	莱恩+马尔代夫+和+群岛	4	9
w01003051	于	1	1
w01003051	太平洋	1	3
w01003051	的	1	1
w01003051	于	1	1
w01003051	印度洋	1	3
w01003051	的	1	1
w01003056	岛屿+花岗岩+塞舌尔+刁曼岛+和+包括	6	14
w01003056	火山岩+岛屿	2	5
w01003056	则	1	1
w01003056	圣赫勒拿岛	1	5
w01003062	的	1	1
w01003062	墨西哥+加利福尼亚州+下+小岛屿	4	13
w01003062	就	1	1
w01003062	于	1	1
w01003062	沙漠+荒岛	2	4
w01004051	进口+谷物	2	4
w01004051	自+塞西亚	2	4
w01004051	的	1	1
w01004051	着	1	1
w01004051	海峡+要道	2	4
w01004051	的	1	1
w01004051	与	1	1
w01004051	城市	1	2
w01004051	麦加拉+的+拜占廷+殖民地	4	10
w01004051	世纪+公元+前+五+的+希腊+雅典+城邦	8	13
w01004051	因+此	2	2
w01004051	着	1	1
w01004051	关键+同盟+关系	3	6
w01005020	大流士	1	3
w01005020	十分	1	2
w01005020	的	1	1
w01005020	美伽巴佐斯+司令官	2	8
w01005020	目标	1	2
w01005020	巴尔干	1	3
w01005020	的	1	1
w01005021	阿契美尼德+军队	2	7
w01005021	了	1	1
w01005021	色雷斯+希腊+的+沿海+培奥尼亚人+以及+城市	7	17
w01005022	最终	1	2
w01005022	在+约+公元+前+年+512+511+年	8	13
w01005022	国王+马其顿+阿闵塔斯+一世+了+统治+阿契美尼德+的+接受	9	22
w01005022	全国	1	2
w01005022	为	1	1
w01005022	帝国+阿契美尼德波斯+的+附庸国	4	13
w01005023	族裔+多+的+阿契美尼德+军队	5	11
w01005023	了	1	1
w01005023	许多+巴尔干人	2	6
w01005024	此外	1	2
