sent_id	phrase_text	word_n	character_n
651	刚才	1	2
651	秘书处	1	3
651	已	1	1
651	五+后+分钟	3	4
652	现在	1	2
652	时间	1	2
652	已	1	1
652	了	1	1
652	五+分钟	2	3
653	我	1	1
653	想	1	1
653	跟+大家	2	3
653	今天+的+会议	3	5
653	两+部分	2	3
654	刚才	1	2
654	大家	1	2
654	已	1	1
654	的	1	1
654	第一+部分	2	4
654	是	1	1
655	而	1	1
655	第二+部分	2	4
655	立法会+主席	2	5
656	我	1	1
656	同事	1	2
656	对+候选人+主席+的+国籍+问题	6	11
656	些	1	1
656	意见	1	2
657	候选人	1	3
657	就+某些+方面	3	5
657	澄清	1	2
658	由于	1	2
658	今天+的+会议	3	5
658	并	1	1
658	任何+程序	2	4
658	我们	1	2
658	在+内+会议厅	3	5
658	提问+辩论+谘询+或+等+澄清	6	10
658	因此	1	2
658	我们	1	2
658	不+可以	2	3
658	在+内+会议厅	3	5
658	这些+工作	2	4
659	为	1	1
659	一些+议员	2	4
659	此+事	2	2
659	的	1	1
659	能	1	1
659	澄清	1	2
659	不过	1	2
659	我	1	1
659	议员+梁君彦	2	5
659	稍后	1	2
659	到+外+会议厅	3	5
659	向+新闻+传媒	3	5
659	他+的+国籍+问题	4	6
660	此+事	2	2
660	的	1	1
660	而	1	1
660	议员	1	2
660	亦	1	1
660	可	1	1
660	他+的+阐述	3	4
660	以及	1	2
660	可以	1	2
660	向	1	1
660	他	1	1
661	在+内+会议厅	3	5
661	根据+规则	2	4
661	我	1	1
661	不	1	1
661	能	1	1
661	大家	1	2
661	或	1	1
661	任何+讨论	2	4
662	我	1	1
662	现在	1	2
662	议员	1	2
662	此+事	2	2
662	的	1	1
662	到+外+会议厅	3	5
662	梁君彦+议员+的+交代	4	8
663	我	1	1
663	会议	1	2
663	将	1	1
663	在+时+二+分+三十+下午	6	8
663	正式	1	2
664	我+的+发言	3	4
664	到此	1	2
665	现在	1	2
665	会议	1	2
666	现在	1	2
666	二+分+三十五+时	4	6
666	我	1	1
666	原先	1	2
666	的	1	1
666	二+分+三十+时	4	5
666	会议	1	2
666	较+时间	2	3
666	了	1	1
666	五+分钟	2	3
667	我	1	1
667	不+想	2	2
667	再	1	1
668	现在	1	2
668	正式	1	2
669	会议	1	2
669	现	1	1
669	已	1	1
669	我	1	1
669	所有+同事	2	4
669	自己+的+座位	3	5
670	我们	1	2
670	秩序	1	2
670	地	1	1
670	今天	1	2
670	程式	1	2
670	主席	1	2
670	的	1	1
671	我	1	1
671	现在	1	2
671	再	1	1
671	所有+同事	2	4
671	自己+的+座位	3	5
672	议员	1	2
672	想	1	1
672	规程+问题	2	4
673	但	1	1
673	其他+同事	2	4
673	秘书	1	2
673	先行	1	2
673	座位	1	2
673	我	1	1
673	一些+文书+工作	3	6
674	秘书	1	2
674	上	1	1
674	否则	1	2
674	会	1	1
674	比较	1	2
675	我	1	1
675	其他+议员	2	4
675	先	1	1
675	座位	1	2
675	我们	1	2
675	可以	1	2
675	会议	1	2
676	如果	1	2
676	大家	1	2
676	任何+规程+问题	3	6
676	可以	1	2
677	我	1	1
677	会	1	1
677	大家	1	2
677	时间	1	2
678	主席	1	2
678	我	1	1
678	想	1	1
678	秘书处	1	3
678	否+有	2	2
678	梁君彦+议员+的+国籍+问题	5	10
679	他	1	1
680	刚才	1	2
680	我	1	1
680	过	1	1
680	有关	1	2
680	议员	1	2
680	的	1	1
680	国籍+问题	2	4
680	不	1	1
680	是	1	1
680	今天+的+会议	3	5
680	讨论	1	2
681	的	1	1
682	先	1	1
682	我	1	1
682	吗	1	1
683	我	1	1
683	刚才	1	2
683	已经	1	2
683	过	1	1
683	为了	1	2
683	大家	1	2
683	进一步	1	3
683	国籍+梁君彦+议员+有关+的+问题	6	12
683	或	1	1
683	他	1	1
683	我	1	1
683	已	1	1
683	作出+特别	2	4
683	时间	1	2
683	议员+梁	2	3
683	在+外+会议厅	3	5
683	向+传媒	2	3
683	澄清+和+交代	3	5
684	如果	1	2
684	各位	1	2
684	刚才	1	2
684	有	1	1
684	便	1	1
684	应该	1	2
684	情况	1	2
685	无论	1	2
685	当事人	1	3
685	如何	1	2
685	及	1	1
685	不过	1	2
685	在+这个+上+会议	4	6
685	我	1	1
685	不	1	1
685	能	1	1
685	大家	1	2
686	作为+会议+主持人	3	7
686	我	1	1
686	只	1	1
686	能	1	1
686	根据+会议+规则	3	6
686	程序	1	2
687	如果+议员+想	3	5
687	他+的+问题	3	4
687	满意+的+答复	3	5
687	可以	1	2
687	在+其他+场合	3	5
688	今天+的+中+会议	4	6
688	则	1	1
688	办法	1	2
688	这个+问题	2	4
689	我+现在+想	3	4
689	哪些+议员	2	4
689	刚才	1	2
689	曾	1	1
689	想	1	1
689	规程+问题	2	4
690	我	1	1
690	不+到	2	2
691	秘书	1	2
691	曾	1	1
691	的	1	1
691	想	1	1
691	规程+问题	2	4
691	把+议员+名单	3	5
691	给+我	2	2
692	因为	1	2
692	我	1	1
692	不+到	2	2
693	今天	1	2
693	我	1	1
693	不+想	2	2
693	跟+大家	2	3
693	其他+问题	2	4
693	因为	1	2
693	我	1	1
693	权力	1	2
693	这样	1	2
694	我	1	1
694	只是	1	2
694	会议+规则	2	4
695	其实	1	2
695	我	1	1
695	也	1	1
695	不	1	1
695	很+想	2	2
695	这+会议	2	3
696	议员	1	2
696	时间	1	2
696	最	1	1
696	的	1	1
696	不过	1	2
696	根据+规则+附表+一+段+第六+七+及+的+规定	10	15
696	由+我	2	2
696	会议	1	2
697	根据+会议+规则	3	6
697	我	1	1
697	现在	1	2
697	只	1	1
697	能	1	1
697	投票+的+过程	3	5
698	其他+事情	2	4
698	我	1	1
698	无法	1	2
699	如果	1	2
699	我	1	1
699	的话	1	2
699	便	1	1
699	会议+规则	2	4
700	不	1	1
700	的	1	1
701	大家	1	2
701	如果	1	2
701	我	1	1
701	这+个+会议	3	4
701	究竟	1	2
701	我+只+能够	3	4
701	根据+会议+规则	3	6
701	这+个+会议	3	4
701	是	1	1
701	的	1	1
702	议员	1	2
702	如果	1	2
702	想	1	1
702	规程+问题	2	4
702	我	1	1
702	再	1	1
702	大家	1	2
702	先	1	1
702	自己+的+座位	3	5
703	我	1	1
703	会	1	1
703	大家	1	2
704	我们	1	2
704	不	1	1
704	又	1	1
704	呢	1	1
705	如果	1	2
705	议员	1	2
705	真的	1	2
705	不	1	1
705	座位	1	2
705	也	1	1
705	不	1	1
706	不要	1	2
706	骚扰	1	2
706	但	1	1
706	以便	1	2
706	会议	1	2
706	可	1	1
707	秘书	1	2
707	我	1	1
707	的	1	1
707	规程+问题	2	4
707	的	1	1
707	根据+名单	2	4
707	第一+位+议员	3	5
707	是	1	1
707	议员	1	2
708	根据+规则	2	4
708	今天+的+规程	3	5
708	只	1	1
708	能够	1	2
708	过程	1	2
709	如果	1	2
709	其他+问题	2	4
709	议员	1	2
709	在+其他+场合	3	5
710	现在	1	2
710	议员+毛孟静	2	5
711	主席	1	2
712	我	1	1
712	不	1	1
712	故意	1	2
712	要	1	1
712	你	1	1
712	或	1	1
713	还	1	1
713	要	1	1
713	你	1	1
713	试图	1	2
713	我们	1	2
713	到+外+会议厅	3	5
713	梁君彦+议员+的+解释	4	8
714	我们	1	2
714	已	1	1
714	解释+他+的+罢	4	5
715	他	1	1
715	第一+封+信	3	4
715	国籍+其+居留权+或+外国+的+问题	7	12
716	中+信	2	2
716	已	1	1
