sent_id	phrase_text	word_n	character_n
651	刚才+	1	2
651	秘书处+	1	3
651	已+	1	1
651	分钟+五+后+	3	4
651	复会+	1	2
652	现在+	1	2
652	时间+	1	2
652	已+	1	1
652	了+	1	1
652	分钟+五+	2	3
653	我+	1	1
653	想+	1	1
653	大家+跟+	2	3
653	分为+今天+的+会议+两+部分+	6	10
654	部分+第一+	2	4
654	是+	1	1
654	完成+刚才+大家+已+的+	5	8
655	而+	1	1
655	部分+第二+	2	4
655	选举+立法会+主席+	3	7
656	我+	1	1
656	有+同事+对+主席+候选人+的+国籍+问题+有+些+意见+	11	18
657	候选人+	1	3
657	作出+就+某些+方面+澄清+	5	9
658	没有+由于+今天+的+会议+并+任何+程序+容许+我们+在+会议厅+内+进行+澄清+提问+辩论+或+谘询+等+	20	35
658	因此+	1	2
658	我们+	1	2
658	可以+不+	2	3
658	会议厅+在+内+	3	5
658	工作+这些+	2	4
659	不过+	1	2
659	让+为+一些+关注+此+事+的+议员+能+获+澄清+	11	15
659	我+	1	1
659	交代+梁君彦+议员+稍后+到+会议厅+外+向+新闻+传媒+他+的+国籍+问题+	14	25
660	而+	1	1
660	议员+关注+此+事+的+	5	7
660	亦+	1	1
660	可+	1	1
660	聆听+他+的+阐述+以及+可以+向+他+提问+	9	14
661	会议厅+在+内+	3	5
661	规则+根据+议事+	3	6
661	我+	1	1
661	不+	1	1
661	能+	1	1
661	大家+	1	2
661	提问+或+作出+任何+讨论+	5	9
662	我+	1	1
662	现在+	1	2
662	议员+关注+此+事+的+	5	7
662	听取+到+会议厅+外+梁君彦+议员+的+交代+	8	15
663	我+	1	1
663	恢复+会议+将+在+下午+二+时+三十+分+正式+	10	15
664	发言+我+的+	3	4
664	到此+	1	2
665	现在+	1	2
665	会议+	1	2
666	现在+	1	2
666	时+二+三十五+分+	4	6
666	迟+较+我+原先+宣布+二+时+三十+分+恢复+会议+的+时间+了+五+分钟+	16	23
667	我+	1	1
667	想+不+	2	2
667	再+	1	1
668	现在+	1	2
668	复会+正式+	2	4
669	恢复+会议+现+已+	4	6
669	我+	1	1
669	返回+所有+同事+自己+的+座位+	6	11
670	我们+	1	2
670	进行+今天+可以+有+秩序+地+选举+主席+的+程式+	10	17
671	我+	1	1
671	现在+	1	2
671	再+	1	1
671	同事+所有+	2	4
671	返回+自己+的+座位+	4	7
672	议员+想+提出+规程+问题+	5	9
673	但+	1	1
673	同事+其他+	2	4
673	返回+先行+座位+	3	6
673	让+帮+我+做+一些+文书+工作+	7	10
673	秘书+	1	2
674	否则+	1	2
674	没有+秘书+帮忙+	3	6
674	处理+上+	2	3
674	会+	1	1
674	比较+	1	2
675	我+	1	1
675	返回+其他+议员+先+座位+	5	9
675	让+我们+可以+进行+会议+	5	9
676	有+如果+大家+任何+规程+问题+	6	11
676	可以+	1	2
677	我+	1	1
677	会+	1	1
677	大家+	1	2
677	时间+	1	2
678	主席+	1	2
678	我+	1	1
678	想+	1	1
678	处理+秘书处+有+否+梁君彦+议员+的+国籍+问题+	9	17
679	他+	1	1
680	刚才+	1	2
680	我+	1	1
680	过+	1	1
680	范畴+有关+梁君彦+议员+的+国籍+问题+不+是+今天+会议+的+讨论+	13	23
681	的+	1	1
682	让+先+我+说+	4	4
682	可以+吗+	2	3
683	我+	1	1
683	刚才+	1	2
683	已经+	1	2
683	过+	1	1
683	安排+为了+让+大家+进一步+了解+有关+梁君彦+议员+的+国籍+问题+或+要求+他+澄清+我+已+作出+特别+时间+让+梁+议员+在+会议厅+外+向+传媒+作出+交代+和+澄清+	33	57
684	出席+如果+各位+刚才+有+	5	9
684	便+	1	1
684	应该+	1	2
684	如何+情况+	2	4
685	不过+	1	2
685	澄清+无论+当事人+如何+及+解释+	6	12
685	会议+在+这个+上+	4	6
685	我+	1	1
685	不+	1	1
685	能+	1	1
685	令+大家+满意+	3	5
686	主持人+作为+会议+	3	7
686	我+	1	1
686	只+	1	1
686	能+	1	1
686	规则+根据+会议+	3	6
686	程序+	1	2
687	确保+如果+议员+想+他+的+问题+得到+满意+的+答复+	11	18
687	可以+	1	2
687	场合+在+其他+	3	5
688	会议+今天+的+中+	4	6
688	则+	1	1
688	办法+处理+这个+问题+	4	8
689	想+我+现在+	3	4
689	有+刚才+哪些+议员+曾+举手+想+提出+规程+问题+	10	17
690	我+	1	1
690	到+不+	2	2
691	秘书+	1	2
691	帮忙+把+曾+举手+表示+想+提出+规程+问题+的+议员+名单+交+给+我+	15	23
692	因为+	1	2
692	我+	1	1
692	到+不+	2	2
693	今天+	1	2
693	我+	1	1
693	想+不+	2	2
693	大家+跟+	2	3
693	问题+其他+	2	4
693	没有+因为+我+权力+这样+做+	6	10
694	我+	1	1
694	只是+	1	2
694	规则+会议+	2	4
695	其实+	1	2
695	我+	1	1
695	也+	1	1
695	不+	1	1
695	主持+很+想+这+会议+	5	7
696	不过+	1	2
696	规定+根据+议事+规则+附表+一+第六+及+七+段+的+	11	17
696	我+由+担任+议员+时间+最+长+的+	8	11
696	主持+会议+	2	4
697	规则+根据+会议+	3	6
697	我+	1	1
697	现在+	1	2
697	只+	1	1
697	能+	1	1
697	过程+投票+的+	3	5
698	事情+其他+	2	4
698	我+	1	1
698	无法+	1	2
699	处理+如果+我+的话+	4	7
699	便+	1	1
699	规则+会议+	2	4
700	合法+不+的+	3	4
701	要+大家+如果+我+表明+这+个+会议+究竟+是+否+合法+	12	18
701	能够+我+只+	3	4
701	合法+根据+会议+规则+这+个+会议+是+的+	9	14
702	提出+议员+如果+想+规程+问题+	6	11
702	我+	1	1
702	再+	1	1
702	大家+	1	2
702	返回+先+自己+的+座位+	5	8
703	我+	1	1
703	会+	1	1
703	大家+	1	2
703	发言+	1	2
704	离开+我们+不+	3	5
704	又+	1	1
704	呢+	1	1
705	返回+如果+议员+真的+不+座位+	6	11
705	也+	1	1
705	不+	1	1
706	但+	1	1
706	请+不要+作出+骚扰+	4	7
706	以便+	1	2
706	会议+	1	2
706	可+	1	1
706	进行+	1	2
707	名单+根据+秘书+给+我+的+	6	9
707	议员+第一+位+提出+规程+问题+的+	7	12
707	是+	1	1
707	议员+	1	2
708	规则+根据+议事+	3	6
708	规程+今天+的+	3	5
708	只+	1	1
708	能够+	1	2
708	过程+选举+	2	4
709	有+如果+其他+问题+	4	7
709	议员+	1	2
709	提出+在+其他+场合+	4	7
710	现在+	1	2
710	毛孟静+议员+	2	5
710	提问+	1	2
711	主席+	1	2
712	我+	1	1
712	不+	1	1
712	为难+故意+要+你+或+什么+	6	9
713	还+	1	1
713	要+	1	1
713	安排+你+试图+我们+到+会议厅+外+聆听+梁君彦+议员+的+解释+	12	22
714	我们+	1	2
714	已+	1	1
714	罢+他+的+解释+	4	5
715	他+	1	1
715	是+第一+封+信+关乎+其+国籍+或+外国+居留权+的+问题+	12	19
716	信+中+	2	2
716	enclosed+已+附上+放弃+国籍+的+声明+	7	18
717	但+	1	1
717	copy+相关+的+	3	7
717	却+	1	1
717	并不+	1	2
718	原来+	1	2
718	那+	1	1
718	是+	1	1
718	一+封+	2	2
719	信+第二+封+	3	4
719	才+	1	1
719	是+	1	1
720	但+	1	1
720	他+	1	1
720	暂时+	1	2
720	仍+	1	1
720	未+	1	1
720	到+	1	1
721	我+	1	1
721	想+	1	1
721	此+就+	2	2
721	问题+规程+	2	4
722	因为+	1	2
722	基本法+	1	3
722	已+	1	1
