sent_id	word_char	upos	character_token_n	component_n
A010001	大	a	1	1
A010001	墙	n	1	5
A010001	内外	f	2	4
A010001	监狱	n	2	6
A010001	纪实	n	2	5
A010001	三	m	1	3
A010003	或许	d	2	6
A010003	在	p	1	2
A010003	这	r	1	2
A010003	忙碌	a	2	5
A010003	中	f	1	1
A010003	开始	v	2	4
A010003	算清	v	2	5
A010003	了	u	1	1
A010003	为	p	1	1
A010003	那	r	1	2
A010003	九十万	m	3	3
A010003	斤	q	1	1
A010003	粮票	n	2	4
A010003	他	r	1	2
A010003	应	v	1	2
A010003	付出	v	2	4
A010003	的	u	1	2
A010003	巨大	a	2	3
A010003	代价	n	2	5
A010004	他	r	1	2
A010004	又	d	1	1
A010004	从	p	1	2
A010004	这	r	1	2
A010004	代价	n	2	5
A010004	中	f	1	1
A010004	学习	v	2	4
A010004	着	u	1	2
A010004	在	p	1	2
A010004	学校	n	2	6
A010004	中	f	1	1
A010004	从未	d	2	3
A010004	学	v	1	3
A010004	过	u	1	2
A010004	的	u	1	2
A010004	知识	n	2	5
A010004	学习	v	2	4
A010004	着	u	1	2
A010004	人生	n	2	2
A010005	就	p	1	4
A010005	个人	n	2	2
A010005	而言	u	2	5
A010005	他	r	1	2
A010005	走	v	1	2
A010005	着	u	1	2
A010005	一	m	1	1
A010005	条	q	1	2
A010005	悲剧	n	2	6
A010005	式	k	1	2
A010005	的	u	1	2
A010005	路	n	1	3
A010006	若	c	1	3
A010006	从	p	1	2
A010006	社会	n	2	5
A010006	的	u	1	2
A010006	角度	n	2	5
A010006	来看	v	2	3
A010006	的	u	1	2
A010006	判刑	v	2	4
A010006	是	v	1	2
A010006	教育	vn	2	5
A010006	的	u	1	2
A010006	失败	vn	2	3
A010006	家庭	n	2	5
A010006	的	u	1	2
A010006	学校	n	2	6
A010006	的	u	1	2
A010007	父母	n	2	3
A010007	期望	vn	2	6
A010007	儿子	n	2	2
A010007	成	v	1	1
A010007	龙	n	1	1
A010008	重点	n	2	4
A010008	中学	n	2	4
A010008	学生	n	2	4
A010008	的	u	1	2
A010008	桂冠	n	2	7
A010008	使	v	1	2
A010008	他	r	1	2
A010008	一门心思	l	4	5
A010008	把	p	1	2
A010008	自己	r	2	3
A010008	的	u	1	2
A010008	前途	n	2	6
A010008	和	c	1	2
A010008	清华	j	2	5
A010008	北大	j	2	2
A010008	紧	d	1	3
A010008	连	v	1	2
A010008	一起	s	2	3
A010008	他	r	1	2
A010008	踌躇满志	i	4	12
A010008	觉得	v	2	7
A010008	胜券	n	2	4
A010008	在握	v	2	5
A010009	但是	c	2	5
A010009	高中	n	2	5
A010009	毕业	v	2	5
A010009	体检表	n	3	7
A010009	上	f	1	2
A010009	的	u	1	2
A010009	色盲	n	2	4
A010009	二	m	1	2
A010009	字	n	1	2
A010009	把	p	1	2
A010009	他	r	1	2
A010009	打	v	1	2
A010009	得	u	1	4
A010009	晕头转向	i	4	8
A010009	他	r	1	2
A010009	不得已	ad	3	6
A010009	报	v	1	2
A010009	了	u	1	1
A010009	师范	n	2	5
A010009	院校	n	2	7
A010009	尽管	c	2	5
A010009	录取	v	2	4
A010009	他	r	1	2
A010009	的	u	1	2
A010009	师范大学	n	4	9
A010009	依然	d	2	5
A010009	是	v	1	2
A010009	全国	n	2	5
A010009	重点	n	2	4
A010009	但	c	1	3
A010009	他	r	1	2
A010009	觉得	v	2	7
A010009	自己	r	2	3
A010009	已	d	1	1
A010009	从	p	1	2
A010009	宝塔	n	2	7
A010009	顶	ng	1	2
A010009	上	f	1	2
A010009	跌落	v	2	6
A010009	下来	v	2	3
A010009	了	y	1	1
A010010	入学	v	2	4
A010010	后	f	1	3
A010010	从不	d	2	3
A010010	佩戴	v	2	7
A010010	校徽	n	2	8
A010010	未来	t	2	2
A010010	孩子王	n	3	4
A010010	的	u	1	2
A010010	前途	n	2	6
A010010	使	v	1	2
A010010	他	r	1	2
A010010	终日	m	2	4
A010010	恹恹	z	2	6
A010010	感到	v	2	6
A010010	活	v	1	2
A010010	着	u	1	2
A010010	无味	a	2	3
A010011	他	r	1	2
A010011	每日	r	2	3
A010011	回到	v	2	5
A010011	离	v	1	4
A010011	校	ng	1	3
A010011	很	d	1	2
A010011	近	a	1	2
A010011	的	u	1	2
A010011	家里	s	2	3
A010011	咀嚼	v	2	7
A010011	自己	r	2	3
A010011	的	u	1	2
A010011	孤独	an	2	4
A010012	他	r	1	2
A010012	把	p	1	2
A010012	自己	r	2	3
A010012	关	v	1	2
A010012	在	p	1	2
A010012	小	a	1	1
A010012	屋里	s	2	3
A010012	做出	v	2	6
A010012	认真	ad	2	5
A010012	读书	v	2	4
A010012	的	u	1	2
A010012	样子	n	2	3
A010012	瞒哄	v	2	6
A010012	父母	n	2	3
A010012	而	c	1	1
A010012	实际上	d	3	7
A010012	他	r	1	2
A010012	正在	u	2	4
A010012	无望	v	2	4
A010012	中	f	1	1
A010012	挣扎	v	2	4
A010013	他	r	1	2
A010013	经常	d	2	6
A010013	旷课	v	2	4
A010013	却	d	1	2
A010013	经常	d	2	6
A010013	告诉	v	2	4
A010013	父母	n	2	3
A010013	今日	t	2	2
A010013	无	v	1	1
A010013	课	n	1	2
A010014	没有	d	2	3
A010014	上	v	1	2
A010014	过	u	1	2
A010014	大学	n	2	4
A010014	的	u	1	2
A010014	父母	n	2	3
A010014	在	p	1	2
A010014	对	p	1	2
