sent_id	word_sound	character_token_n	sound_n
n01001011	['sui', 'ran']	2	6
n01001011	['m#', 'guo']	2	5
n01001011	['de']	1	2
n01001011	['xu', 'duo']	2	5
n01001011	['$u', 'zi', 'hua']	3	7
n01001011	['$uan', 'xjəŋ']	2	8
n01001011	['d#', '$i']	2	4
n01001011	['$i', 'wu', 'qian', 'li']	4	10
n01001011	['de']	1	2
n01001011	['dan']	1	3
n01001011	['quan', 'li']	2	6
n01001011	['de']	1	2
n01001011	['he', 'pjəŋ']	2	6
n01001011	['$uan', 'yi']	2	6
n01001011	['que']	1	3
n01001011	['cwən', 'z#']	2	6
n01001011	['xian', 'li']	2	6
n01001011	['#', 'ba', 'ma']	3	5
n01001011	['de']	1	2
n01001011	['te', 'bie']	2	5
n01001011	['$u', 'li']	2	4
n01001011	['ke', 'rui']	2	5
n01001011	['$u', 'er', 'man']	3	7
n01001011	['z#']	1	2
n01001011	['$#']	1	2
n01001011	['yi']	1	2
n01001011	['fa', 'bu']	2	4
n01001011	['de']	1	2
n01001011	['bwo', 'ke']	2	5
n01001011	['$oŋ']	1	3
n01001011	['xie', 'd#']	2	5
n01001013	['dui', 'yu']	2	5
n01001013	['toŋ', 'guo']	2	6
n01001013	['$e', 'ji#']	2	5
n01001013	['m#', 'ti']	2	4
n01001013	['l#']	1	2
n01001013	['gen', 'zoŋ']	2	6
n01001013	['guo', 'hui', '$an']	3	9
n01001013	['ren', '$i']	2	5
n01001013	['bian', 'qian']	2	8
n01001013	['de']	1	2
n01001013	['ren']	1	3
n01001013	['er']	1	2
n01001013	['yan']	1	3
n01001013	['$e']	1	2
n01001013	['ci']	1	2
n01001013	['yu']	1	2
n01001013	['yi', 'waŋ']	2	5
n01001013	['y#']	1	2
n01001013	['suo']	1	3
n01001013	['bu', 'toŋ']	2	5
n01002017	['dan', '$i']	2	5
n01002017	['ta']	1	2
n01002017	['z#']	1	2
n01002017	['guo', 'qu']	2	5
n01002017	['de']	1	2
n01002017	['yi']	1	2
n01002017	['ci']	1	2
n01002017	['jin', 'xjəŋ']	2	7
n01002017	['yi', 'min']	2	5
n01002017	['xue', 'jian']	2	7
n01002017	['xiaŋ', 'guan']	2	8
n01002017	['yan', '$uo']	2	6
n01002017	['de']	1	2
n01002017	['xiu', 'xi']	2	5
n01002017	['huan', 'jie']	2	7
n01002017	['zuo']	1	3
n01002017	['w#']	1	2
n01002017	['goŋ', 'he', 'daŋ']	3	8
n01002017	['h#', 'xuan', 'ren']	3	9
n01002017	['ta']	1	2
n01002017	['ceŋ']	1	3
n01002017	['xuan', '$eŋ']	2	7
n01002017	['zuo']	1	3
n01002017	['w#']	1	2
n01002017	['zoŋ', 'toŋ']	2	6
n01002017	['ji']	1	2
n01002017	['yu']	1	2
n01002017	['$eŋ', 'ji']	2	5
n01002017	['de']	1	2
n01002017	['k#', 'liaŋ']	2	6
n01002017	['ta']	1	2
n01002017	['jiaŋ']	1	4
n01002017	['yun', 'xu']	2	5
n01002017	['$#']	1	2
n01002017	['da', 'liaŋ']	2	6
n01002017	['he', 'fa']	2	4
n01002017	['yi', 'min']	2	5
n01002032	['suo', 'yi']	2	5
n01002032	['wo']	1	2
n01002032	['bu', 'xiaŋ']	2	6
n01002032	['g#']	1	2
n01002032	['ni', 'men']	2	5
n01002032	['$i', 'jia']	2	5
n01002032	['na', 'pa']	2	4
n01002032	['yi', 'djəŋ', 'dian']	3	10
n01002032	['de']	1	2
n01002032	['ya', 'li']	2	4
n01002032	['dan']	1	3
n01002032	['ni', 'men']	2	5
n01002032	['jian', 'fu']	2	6
n01002032	['de']	1	2
n01002032	['$i']	1	2
n01002032	['goŋ', 'he', 'guo']	3	8
n01002032	['de']	1	2
n01002032	['mjəŋ', 'yun']	2	7
n01002032	['#', 'ba', 'ma']	3	5
n01002032	['dui']	1	3
n01002032	['z#']	1	2
n01002032	['b#', 'ka', 'luo', 'l#', 'na']	5	11
n01002032	['da', 'xue']	2	5
n01002032	['yun', 'doŋ', '$aŋ']	3	9
n01002032	['$aŋ']	1	3
n01002032	['de']	1	2
n01002032	['qun', '$oŋ']	2	6
n01002032	['$uo', 'd#']	2	5
n01002042	['xi', 'la', 'li']	3	6
n01002042	['de']	1	2
n01002042	['ju', 'e']	2	3
n01002042	['yin', 'haŋ']	2	6
