sent_id	clause_text	clause_deprel	c_phrase_n	word_n
651	刚才+秘书处+已+分钟+五+后+	root	4	7
651		ccomp	0	1
652	现在+时间+已+了+分钟+五+	root	5	7
653	我+想+大家+跟+	root	3	5
653	会议+今天+的+部分+两+	ccomp	2	6
654	刚才+大家+已+的+	acl	4	5
654	部分+第一+是+	root	2	4
655	而+部分+第二+	root	2	4
655	主席+立法会+	ccomp	1	3
656	我+	root	1	2
656	同事+	ccomp	1	2
656	问题+对+候选人+主席+的+国籍+些+意见+	acl	3	9
657	候选人+	root	1	2
657	方面+就+某些+澄清+	xcomp	2	5
658	由于+会议+今天+的+并+程序+任何+	advcl	4	8
658	我们+	acl	1	2
658	会议厅+在+内+澄清+提问+辩论+谘询+或+等+	xcomp	2	10
658	因此+我们+可以+不+会议厅+在+内+工作+这些+	root	5	10
659	为+议员+一些+	advcl	2	4
659	事+此+的+	acl	2	4
659	能+澄清+	xcomp	2	3
659	不过+我+	root	2	3
659	梁君彦+议员+稍后+会议厅+到+外+传媒+向+新闻+问题+他+的+国籍+	ccomp	5	14
660	事+此+的+	acl	2	4
660	而+议员+亦+可+	root	4	5
660	阐述+他+的+	conj	1	4
660	以及+可以+向+他+	conj	4	5
661		acl	0	1
661	会议厅+在+内+规则+根据+我+不+能+大家+	root	6	10
661		xcomp	0	1
661	或+讨论+任何+	conj	2	4
662	我+现在+议员+	root	3	4
662	事+此+的+	acl	2	4
662	会议厅+到+外+交代+梁君彦+议员+的+	xcomp	2	8
663	我+	root	1	2
663	会议+将+下午+在+时+二+分+三十+正式+	ccomp	4	10
664	发言+我+的+到此+	root	2	5
665	现在+会议+	root	2	3
666	现在+时+二+分+三十五+	root	2	6
666	我+原先+的+	acl	3	4
666	时+二+分+三十+会议+	ccomp	2	6
666	时间+较+了+分钟+五+	ccomp	3	6
667	我+想+不+再+	root	3	5
668	现在+	root	1	2
668	正式+	ccomp	1	2
669	会议+现+已+	advcl	3	4
669	我+	root	1	2
669	同事+所有+座位+自己+的+	ccomp	2	6
670	我们+	root	1	2
670		ccomp	0	1
670	秩序+地+	advcl	2	3
670	今天+程式+	xcomp	2	3
670	主席+的+	acl	2	3
671	我+现在+再+同事+所有+	root	4	6
671	座位+自己+的+	xcomp	1	4
672	议员+	root	1	2
672	想+问题+规程+	acl	2	4
673	但+同事+其他+秘书+	root	3	5
673	先行+座位+	xcomp	2	3
673		advcl	0	1
673	我+	xcomp	1	2
673	工作+一些+文书+	conj	1	4
674	秘书+	advcl	1	2
674		acl	0	1
674	上+	csubj	1	2
674	否则+会+比较+	root	3	4
675	我+	root	1	2
675	议员+其他+先+座位+	ccomp	3	5
675	我们+	advcl	1	2
675	可以+会议+	xcomp	2	3
676	如果+大家+问题+任何+规程+	advcl	3	6
676	可以+	root	1	2
677	我+会+大家+时间+	root	4	5
678	主席+我+想+	root	3	4
678	秘书处+有+否+问题+梁君彦+议员+的+国籍+	ccomp	3	9
679	他+	root	1	2
680	刚才+我+过+	root	3	4
680	有关+议员+的+	acl	3	4
680	问题+国籍+不+是+会议+今天+的+讨论+	ccomp	5	9
681	的+	root	1	2
682		root	0	1
682	先+我+	xcomp	2	3
682		xcomp	0	1
682	吗+	conj	1	2
683	我+刚才+已经+过+	root	4	5
683	为了+大家+	advcl	2	3
683	进一步+问题+国籍+梁君彦+议员+有关+的+	xcomp	2	8
683	或+他+	conj	2	3
683		xcomp	0	1
683	我+已+特别+作出+时间+	ccomp	4	6
683	梁+议员+	advcl	1	3
683	会议厅+在+外+传媒+向+交代+澄清+和+	xcomp	3	9
684	如果+各位+刚才+有+	advcl	4	5
