sent_id	word_sound	upos	character_token_n	sound_n
M010001	['di', 'wu']	m	2	4
M010001	['bu']	q	1	2
M010001	['yu']	d	1	2
M010001	['$i']	v	1	2
M010001	['neŋ', 'li']	n	2	5
M010002	['wo']	r	1	2
M010002	['$e', 'yaŋ']	r	2	5
M010002	['$uo']	v	1	3
M010002	['ɥæn']	d	1	3
M010002	['$i']	v	1	2
M010002	['y#']	v	1	2
M010002	['yi']	m	1	2
M010002	['$oŋ']	q	1	3
M010002	['xiaŋ', 'fa']	n	2	6
M010003	['z#']	p	1	2
M010003	['b#', 'su']	nr	2	4
M010003	['zui', '$u']	d	2	5
M010003	['g#', 'su']	v	2	4
M010003	['wo']	r	1	2
M010003	['$e', 'ge']	r	2	4
M010003	['duo', 'duo']	nr	2	6
M010003	['de']	u	1	2
M010003	['qjəŋ', 'xjəŋ']	n	2	8
M010003	['$i']	ng	1	2
M010003	['wo']	r	1	2
M010003	['$i']	v	1	2
M010003	['yi', 'dian']	m	2	6
M010003	['xjəŋ', 'qu']	n	2	6
M010003	['ye']	d	1	2
M010003	['m#', 'y#']	v	2	4
M010003	['h#', 'l#']	t	2	4
M010003	['sui', '$#']	p	2	5
M010003	['ta']	r	1	2
M010003	['de']	u	1	2
M010003	['jin', 'yi', 'bu']	d	3	7
M010003	['jie', '$#']	v	2	5
M010003	['wo']	r	1	2
M010003	['de']	u	1	2
M010003	['xjəŋ', 'qu']	n	2	6
M010003	['ye']	d	1	2
M010003	['jian', 'jian']	d	2	8
M010003	['zeŋ', 'jia']	v	2	6
M010003	['zui', 'h#']	f	2	5
M010003	['z#']	p	1	2
M010003	['wo', 'men']	r	2	5
M010003	['$i', 'jian']	f	2	6
M010003	['de']	u	1	2
M010003	['na']	r	1	2
M010003	['ci']	q	1	2
M010003	['t#', 'lwən']	vn	2	6
M010003	['$i', 'h#']	f	2	4
M010003	['wo']	r	1	2
M010003	['yi', 'jjəŋ']	d	2	6
M010003	['$wən', 'b#']	v	2	6
M010003	['yu']	c	1	2
M010003	['b#', 'su']	nr	2	4
M010003	['yi', 'qi']	s	2	4
M010003	['l#']	v	1	2
M010003	['guan']	v	1	4
M010003	['yi']	m	1	2
M010003	['guan']	v	1	4
M010003	['$e']	r	1	2
M010003	['jian']	q	1	4
M010003	['$i']	n	1	2
M010003	['le']	y	1	2
M010004	['ke']	v	1	2
M010004	['xian', 'z#']	t	2	6
M010004	['wo']	r	1	2
M010004	['hu', 'ran']	d	2	5
M010004	['y#']	d	1	2
M010004	['g#', 'bian']	v	2	6
M010004	['le']	u	1	2
M010004	['$u', 'yi']	n	2	4
M010004	['yin', 'w#']	p	2	5
M010004	['$e', 'ge']	r	2	4
M010004	['duo', 'duo']	nr	2	6
M010004	['$i', 'z#']	d	2	4
M010004	['$i']	v	1	2
M010004	['yi']	m	1	2
M010004	['$oŋ']	q	1	3
M010004	['bjəŋ', 't#']	n	2	6
M010004	['wo']	r	1	2
M010004	['lan', 'de']	v	2	5
M010004	['z#']	p	1	2
M010004	['ta']	r	1	2
M010004	['$en', '$aŋ']	s	2	6
M010004	['laŋ', 'f#']	vn	2	5
M010004	['$i', 'jian']	n	2	6
M010004	['wo']	r	1	2
M010004	['$i']	v	1	2
M010004	['yi', 'ge']	m	2	4
M010004	['$i', 'qjəŋ']	n	2	6
M010004	['ji']	d	1	2
M010004	['duo']	a	1	3
M010004	['de']	u	1	2
M010004	['ren']	n	1	3
M010005	['z#']	p	1	2
M010005	['wo']	r	1	2
M010005	['$uo']	v	1	3
M010005	['le']	u	1	2
M010005	['na']	r	1	2
M010005	['fan']	q	1	3
M010005	['hua']	n	1	3
M010005	['$i', 'h#']	f	2	4
M010005	['wo']	r	1	2
M010005	['ɥæn']	d	1	3
M010005	['ye']	d	1	2
M010005	['bu']	d	1	2
M010005	['xiaŋ']	v	1	4
M010005	['z#']	d	1	2
M010005	['tjəŋ']	v	1	4
M010005	['xia', 'qu']	v	2	5
M010005	['ke']	v	1	2
M010005	['jiu']	d	1	3
M010005	['z#']	p	1	2
M010005	['$e', '$i']	r	2	4
M010005	['b#', 'su']	nr	2	4
M010005	['y#']	d	1	2
M010005	['$uo']	v	1	3
M010005	['le']	u	1	2
M010005	['yi']	m	1	2
M010005	['ju']	q	1	2
M010005	['hua']	n	1	3
M010005	['$i']	v	1	2
M010005	['wo']	r	1	2
M010005	['de']	u	1	2
M010005	['xjəŋ', 'qu']	n	2	6
M010005	['z#', 'ci']	d	2	4
M010005	['b#']	p	1	2
M010005	['di#', 'doŋ']	v	2	6
M010005	['qi', 'l#']	v	2	4
M010006	['b#', 'su']	nr	2	4
M010006	['$uo']	v	1	3
M010006	['na', '$i']	r	2	4
M010006	['wo']	r	1	2
M010006	['gen']	p	1	3
M010006	['ni']	r	1	2
M010006	['de']	u	1	2
M010006	['xiaŋ', 'fa']	n	2	6
M010006	['yi', 'yaŋ']	u	2	5
M010006	['jue', 'de']	v	2	5
M010006	['ta']	r	1	2
M010006	['$i']	v	1	2
M010006	['yi', 'ge']	m	2	4
M010006	['bjəŋ', 't#']	n	2	6
M010006	['nuu', 'h#']	n	2	5
M010007	['ye']	d	1	2
M010007	['jiu']	d	1	3
M010007	['bu']	d	1	2
M010007	['xiaŋ']	v	1	4
M010007	['z#']	d	1	2
M010007	['guan']	v	1	4
M010007	['$e']	r	1	2
M010007	['jian']	q	1	4
M010007	['$i']	n	1	2
M010007	['le']	y	1	2
M010008	['dan', '$i']	c	2	5
M010008	['wo']	r	1	2
M010008	['yu']	p	1	2
M010008	['qiu', 'lin']	nr	2	6
M010008	['fu', 'fu']	n	2	4
M010008	['xu', 'duo']	m	2	5
M010008	['nian']	q	1	4
M010008	['m#', 'y#']	d	2	4
M010008	['jian', 'mian']	v	2	8
M010008	['$e', 'ci']	r	2	4
M010008	['ru', 'ci']	r	2	4
M010008	['jian', 'nan']	a	2	7
M010008	['di']	u	1	2
M010008	['jian']	v	1	4
M010008	['le']	u	1	2
M010008	['ci', '$eŋ']	r	2	5
M010008	['$oŋ']	f	1	3
M010008	['hen', 'nan', '$uo']	l	3	9
M010008	['huan']	d	1	4
M010008	['hui']	v	1	3
M010008	['bu', 'hui']	v	2	5
M010008	['y#']	v	1	2
M010008	['xia', 'ci']	t	2	5
M010008	['suo', 'yi']	c	2	5
M010008	['wo']	r	1	2
M010008	['ye']	d	1	2
M010008	['bu', 'h#', 'yi', 'si']	ad	4	8
M010008	['$uo']	v	1	3
M010008	['z#']	v	1	2
M010008	['jiu']	d	1	3
M010008	['z#']	v	1	2
M010008	['bian']	d	1	4
M010008	['jue', 'djəŋ']	v	2	7
M010008	['z#']	p	1	2
M010008	['na', 'li']	r	2	4
M010008	['duo']	d	1	3
M010008	['$u']	v	1	2
M010008	['ji']	m	1	2
M010008	['tian']	q	1	4
M010008	['ran', 'h#']	c	2	5
M010008	['z#']	p	1	2
M010008	['z#']	v	1	2
M010008	['de']	u	1	2
M010008	['na', 'tian']	t	2	6
M010008	['w#', 'wan']	a	2	5
M010008	['di']	u	1	2
M010008	['g#', 'su']	v	2	4
M010008	['ta', 'men']	r	2	5
M010008	['bie']	d	1	3
M010008	['z#']	d	1	2
M010008	['w#']	p	1	2
M010008	['$e']	r	1	2
M010008	['jian']	q	1	4
M010008	['$i']	n	1	2
M010008	['f#', 'xin']	a	2	5
M010008	['le']	y	1	2
M010009	['ke', '$i']	c	2	4
M010009	['jie', 'xia', 'l#']	l	3	8
M010009	['de']	u	1	2
M010009	['yi', 'xie']	m	2	5
M010009	['$i']	n	1	2
M010009	['que']	d	1	3
M010009	['raŋ']	v	1	3
M010009	['wo']	r	1	2
M010009	['$e', 'di']	ad	2	4
M010009	['g#', 'bian']	v	2	6
M010009	['le']	u	1	2
M010009	['$u', 'yi']	n	2	4
M010010	['wo']	r	1	2
M010010	['yi', 'jjəŋ']	d	2	6
M010010	['dui']	p	1	3
M010010	['ci']	r	1	2
M010010	['bu']	d	1	2
M010010	['gan', 'xjəŋ', 'qu']	a	3	9
M010010	['yi', 'jjəŋ']	d	2	6
M010010	['qi', '$en']	v	2	5
M010010	['qu']	v	1	2
M010010	['d#']	v	1	2
M010010	['jiu']	n	1	3
M010010	['$wən', 'b#']	v	2	6
M010010	['z#', 'ci']	d	2	4
M010010	['zuo']	v	1	3
M010010	['xia', 'l#']	v	2	5
M010010	['yu']	p	1	2
M010010	['b#', 'su']	nr	2	4
M010010	['tan']	v	1	3
M010010	['dian']	q	1	4
M010010	['bie', 'de']	r	2	5
M010011	['bi', 'jjəŋ']	d	2	6
