sent_id	word_sound	character_token_n	sound_n
w01001049	['xian', '$aŋ']	2	7
w01001049	['ceŋ']	1	3
w01001049	['yun', 'xu']	2	5
w01001049	['$uaŋ', 'li']	2	6
w01001049	['y#']	1	2
w01001049	['$eŋ', '$en']	2	6
w01001049	['$i', 'min']	2	5
w01001049	['guan', 'li']	2	6
w01001049	['de']	1	2
w01001049	['$aŋ', 'ren']	2	6
w01001049	['haŋ', 'hui']	2	6
w01001049	['yi']	1	2
w01001049	['xiaŋ']	1	4
w01001049	['tu', 'jjəŋ']	2	6
w01001049	['$eŋ', '$en']	2	6
w01001049	['de']	1	2
w01001049	['ren', '$i']	2	5
w01001049	['$eŋ', '$#']	2	5
w01001049	['$ui', 'f#']	2	5
w01002008	['kuaŋ', 'wu']	2	6
w01002008	['zi', 'ɥæn']	2	5
w01002008	['y#']	1	2
w01002008	['w#']	1	2
w01002008	['feŋ', 'fu']	2	5
w01002008	['yun', 'han']	2	6
w01002008	['da', 'liaŋ']	2	6
w01002008	['de']	1	2
w01002008	['huaŋ', 'jin']	2	7
w01002008	['zuan', '$i']	2	6
w01002008	['meŋ', 'kuaŋ']	2	7
w01002008	['qian', 'kuaŋ']	2	8
w01002008	['xin', 'kuaŋ']	2	7
w01002008	['nie', 'kuaŋ']	2	7
w01002008	['gu', 'kuaŋ']	2	6
w01002008	['yi', 'ji']	2	4
w01002008	['mu', 'kuaŋ']	2	6
w01002013	['z#']	1	2
w01002013	['ji', 'xi', 'b#']	3	6
w01002013	['di', 'qu']	2	4
w01002013	['yi', 'w#']	2	4
w01002013	['t#', 'jia', 'lin']	3	8
w01002013	['ju', 'y#']	2	4
w01002013	['toŋ', '$i']	2	5
w01002013	['di', 'w#']	2	4
w01002013	['ta']	1	2
w01002013	['fu', 'g#']	2	4
w01002013	['le']	1	2
w01002013	['$eŋ', 'ge']	2	5
w01002013	['xi', 'bwo', 'li', 'ya']	4	9
w01002013	['de']	1	2
w01002013	['yi']	1	2
w01002013	['ge']	1	2
w01002013	['$oŋ', 'y#']	2	5
w01002013	['bu', 'fen']	2	5
w01002075	['nian']	1	4
w01002075	['$i', 'jie']	2	5
w01002075	['da', 'xue', '$eŋ']	3	8
w01002075	['doŋ', 'ji']	2	5
w01002075	['yun', 'doŋ', 'hui']	3	9
w01002075	['jiaŋ']	1	4
w01002075	['y#']	1	2
w01002075	['ya', 'ci', 'ke']	3	6
w01002075	['ju', 'ban']	2	5
w01003051	['li', 'ru']	2	4
w01003051	['w#']	1	2
w01003051	['yu']	1	2
w01003051	['t#', 'pjəŋ', 'yaŋ']	3	9
w01003051	['de']	1	2
w01003051	['l#', 'en']	2	4
w01003051	['qun', 'd#']	2	5
w01003051	['he']	1	2
w01003051	['w#']	1	2
w01003051	['yu']	1	2
w01003051	['yin', 'du', 'yaŋ']	3	8
w01003051	['de']	1	2
w01003051	['ma', 'er', 'd#', 'fu']	4	8
w01003056	['hua', 'gaŋ', 'yan']	3	9
w01003056	['d#', 'yu']	2	4
w01003056	['b#', 'kuo']	2	5
w01003056	['s#', '$e', 'er']	3	6
w01003056	['he']	1	2
w01003056	['di#', 'man', 'd#']	3	8
w01003056	['huo', '$an', 'yan']	3	9
w01003056	['d#', 'yu']	2	4
w01003056	['ze']	1	2
w01003056	['ru']	1	2
w01003056	['$eŋ', 'he', 'l#', 'na', 'd#']	5	11
w01003062	['bi', 'ru']	2	4
w01003062	['mwo', 'xi', 'ge']	3	7
w01003062	['xia']	1	3
w01003062	['jia', 'li', 'fu', 'ni', 'ya', '$#']	6	13
w01003062	['li', 'an']	2	4
w01003062	['de']	1	2
w01003062	['xi#', 'd#', 'yu']	3	7
w01003062	['jiu']	1	3
w01003062	['$u']	1	2
w01003062	['yu']	1	2
w01003062	['$a', 'mwo']	2	5
w01003062	['huaŋ', 'd#']	2	6
w01004051	['goŋ', 'ɥæn']	2	6
w01004051	['qian']	1	4
w01004051	['wu']	1	2
w01004051	['$i', 'ji']	2	4
w01004051	['de']	1	2
w01004051	['xi', 'la']	2	4
w01004051	['ya', 'dian']	2	6
w01004051	['$eŋ', 'baŋ']	2	6
w01004051	['yi', 'l#']	2	4
w01004051	['l#']	1	2
w01004051	['zi']	1	2
w01004051	['s#', 'xi', 'ya']	3	6
w01004051	['de']	1	2
w01004051	['jin', 'k#']	2	5
w01004051	['gu', 'wu']	2	4
w01004051	['yin']	1	3
w01004051	['ci']	1	2
w01004051	['yu']	1	2
w01004051	['koŋ', '$i']	2	5
w01004051	['$e']	1	2
w01004051	['h#', 'xia']	2	5
w01004051	['y#', 'd#']	2	4
w01004051	['de']	1	2
w01004051	['$eŋ', '$i']	2	5
w01004051	['li', 'ru']	2	4
w01004051	['m#', 'jia', 'la']	3	7
w01004051	['de']	1	2
w01004051	['$i', 'min', 'di']	3	7
w01004051	['b#', '$an', 'tjəŋ']	3	9
w01004051	['b#', '$i']	2	4
w01004051	['$e']	1	2
w01004051	['guan', 'jian']	2	8
w01004051	['toŋ', 'meŋ']	2	6
w01004051	['guan', 'xi']	2	6
w01005020	['da', 'liu', '$i']	3	7
w01005020	['$i', 'fen']	2	5
w01005020	['$aŋ', '$i']	2	5
w01005020	['de']	1	2
w01005020	['si', 'ljəŋ', 'guan']	3	10
w01005020	['m#', 'ga', 'ba', 'zuo', 'si']	5	11
w01005020	['fu', 'ze']	2	4
w01005020	['$i', 'xian']	2	6
w01005020	['$eŋ', 'fu']	2	5
w01005020	['ba', 'er', 'gan']	3	7
w01005020	['de']	1	2
w01005020	['mu', 'bi#']	2	5
w01005021	['a', 'qi', 'm#', 'ni', 'de']	5	9
w01005021	['jun', 'dui']	2	6
w01005021	['$eŋ', 'fu']	2	5
w01005021	['le']	1	2
w01005021	['se', 'l#', 'si']	3	6
w01005021	['xi', 'la']	2	4
w01005021	['de']	1	2
w01005021	['yan', 'h#']	2	5
w01005021	['$eŋ', '$i']	2	5
