sent_id	word_char	upos	character_token_n	component_n
train-s1	看似	AUX	2	5
train-s1	简单	ADJ	2	6
train-s1	只	ADV	1	2
train-s1	是	VERB	1	2
train-s1	二	NUM	1	1
train-s1	选	VERB	1	3
train-s1	一	NUM	1	1
train-s1	做	VERB	1	4
train-s1	决择	NOUN	2	4
train-s1	但	ADV	1	3
train-s1	其实	ADV	2	4
train-s1	他们	PRON	2	4
train-s1	代表	VERB	2	4
train-s1	的	PART	1	3
train-s1	你	PRON	1	3
train-s1	周遭	NOUN	2	5
train-s1	亲朋	NOUN	2	4
train-s1	好友	NOUN	2	4
train-s1	试	VERB	1	3
train-s1	着	AUX	1	2
train-s1	给	VERB	1	3
train-s1	不同	ADJ	2	3
train-s1	意见	NOUN	2	3
train-s1	追根究底	VERB	4	10
train-s1	最后	NOUN	2	5
train-s1	决定	VERB	2	4
train-s1	还是	AUX	2	4
train-s1	自己	PRON	2	2
train-s2	其	PRON	1	2
train-s2	便当	NOUN	2	4
train-s2	都是	VERB	2	5
train-s2	买来	VERB	2	3
train-s2	就算	ADP	2	7
train-s2	加热	VERB	2	5
train-s2	也是	ADV	2	3
train-s2	由	VERB	1	1
train-s2	妈妈	NOUN	2	4
train-s2	负责	VERB	2	4
train-s2	后来	NOUN	2	3
train-s2	揭晓	VERB	2	8
train-s2	避免	VERB	2	5
train-s2	带来	VERB	2	4
train-s2	厄运	NOUN	2	5
train-s2	父亲	NOUN	2	3
train-s2	则	ADV	1	2
train-s2	在	VERB	1	2
train-s2	电视	NOUN	2	3
train-s2	台	PART	1	2
train-s2	上班	VERB	2	4
train-s3	这	DET	1	2
train-s3	次	NOUN	1	2
train-s3	游行	NOUN	2	6
train-s3	最大	ADJ	2	4
train-s3	特色	NOUN	2	4
train-s3	于	VERB	1	1
train-s3	越来越	ADV	3	7
train-s3	多	ADJ	1	2
train-s3	年轻	ADJ	2	3
train-s3	人	PART	1	1
train-s3	上街	VERB	2	6
train-s3	而且	ADV	2	2
train-s3	当中	NOUN	2	3
train-s3	不乏	VERB	2	3
train-s3	行动	NOUN	2	6
train-s3	激烈	ADJ	2	6
train-s3	躁	PART	1	5
train-s3	少年	NOUN	2	3
train-s4	怀孕	VERB	2	4
train-s4	期	PART	1	3
train-s4	为	AUX	1	1
train-s4	至	CCONJ	1	2
train-s4	日	NOUN	1	1
train-s5	向	ADP	1	2
train-s5	昏迷	VERB	2	4
train-s5	中	ADP	1	1
train-s5	婆婆	NOUN	2	6
train-s5	诉说	VERB	2	5
train-s5	什么	PRON	2	4
train-s5	生活	NOUN	2	3
train-s5	会	AUX	1	3
train-s5	与	ADP	1	2
train-s5	她	PRON	1	2
train-s5	想像	VERB	2	6
train-s5	不	ADV	1	1
train-s5	一样	ADJ	2	3
train-s6	数论	NOUN	2	6
train-s6	应用	NOUN	2	4
train-s6	被	VERB	1	2
train-s6	找到	VERB	2	5
train-s6	了	PART	1	1
train-s6	也	ADV	1	1
train-s6	不会	AUX	2	4
train-s6	有	VERB	1	2
train-s6	因	ADP	1	2
train-s6	此	PRON	1	2
train-s6	罢黜	VERB	2	6
train-s6	数学	NOUN	2	5
train-s6	皇后	NOUN	2	4
train-s7	商圈	NOUN	2	6
train-s7	另	DET	1	2
train-s7	同	DET	1	2
train-s7	类型	NOUN	2	6
train-s7	商店	NOUN	2	6
train-s7	聚集	VERB	2	5
train-s7	短短	ADJ	2	8
