sent_id	clause_text	lds_n	word_n
651	宣布+刚才+秘书处+已+分钟+五+后+	4	7
651	复会+	1	1
652	过+现在+时间+已+了+分钟+五+	4	7
653	说+我+想+大家+跟+	3	5
653	分为+会议+今天+的+部分+两+	3	6
654	完成+刚才+大家+已+的+	3	5
654	宣誓+部分+第一+是+	3	4
655	是+而+部分+第二+	2	4
655	选举+主席+立法会+	2	3
656	知道+我+	1	2
656	有+同事+	1	2
656	有+问题+对+候选人+主席+的+国籍+些+意见+	4	9
657	要求+候选人+	1	2
657	作出+方面+就+某些+澄清+	2	5
658	没有+由于+会议+今天+的+并+程序+任何+	5	8
658	容许+我们+	1	2
658	进行+会议厅+在+内+澄清+提问+辩论+谘询+或+等+	5	10
658	进行+因此+我们+可以+不+会议厅+在+内+工作+这些+	6	10
659	让+为+议员+一些+	3	4
659	关注+事+此+的+	3	4
659	获+能+澄清+	1	3
659	建议+不过+我+	2	3
659	交代+梁君彦+议员+稍后+会议厅+到+外+传媒+向+新闻+问题+他+的+国籍+	7	14
660	关注+事+此+的+	3	4
660	出去+而+议员+亦+可+	4	5
660	聆听+阐述+他+的+	3	4
660	提问+以及+可以+向+他+	4	5
661	议事+	1	1
661	容许+会议厅+在+内+规则+根据+我+不+能+大家+	6	10
661	提问+	1	1
661	作出+或+讨论+任何+	2	4
662	请+我+现在+议员+	3	4
662	关注+事+此+的+	3	4
662	听取+会议厅+到+外+交代+梁君彦+议员+的+	5	8
663	预期+我+	1	2
663	恢复+会议+将+下午+在+时+二+分+三十+正式+	6	10
664	结束+发言+我+的+到此+	3	5
665	暂停+现在+会议+	1	3
666	是+现在+时+二+分+三十五+	3	6
666	宣布+我+原先+的+	3	4
666	恢复+时+二+分+三十+会议+	3	6
666	迟+时间+较+了+分钟+五+	3	6
667	延迟+我+想+不+再+	3	5
668	宣布+现在+	1	2
668	复会+正式+	1	2
669	恢复+会议+现+已+	3	4
669	希望+我+	1	2
669	返回+同事+所有+座位+自己+的+	3	6
670	让+我们+	1	2
670	可以+	1	1
670	有+秩序+地+	2	3
670	进行+今天+程式+	3	3
670	选举+主席+的+	2	3
671	请+我+现在+再+同事+所有+	4	6
671	返回+座位+自己+的+	3	4
672	有+议员+	1	2
672	提出+想+问题+规程+	2	4
673	请+但+同事+其他+秘书+	3	5
673	返回+先行+座位+	1	3
673	让+	1	1
673	帮+我+	1	2
673	做+工作+一些+文书+	3	4
674	没有+秘书+	1	2
674	帮忙+	1	1
674	处理+上+	1	2
674	困难+否则+会+比较+	3	4
675	希望+我+	1	2
675	返回+议员+其他+先+座位+	2	5
675	让+我们+	1	2
675	进行+可以+会议+	1	3
676	有+如果+大家+问题+任何+规程+	4	6
676	提出+可以+	1	2
677	给+我+会+大家+时间+	3	5
678	问+主席+我+想+	3	4
678	处理+秘书处+有+否+问题+梁君彦+议员+的+国籍+	6	9
679	刚才+他+	1	2
680	说+刚才+我+过+	2	4
680	梁君彦+有关+议员+的+	2	4
680	范畴+问题+国籍+不+是+会议+今天+的+讨论+	5	9
681	好+的+	1	2
682	请+	1	1
682	让+先+我+	1	3
682	说+	1	1
682	可以+吗+	1	2
683	说+我+刚才+已经+过+	3	5
683	让+为了+大家+	1	3
683	了解+进一步+问题+国籍+梁君彦+议员+有关+的+	4	8
683	要求+或+他+	1	3
683	澄清+	1	1
683	安排+我+已+特别+作出+时间+	3	6
683	让+梁+议员+	1	3
683	作出+会议厅+在+外+传媒+向+交代+澄清+和+	3	9
684	出席+如果+各位+刚才+有+	4	5
684	知道+便+应该+	2	3
684	如何+情况+	1	2
685	澄清+无论+当事人+如何+	3	4
685	解释+及+	1	2
685	保证+不过+会议+在+这个+上+我+不+能+	6	9
685	令+大家+	1	2
685	满意+	1	1
