sent_id	clause_text	lds_n	word_n
652	了+時間+已+過+現在+分鐘+五+	5	7
664	結束+發言+的+我+到此+	2	5
665	暫停+現在+會議+	1	3
667	想+我+不+再+延遲+	3	5
677	會+我+給+大家+時間+	2	5
679	剛才+他+	1	2
681	好+的+	1	2
686	能+作為+主持人+會議+我+祇+進行+根據+規則+會議+程序+	7	11
690	看+我+到+不+	2	4
692	看+因為+我+到+不+	3	5
694	執行+我+祇是+規則+會議+	3	5
697	能+根據+規則+會議+我+現在+祇+主持+過程+的+投票+	6	11
698	處理+事情+其他+我+無法+	3	5
711	感謝+主席+	1	2
714	聽+我們+已+罷+解釋+的+他+	3	7
717	存在+但+copy+的+相關+卻+並不+	4	7
718	是+原來+那+一+封+電郵+	3	6
719	是+信+第二+封+才+正本+	3	6
720	收+但+他+暫時+仍+未+到+	5	7
721	想+我+提出+就+此+問題+規程+	4	7
725	有+而+我+本人+也+份+一+	4	7
744	是+而+好+最+當然+正本+	3	6
753	能夠+而+身份+我+的+主席+這+個+也+不+作+回答+任何+	7	13
754	能夠+我+祇+	2	3
756	要緊+不+	1	2
757	能夠+但+按照+說法+你+的+剛才+作為+主席+立法會+便+不+擁有+居留權+外國+	9	15
761	多謝+	1	1
763	是+這+正確+的+	1	4
765	能夠+我+祇+主持+	2	4
766	坐+主席+那麼+你+在+這裡+做+甚麼+	4	8
770	主持+第一+投票+的+選舉+主席+	2	6
772	做+我+祇是+事+這+兩+件+	5	7
773	應該+而+不+做+事+其他+	3	6
774	問題+最後+規程+一+個+	3	5
790	是+這+點+第一+	2	4
806	是+這+點+第一+	2	4
807	是+點+第二+關於+投票權+的+議員+	2	7
824	理解+作為+議員+我們+都+很+	4	6
830	謝謝+	1	1
836	有+而+我們+似乎+未+充分+諮詢+意見+法律+	6	9
838	提到+剛才+問題+規程+	2	4
842	多謝+主席+	1	2
847	是+我+仍+一+名+大學生+	3	6
848	不如+但+程度+的+選舉+這+次+嚴謹+比+選舉+學生會+大學+更+	7	13
856	是+這+問題+第一+個+	3	5
874	樂意+他+當然+	2	3
880	謝謝+主席+	1	2
893	參考+祇+供+大家+而已+	3	5
896	修正+主席+那麼+我+問題+我+第一+個+	6	8
899	來+主席+那麼+我+問題+下+一+個+了+	6	9
903	涉及+主席+這裏+問題+的+先後+次序+	4	7
906	是+這+的+很+嚴重+問題+規程+	4	7
912	和應+我+謝偉俊+議員+	1	4
913	稱職+他+不+	2	3
914	要+改選+主席+	1	3
917	可以+你+有+決定+的+你+	2	6
924	解釋+你+又+如何+呢+	3	5
926	要+所以+你+不+搞+錯+邏輯+這個+	4	8
934	可以+你+質疑+做法+的+我+	2	6
946	了+我+已+說+	3	4
949	是+這+的+錯+決定+	3	5
951	作出+我+已+決定+	2	4
953	說+為何+話+你+這些+不+跟+他們+	6	8
958	要+梁耀忠+為何+這樣+呢+	2	5
963	問題+主席+規程+	2	3
974	梁美芬+教授+	1	2
979	訂+第四十二+條+清楚+明+	2	5
984	陳志全+是+位+下+一+議員+	3	6
985	說+梁頌恒+議員+尚+未+完+	3	6
986	坐+梁頌恒+議員+你+剛才+下來+	3	6
990	混亂+剛才+較為+	2	3
991	在+其實+中+選舉+	2	4
996	了+出現+現在+問題+兩+個+	3	6
997	成疑+第一+的+候選人+資格+	3	5
1002	有+在+條+第十二+會議+的+任期+每+屆+首+次+已+規定+明確+	8	14
