sent_id	character	component_n	stroke_n
train-s1	看	2	9
train-s1	似	3	6
train-s1	简	3	13
train-s1	单	3	8
train-s1	只	2	5
train-s1	是	2	9
train-s1	二	1	2
train-s1	选	3	9
train-s1	一	1	1
train-s1	做	4	11
train-s1	决	2	6
train-s1	择	2	8
train-s1	但	3	7
train-s1	其	2	8
train-s1	实	2	8
train-s1	他	2	5
train-s1	们	2	5
train-s1	代	2	5
train-s1	表	2	8
train-s1	的	3	8
train-s1	你	3	7
train-s1	周	2	8
train-s1	遭	3	14
train-s1	亲	2	9
train-s1	朋	2	8
train-s1	好	2	6
train-s1	友	2	4
train-s1	试	3	8
train-s1	着	2	11
train-s1	给	3	9
train-s1	不	1	4
train-s1	同	2	6
train-s1	意	2	13
train-s1	见	1	4
train-s1	追	2	9
train-s1	根	2	10
train-s1	究	3	7
train-s1	底	3	8
train-s1	最	3	12
train-s1	后	2	6
train-s1	定	2	8
train-s1	还	2	7
train-s1	自	1	6
train-s1	己	1	3
train-s2	便	2	9
train-s2	当	2	6
train-s2	都	3	10
train-s2	买	2	6
train-s2	来	1	7
train-s2	就	4	12
train-s2	算	3	14
train-s2	加	2	5
train-s2	热	3	10
train-s2	也	1	3
train-s2	由	1	5
train-s2	妈	2	6
train-s2	负	2	6
train-s2	责	2	8
train-s2	揭	5	12
train-s2	晓	3	10
train-s2	避	3	16
train-s2	免	2	7
train-s2	带	3	9
train-s2	厄	2	4
train-s2	运	3	7
train-s2	父	1	4
train-s2	则	2	6
train-s2	在	2	6
train-s2	电	1	5
train-s2	视	2	8
train-s2	台	2	5
train-s2	上	1	3
train-s2	班	3	10
train-s3	这	2	7
train-s3	次	2	6
train-s3	游	3	12
train-s3	行	3	6
train-s3	大	1	3
train-s3	特	3	10
train-s3	色	1	6
train-s3	于	1	3
train-s3	越	3	12
train-s3	多	2	6
train-s3	年	1	6
train-s3	轻	2	9
train-s3	人	1	2
train-s3	街	5	12
train-s3	而	1	6
train-s3	且	1	5
train-s3	中	1	4
train-s3	乏	2	4
train-s3	动	3	6
train-s3	激	3	16
train-s3	烈	3	10
train-s3	躁	5	20
train-s3	少	2	4
train-s4	怀	2	7
train-s4	孕	2	5
train-s4	期	3	12
train-s4	为	1	4
train-s4	至	2	6
train-s4	日	1	4
train-s5	婷	5	12
train-s5	向	2	6
train-s5	昏	2	8
train-s5	迷	2	9
train-s5	婆	3	11
train-s5	诉	2	7
train-s5	说	3	9
train-s5	什	2	4
train-s5	么	2	3
train-s5	生	1	5
train-s5	活	2	9
train-s5	会	3	6
train-s5	与	2	3
train-s5	她	2	6
train-s5	想	3	13
train-s5	像	3	13
train-s5	样	2	10
train-s6	数	3	13
train-s6	论	3	6
train-s6	应	3	7
train-s6	用	1	5
train-s6	被	2	10
train-s6	找	2	7
train-s6	到	3	8
train-s6	了	1	2
train-s6	有	2	6
train-s6	因	2	6
train-s6	此	2	6
train-s6	罢	3	10
train-s6	黜	3	17
train-s6	学	2	8
train-s6	皇	2	9
train-s7	商	3	11
train-s7	圈	3	11
train-s7	另	2	5
train-s7	类	2	9
train-s7	型	4	9
train-s7	店	3	8
train-s7	聚	3	14
train-s7	集	2	12
train-s7	短	4	12
train-s7	育	3	8
train-s7	才	1	3
train-s7	十	1	2
train-s7	家	2	10
train-s7	知	2	8
train-s7	名	2	6
train-s7	眼	2	11
train-s7	镜	3	16
train-s7	连	2	7
train-s7	锁	2	12
train-s7	体	2	7
train-s7	品	3	9
train-s7	沿	3	8
train-s7	太	2	4
train-s7	平	1	5
train-s7	路	3	13
train-s7	成	2	6
train-s7	线	2	8
train-s7	竞	3	10
train-s7	争	2	6
train-s7	下	1	3
train-s7	价	3	6
train-s7	格	3	10
train-s7	比	1	4
train-s7	外	2	5
train-s7	地	2	6
train-s7	宜	2	8
train-s7	货	3	8
train-s7	三	1	3
train-s7	更	1	7
train-s7	增	4	15
train-s7	购	3	8
train-s7	物	3	8
train-s7	乐	1	5
train-s7	趣	4	15
train-s8	女	1	3
train-s8	开	2	4
train-s8	录	2	8
train-s8	掌	2	12
train-s8	者	2	8
train-s8	导	2	6
train-s8	播	3	15
train-s8	出	2	5
train-s8	身	1	7
train-s8	时	2	7
train-s8	节	2	5
train-s8	目	1	5
train-s8	部	3	10
train-s8	经	2	8
train-s8	理	3	11
train-s8	王	1	4
train-s8	世	1	5
train-s8	纲	3	7
train-s9	我	1	7
train-s9	希	3	7
train-s9	望	3	11
train-s9	借	4	10
train-s9	个	2	3
train-s9	历	2	4
train-s9	史	1	5
train-s9	真	3	10
train-s9	利	2	7
train-s9	些	3	8
train-s9	稗	3	13
train-s9	官	2	8
train-s9	野	3	11
train-s9	片	1	4
train-s9	段	3	9
train-s9	资	3	10
train-s9	料	2	10
train-s9	再	2	6
train-s9	善	3	12
train-s9	改	2	7
train-s9	编	3	12
train-s9	分	2	4
train-s9	情	2	11
train-s9	能	2	10
train-s9	观	2	6
train-s9	众	3	6
train-s9	启	2	7
train-s9	示	1	5
train-s10	界	3	9
train-s10	传	2	6
train-s10	闻	2	9
train-s10	樊	4	15
train-s10	主	2	5
train-s10	管	3	14
train-s10	授	3	11
train-s10	装	3	12
train-s10	病	3	10
train-s10	否	2	7
train-s10	认	2	4
train-s10	吃	3	6
train-s10	五	1	4
train-s10	谷	1	7
train-s10	杂	2	6
train-s10	粮	3	13
train-s10	长	1	4
train-s10	本	1	5
train-s10	万	1	3
train-s10	拆	2	8
train-s10	穿	3	9
train-s10	岂	2	6
train-s10	无	1	4
train-s10	法	3	8
train-s10	对	2	5
train-s10	广	1	3
train-s10	交	2	6
train-s11	该	4	8
train-s11	剧	4	10
train-s11	两	1	7
train-s11	位	2	7
train-s11	独	2	9
train-s11	孤	2	8
train-s11	红	2	6
train-s11	罗	2	8
train-s11	文	1	4
train-s11	忠	2	8
train-s11	写	3	5
train-s11	几	1	2
train-s11	乎	1	6
train-s11	参	2	8
train-s11	考	2	6
train-s11	所	2	8
train-s11	关	4	6
train-s11	武	2	8
train-s11	天	2	4
train-s11	如	2	6
train-s11	林	2	8
train-s11	语	3	9
train-s11	堂	2	11
train-s11	陈	2	7
train-s11	虹	2	9
train-s11	狄	2	7
train-s11	仁	2	4
train-s11	杰	2	8
train-s11	通	3	10
train-s11	俗	2	9
train-s11	演	3	14
train-s11	义	1	3
train-s11	童	3	12
train-s11	煦	4	13
train-s11	国	2	8
train-s11	妃	2	6
train-s11	列	2	6
train-s11	黄	1	11
train-s11	柏	2	9
train-s11	松	3	8
train-s11	艳	2	10
train-s11	姬	2	10
train-s11	等	3	12
train-s12	把	2	7
train-s12	跋	2	12
train-s12	扈	2	11
train-s12	专	1	4
train-s12	横	2	15
train-s12	乱	2	7
train-s12	伦	3	6
train-s12	篡	2	16
train-s12	柔	2	9
train-s12	弱	2	11
train-s12	堪	4	12
train-s12	怜	4	8
train-s12	子	1	3
train-s12	容	2	9
train-s12	忍	3	7
train-s13	可	2	5
train-s13	设	3	6
train-s13	计	2	4
train-s13	信	2	9
train-s13	息	2	10
train-s13	检	4	11
train-s13	索	2	10
train-s13	或	2	8
train-s13	系	2	7
train-s13	统	4	9
train-s13	促	3	9
train-s13	进	2	7
train-s13	之	1	3
train-s13	间	2	7
train-s13	讯	3	5
train-s13	流	2	10
train-s13	发	3	5
train-s13	够	4	11
train-s13	解	2	13
train-s13	析	2	8
train-s13	医	2	7
train-s13	献	3	13
train-s14	支	2	4
train-s14	白	1	5
train-s14	军	2	6
train-s14	领	4	11
train-s14	黑	1	12
train-s14	民	1	5
train-s14	兵	2	7
train-s14	洗	3	9
train-s14	劫	3	7
train-s14	卡	2	12
train-s14	梅	3	11
train-s14	隆	2	11
train-s14	庄	2	6
train-s14	园	3	7
train-s14	并	4	6
train-s14	企	2	6
train-s14	图	3	8
train-s14	强	3	12
train-s14	暴	2	15
train-s14	每	2	7
train-s14	眷	2	11
train-s14	邦	2	6
train-s14	联	5	12
train-s14	队	2	4
train-s14	击	2	5
train-s14	溃	3	12
train-s14	拯	3	9
train-s14	救	2	11
train-s15	剩	2	12
train-s15	光	3	6
train-s15	团	2	6
train-s15	制	2	8
train-s15	第	3	11
train-s15	张	2	7
train-s15	辑	3	13
train-s15	闲	2	7
train-s15	言	1	7
train-s15	道	2	14
train-s15	月	1	4
train-s16	巴	1	4
train-s16	黎	4	15
train-s16	首	1	9
train-s16	兴	2	6
train-s16	奋	2	8
train-s16	已	1	3
train-s16	将	3	9
train-s16	各	2	6
train-s16	种	2	9
train-s16	印	2	5
train-s16	象	2	11
train-s16	和	2	8
train-s16	化	2	4
train-s16	音	1	9
train-s16	作	2	7
train-s16	达	2	6
train-s16	谱	4	14
train-s16	曲	1	6
train-s16	前	3	9
train-s16	往	3	8
train-s16	维	2	11
train-s16	纳	2	7
train-s16	程	3	12
train-s16	途	3	10
train-s16	配	2	10
train-s16	器	2	16
train-s16	工	1	3
train-s16	纽	2	7
train-s16	约	3	6
train-s16	瓦	1	4
train-s16	德	2	15
train-s16	丹	1	4
train-s16	殊	3	10
train-s16	指	3	9
train-s16	挥	3	9
train-s16	爱	3	10
train-s17	雪	2	11
train-s17	莉	3	10
train-s17	卧	2	8
train-s17	份	3	6
train-s17	原	2	10
train-s17	正	2	5
train-s17	云	2	4
train-s17	董	2	12
train-s17	事	1	8
train-s17	高	4	10
train-s17	超	4	12
train-s17	蓓	4	13
train-s17	受	2	8
train-s17	母	1	5
train-s17	缇	3	12
train-s17	琳	3	12
train-s17	饰	2	8
train-s17	使	2	8
train-s17	潜	3	15
train-s17	入	1	2
train-s17	衣	1	6
train-s17	搞	5	13
train-s17	垮	4	9
train-s18	静	3	14
train-s18	华	3	6
train-s18	现	2	8
train-s18	叶	2	5
train-s18	偷	4	11
train-s18	取	2	8
train-s18	美	2	9
train-s18	丽	5	7
train-s18	创	3	6
train-s18	投	3	7
train-s18	靠	3	15
train-s19	吴	3	7
train-s19	汤	2	6
train-s19	辫	3	17
train-s19	妻	2	8
train-s19	嘱	3	15
train-s19	咐	3	8
train-s19	若	3	8
train-s19	幸	2	8
train-s19	战	3	9
train-s19	死	2	6
train-s19	以	2	4
train-s19	冢	3	10
train-s20	隔	2	12
train-s20	八	1	2
train-s20	卦	3	8
train-s20	山	1	8
train-s20	皆	2	9
train-s20	壮	2	6
train-s21	级	2	6
train-s21	抗	3	7
train-s21	测	3	9
train-s21	癌	5	17
train-s21	症	3	10
train-s21	糖	3	16
train-s21	尿	2	7
train-s21	帕	2	8
train-s21	金	1	8
train-s21	森	3	12
train-s21	氏	1	4
train-s21	阿	3	7
train-s21	尔	2	5
train-s21	茨	3	9
train-s21	海	3	10
train-s21	默	2	16
train-s21	疾	2	10
train-s21	标	2	9
train-s21	记	2	5
train-s21	非	1	8
train-s21	常	2	11
train-s22	丁	1	2
train-s22	睿	3	14
train-s22	杨	2	7
train-s22	岳	2	8
train-s22	逃	2	9
train-s22	奔	3	8
train-s22	汝	2	6
train-s22	宁	2	5
train-s22	明	2	8
train-s22	伤	3	6
train-s22	傅	3	12
train-s22	宗	2	8
train-s22	龙	1	8
train-s22	敕	2	11
train-s22	书	1	4
train-s22	尚	3	8
