sent_id	clause_text	word_n	character_n
train-s1	看似简单	2	4
train-s1	只是二选一做决择	7	8
train-s1	但其实他们代表的是你周遭的亲朋好友	11	17
train-s1	试着给你不同的意见	7	9
train-s1	但追根究底	2	5
train-s1	最后决定的还是自己	5	9
train-s2	其便当都是买来的	5	8
train-s2	就算加热也是由妈妈负责后来揭晓其实是避免带来厄运	13	24
train-s2	父亲则在电视台上班	6	9
train-s3	这次游行最大的特色	6	9
train-s3	在于越来越多年轻人上街游行	8	13
train-s3	而且当中不乏行动激烈的躁少年	8	14
train-s4	怀孕期为421至457日	7	12
train-s5	婷婷向昏迷中的婆婆诉说	7	11
train-s5	为什么生活会与她想像的不一样	10	14
train-s6	就算数论的应用被找到了	7	11
train-s6	也不会有人会因此罢黜这一数学的皇后	13	17
train-s7	一中商圈另一特色为同类型商店会聚集	11	17
train-s7	短短的育才街聚集了十数家知名眼镜连锁店	12	19
train-s7	而体育用品店沿着太平路连成一线	10	15
train-s7	在激烈竞争下价格比外地便宜不少	9	15
train-s7	货比三家更增加购物乐趣	8	11
train-s8	一代女皇开录当日掌镜者是导播出身的当时中视节目部经理王世纲	18	29
train-s9	我们只希望	3	5
train-s9	借着这个历史上真实人物的一生	10	14
train-s9	利用一些稗官野史的片段资料	6	13
train-s9	再加上一些善意改编的部分情节	8	14
train-s9	而能带给观众一些启示	6	10
train-s10	当时外界传闻樊日行是在中视主管授意下装病	12	20
train-s10	樊日行否认	3	5
train-s10	人都是吃五谷杂粮长大	7	10
train-s10	本来就会生病	4	6
train-s10	而且装病万一被拆穿了	6	10
train-s10	岂不是无法对广大的观众交代	8	13
train-s11	该剧两位编剧独孤红罗文忠在写剧本时	12	17
train-s11	几乎参考了所有有关武则天的资料如林语堂武则天传陈虹武则天与狄仁杰历代通俗演义童煦中国后妃列传黄柏松中国艳姬	34	53
train-s11	等	1	1
train-s12	电视台把一个跋扈专横乱伦篡国的武则天演成柔弱堪怜的女子	17	27
train-s12	这是我们所不能容忍的	7	10
train-s13	UMLS可用于设计信息检索或病历系统	10	18
train-s13	促进不同系统之间的通讯交流	7	13
train-s13	或者用于开发能够解析生物医学文献的系统	11	19
train-s14	一支由白人军官带领的黑人民兵洗劫了卡梅隆庄园	13	22
train-s14	并且企图强暴卡梅隆家的每一个女眷	10	16
train-s14	但邦联军队击溃这些民兵	6	11
train-s14	拯救了她们	3	5
train-s15	2006年剩下的时光	5	10
train-s15	乐团都用来编写与录制乐团的第三张专辑闲言闲语就是不道自己	16	28
train-s15	该专辑并在2007年5月发行	9	14
train-s16	当时他对巴黎这个法国首都兴奋不已	10	16
train-s16	并决定将各种印象和想像化成音乐作为表达	12	19
train-s16	他在巴黎谱写此乐曲	6	9
train-s16	在一次前往维也纳行程的途中进行配器工作	11	19
train-s16	首演则在纽约	4	6
train-s16	于1928年12月31日由瓦德丹路殊WalterDamrosch指挥纽约爱乐演出	16	40
train-s17	而雪莉的卧底身份也被拆穿	8	12
train-s17	原来雪莉的真正身份是云想集团董事长高超之女高蓓	16	23
train-s17	受后母品缇王琳饰指使	8	10
train-s17	化名雪莉潜入天衣集团搞垮天衣	7	14
train-s18	静华后来发现叶广义不爱自己便偷取美丽的设计创意投靠云想集团	16	29
train-s19	吴汤兴将发辫交给妻子	6	10
train-s19	并且嘱咐若不幸战死	5	9
train-s19	以发为冢	4	4
train-s20	隔日义民军启程前往八卦山	7	12
train-s20	吴汤兴一行人皆壮烈成仁	8	11
train-s21	一级抗体对于检测如癌症糖尿病帕金森氏症和阿尔茨海默氏病等疾病所特有的生物标记是非常有用的	27	44
train-s22	丁启睿与杨文岳逃奔汝宁	7	11
train-s22	明军一路死伤无数	5	8
train-s22	傅宗龙战死	3	5
train-s22	启睿的敕书尚方宝剑等全部丢失	8	14
train-s23	1900年	2	5
train-s23	八国联军侵入天津	5	8
train-s23	他一度兼任天津都统衙门汉文秘书	10	15
train-s23	办理一切外交事务	4	8
train-s23	后来又兼任保定学堂总教习	7	12
train-s24	1903年该学堂易名为北洋大学堂今天津大学	12	21
train-s24	丁家立仍任总教习	6	8
train-s25	其后	1	2
train-s25	前者在逃亡时被杀而七里氏则能成功逃至加贺	14	20
train-s26	在最后	2	3
train-s26	医生终于意识到外星人们只想要他的歌声	13	18
train-s26	而并没有将他视作一个有情感的实体	12	16
train-s27	外星人决定将他的歌声传遍整颗星球	10	16
train-s27	这让他成为了一名歌星	9	10
train-s28	医生变得十分自负	4	8
train-s28	并让在航海家号上的朋友们感到很不愉快	14	18
train-s29	该路临近静安寺和曹家渡两段店铺较多	11	17
train-s30	纪念碑四周建成占地面积11265平方米的三元里抗英纪念公园	15	29
train-s31	该组织的前身	4	6
train-s31	是1963年由奥地利裔美国经济学家弗里茨马赫卢普创立的TheBellagioGroup	17	43
train-s31	目的是为了探求解决国际货币体系问题的方案	11	20
train-s31	特别是1960年代美国所面临的国际收支危机	11	21
train-s32	1642年11月	4	8
train-s32	瑞典军于布赖滕费尔德再度击败神圣罗马帝国军	10	21
train-s32	但此时丹麦王却嫉妒瑞典军的成果	10	15
train-s32	并恐惧瑞典强大后	5	8
train-s32	丹麦受其所制	5	6
train-s32	因此乘瑞典军进攻日耳曼南方之际	10	15
train-s32	向瑞典宣战	3	5
train-s33	在密苏里州	3	5
