sent_id	lds_text	word_n	character_n
w01001049	宪章+	1	2
w01001049	曾+允许+	2	3
w01001049	创立+	1	2
w01001049	商人+行会+	2	4
w01001049	由+	1	1
w01001049	的+	1	1
w01001049	城镇+市民+管理+	3	6
w01001049	途经+城镇+	2	4
w01001049	的+	1	1
w01001049	以+	1	1
w01001049	向+	1	1
w01001049	人士+征收+税费+	3	6
w01002008	尤+	1	1
w01002008	为+丰富+	2	3
w01002008	矿物+资源+	2	4
w01002008	蕴含+	1	2
w01002008	大量+的+	2	3
w01002008	黄金+钻石+	2	4
w01002008	锰矿+	1	2
w01002008	铅矿+	1	2
w01002008	锌矿+	1	2
w01002008	镍矿+	1	2
w01002008	钴矿+	1	2
w01002008	以及+钼矿+	2	4
w01002013	在+	1	1
w01002013	极西北+地区+以外+	3	7
w01002013	泰加林+具有+	2	5
w01002013	统治+地位+	2	4
w01002013	它+覆盖+了+	3	4
w01002013	整个+西伯利亚+的+	3	7
w01002013	一+个+	2	2
w01002013	重要+部分+	2	4
w01002075	2019+年+	2	5
w01002075	世界+	1	2
w01002075	大学生+	1	3
w01002075	冬季+运动会+	2	5
w01002075	将+由+	2	2
w01002075	雅茨克+举办+	2	5
w01003051	例如+	1	2
w01003051	莱恩+群岛+	2	4
w01003051	和+	1	1
w01003051	马尔代夫+	1	4
w01003051	位+于+	2	2
w01003051	太平洋+	1	3
w01003051	的+	1	1
w01003051	位+于+	2	2
w01003051	印度洋+	1	3
w01003051	的+	1	1
w01003056	花岗岩+岛屿+包括+塞舌尔+	4	10
w01003056	和+刁曼岛+	2	4
w01003056	火山岩+岛屿+	2	5
w01003056	则+如+圣赫勒拿岛+	3	7
w01003062	比如+	1	2
w01003062	离岸+的+	2	3
w01003062	墨西哥+	1	3
w01003062	下+加利福尼亚州+	2	7
w01003062	小岛屿+	1	3
w01003062	就+属+于+	3	3
w01003062	沙漠+荒岛+	2	4
w01004051	依赖+	1	2
w01004051	进口+谷物+	2	4
w01004051	来+	1	1
w01004051	自+塞西亚+	2	4
w01004051	的+	1	1
w01004051	控制+着+	2	3
w01004051	海峡+要道+	2	4
w01004051	的+	1	1
w01004051	与+	1	1
w01004051	城市+例如+	2	4
w01004051	麦加拉+的+	2	4
w01004051	殖民地+拜占廷+	2	6
w01004051	公元+前+	2	3
w01004051	五+世纪+的+	3	4
w01004051	希腊+	1	2
w01004051	雅典+城邦+	2	4
w01004051	因+此+	2	2
w01004051	保持+着+	2	3
w01004051	关键+	1	2
w01004051	同盟+关系+	2	4
w01005020	大流士+	1	3
w01005020	十分+赏识+的+	3	5
w01005020	司令官+美伽巴佐斯+	2	8
w01005020	负责+	1	2
w01005020	实现+	1	2
w01005020	目标+	1	2
w01005020	征服+巴尔干+	2	5
w01005020	的+	1	1
w01005021	阿契美尼德+军队+征服+了+	4	10
w01005021	色雷斯+希腊+	2	5
w01005021	的+	1	1
w01005021	沿海+城市+	2	4
w01005021	以及+培奥尼亚人+	2	7
w01005022	投降+	1	2
w01005022	最终+	1	2
w01005022	在+	1	1
w01005022	约+	1	1
w01005022	公元+前+	2	3
w01005022	512+年+	2	4
w01005022	511+年+	2	4
w01005022	马其顿+国王+阿闵塔斯+	3	9
w01005022	一世+	1	2
w01005022	接受+了+	2	3
w01005022	阿契美尼德+的+	2	6
w01005022	统治+	1	2
w01005022	全国+	1	2
w01005022	成+为+	2	2
w01005022	阿契美尼德波斯+帝国+的+	3	10
w01005022	附庸国+	1	3
w01005023	多+族裔+的+	3	4
w01005023	阿契美尼德+军队+吸纳+了+	4	10
w01005023	许多+巴尔干人+从军+	3	8
w01005024	此外+	1	2
w01005024	许多+	1	2
w01005024	马其顿+	1	3
w01005024	和+波斯+	2	3
w01005024	的+	1	1
w01005024	精英+人士+通婚+	3	6
w01006027	首家+	1	2
w01006027	电影+公司+Athina+Film+	4	14
w01006027	于+	1	1
w01006027	1912+年+成立+	3	7
w01006027	Asty+Film+	2	8
w01006027	则+	1	1
w01006027	于+	1	1
w01006027	1916+年+成立+	3	7
w01006081	由+	1	1
w01006081	的+	1	1
w01006081	亚尼斯+斯玛拉迪斯+	2	8
w01006081	导演+	1	2
w01006081	2007+年+	2	5
w01006081	最+成功+的+	3	4
w01006081	电影+	1	2
w01006081	是+	1	1
w01006081	葛雷柯+	1	3
w01007004	法国+	1	2
w01007004	摩纳哥+条约+	2	5
w01007004	于+	1	1
w01007004	1918+年+	2	5
w01007004	7+月+签署+	3	4
w01007004	法国+	1	2
w01007004	据+此+	2	2
w01007004	为+摩纳哥+提供+	3	6
w01007004	有限+的+	2	3
w01007004	保护+	1	2
w01007035	包括+	1	2
w01007035	一+名+	2	2
w01007035	国务+大臣+作+为+	4	6
w01007035	政府+首脑+	2	4
w01007035	执行+机构+	2	4
w01007035	并+由+	2	2
w01007035	其+主持+	2	3
w01007035	政府+的+	2	3
w01007035	五+人+理事会+	3	5
w01007070	其+	1	1
w01007070	警察+队伍+包括+	3	6
w01007070	一+个+	2	2
w01007070	特别+单元+	2	4
w01007070	负责+	1	2
w01007070	的+	1	1
w01007070	巡逻+	1	2
w01007070	和+监管+船只+	3	5
w01007087	当前+的+	2	3
w01007087	土地+	1	2
w01007087	开垦+项目+包括+	3	6
w01007087	对+芳特维耶区+进行+扩建+	4	10
w01007087	这+	1	1
w01007087	一+	1	1
w01007087	项+	1	1
w01008043	但+	1	1
w01008043	北+爱尔兰+英格兰+	3	7
w01008043	和+威尔士+	2	4
w01008043	之间+	1	2
w01008043	在+法律+	2	3
w01008043	和+程序+	2	3
w01008043	上+	1	1
w01008043	存在+	1	2
w01008043	重要+的+	2	3
w01008043	差异+	1	2
w01009010	最+	1	1
