sent_id	phrase_text	word_n	character_n
651	刚才+	1	2
651	秘书处+	1	3
651	已+	1	1
651	五+后+分钟+	3	4
652	现在+	1	2
652	时间+	1	2
652	了+	1	1
652	五+分钟+	2	3
653	我+	1	1
653	想+	1	1
653	跟+大家+	2	3
653	今天+的+会议+	3	5
653	两+部分+	2	3
654	大家+	1	2
654	的+	1	1
654	第一+部分+	2	4
654	是+	1	1
655	而+	1	1
655	第二+部分+	2	4
655	立法会+主席+	2	5
656	同事+	1	2
656	对+候选人+主席+的+国籍+问题+	6	11
656	些+	1	1
656	意见+	1	2
657	候选人+	1	3
657	就+某些+方面+	3	5
657	澄清+	1	2
658	由于+	1	2
658	并+	1	1
658	任何+程序+	2	4
658	我们+	1	2
658	在+内+会议厅+	3	5
658	提问+辩论+谘询+或+等+澄清+	6	10
658	因此+	1	2
658	不+可以+	2	3
658	这些+工作+	2	4
659	为+	1	1
659	一些+议员+	2	4
659	此+事+	2	2
659	能+	1	1
659	不过+	1	2
659	议员+梁君彦+	2	5
659	稍后+	1	2
659	到+外+会议厅+	3	5
659	向+新闻+传媒+	3	5
659	他+的+国籍+问题+	4	6
660	议员+	1	2
660	亦+	1	1
660	可+	1	1
660	他+的+阐述+	3	4
660	以及+	1	2
660	可以+	1	2
660	向+	1	1
660	他+	1	1
661	根据+规则+	2	4
661	不+	1	1
661	或+	1	1
661	任何+讨论+	2	4
662	梁君彦+议员+的+交代+	4	8
663	会议+	1	2
663	将+	1	1
663	在+时+二+分+三十+下午+	6	8
663	正式+	1	2
664	我+的+发言+	3	4
664	到此+	1	2
666	二+分+三十五+时+	4	6
666	原先+	1	2
666	二+分+三十+时+	4	5
666	较+时间+	2	3
667	不+想+	2	2
667	再+	1	1
669	现+	1	1
669	所有+同事+	2	4
669	自己+的+座位+	3	5
670	秩序+	1	2
670	地+	1	1
670	今天+	1	2
670	程式+	1	2
670	主席+	1	2
672	规程+问题+	2	4
673	但+	1	1
673	其他+同事+	2	4
673	秘书+	1	2
673	先行+	1	2
673	座位+	1	2
673	一些+文书+工作+	3	6
674	上+	1	1
674	否则+	1	2
674	会+	1	1
674	比较+	1	2
675	其他+议员+	2	4
675	先+	1	1
676	如果+	1	2
676	任何+规程+问题+	3	6
678	否+有+	2	2
678	梁君彦+议员+的+国籍+问题+	5	10
680	过+	1	1
680	有关+	1	2
680	国籍+问题+	2	4
680	讨论+	1	2
682	吗+	1	1
683	已经+	1	2
683	为了+	1	2
683	进一步+	1	3
683	国籍+梁君彦+议员+有关+的+问题+	6	12
683	作出+特别+	2	4
683	议员+梁+	2	3
683	在+外+会议厅+	3	5
683	向+传媒+	2	3
683	澄清+和+交代+	3	5
684	各位+	1	2
684	有+	1	1
684	便+	1	1
684	应该+	1	2
684	情况+	1	2
685	无论+	1	2
685	当事人+	1	3
685	如何+	1	2
685	及+	1	1
685	在+这个+上+会议+	4	6
686	作为+会议+主持人+	3	7
686	只+	1	1
686	根据+会议+规则+	3	6
686	程序+	1	2
687	如果+议员+想+	3	5
687	他+的+问题+	3	4
687	满意+的+答复+	3	5
687	在+其他+场合+	3	5
688	今天+的+中+会议+	4	6
688	则+	1	1
688	办法+	1	2
688	这个+问题+	2	4
689	我+现在+想+	3	4
689	哪些+议员+	2	4
689	曾+	1	1
690	不+到+	2	2
691	把+议员+名单+	3	5
691	给+我+	2	2
692	因为+	1	2
693	其他+问题+	2	4
693	权力+	1	2
693	这样+	1	2
694	只是+	1	2
694	会议+规则+	2	4
695	其实+	1	2
695	也+	1	1
695	很+想+	2	2
695	这+会议+	2	3
696	最+	1	1
696	根据+规则+附表+一+段+第六+七+及+的+规定+	10	15
696	由+我+	2	2
697	投票+的+过程+	3	5
698	其他+事情+	2	4
698	无法+	1	2
699	的话+	1	2
701	这+个+会议+	3	4
701	究竟+	1	2
701	我+只+能够+	3	4
704	又+	1	1
704	呢+	1	1
705	真的+	1	2
706	不要+	1	2
706	骚扰+	1	2
706	以便+	1	2
707	根据+名单+	2	4
707	第一+位+议员+	3	5
708	今天+的+规程+	3	5
708	能够+	1	2
708	过程+	1	2
710	议员+毛孟静+	2	5
712	故意+	1	2
712	要+	1	1
712	你+	1	1
713	还+	1	1
713	试图+	1	2
713	梁君彦+议员+的+解释+	4	8
714	解释+他+的+罢+	4	5
715	第一+封+信+	3	4
715	国籍+其+居留权+或+外国+的+问题+	7	12
716	中+信+	2	2
716	声明+	1	2
716	国籍+	1	2
717	却+	1	1
717	并不+	1	2
718	原来+	1	2
718	那+	1	1
718	封+一+	2	2
719	第二+封+信+	3	4
719	才+	1	1
720	暂时+	1	2
720	仍+	1	1
720	未+	1	1
720	到+	1	1
721	就+此+	2	2
722	基本法+	1	3
722	必须+	1	2
722	在+外国+	2	3
722	居留权+	1	3
723	即使+	1	2
723	两+封+信+	3	3
723	都+	1	1
723	由+政府+	2	3
723	一定+	1	2
723	法律+	1	2
724	最+主要+	2	3
724	份+那+	2	2
725	本人+我+	2	3
725	一+份+	2	2
726	应+	1	1
726	有关+文件+	2	4
727	所有+事情+	2	4
727	皆+	1	1
727	被+	1	1
727	后+	1	1
729	提问+你+的+能够+	4	6
729	事情+或+过程+	3	5
729	与+选举+	2	3
731	特别+安排+	2	4
731	向+大众+和+社会+大家+	5	8
731	交代+及+澄清+	3	5
732	至于+	1	2
732	他+的+答复+	3	4
732	否+能+	2	2
732	你+刚才+的+提问+	4	6
732	任何+意见+	2	4
733	对+大家+	2	3
733	鉴于+	1	2
733	一而再再而三+	1	6
733	资料+	1	2
733	在+公开+场合+	3	5
733	大+自行+	2	3
733	否+会+	2	2
734	梁君彦+议员+的+答复+	4	8
734	大家+的+提问+	3	5
735	那么+	1	2
735	梁天琦+	1	3
735	不+应该+	2	3
736	合法+权利+	2	4
736	议员+梁耀忠+	2	5
736	自行+	1	2
736	给+他+	2	2
737	否+	1	1
737	选民+	1	2
737	给+梁天琦+	2	4
738	规则+一+附表+	3	5
738	所+	1	1
738	主席+立法会+的+选举+	4	8
738	须+	1	1
738	按照+程序+	2	4
739	有关+的+条文+	3	5
739	在+上+会议+	3	4
739	就+候选人+的+事宜+	4	7
740	事实上+	1	3
740	有关+的+讨论+	3	5
740	上+论坛+	2	3
740	昨天+	1	2
740	特别+	1	2
742	上+的+法律+	3	4
743	声明+一+份+的+正式+文件+	6	9
743	英国+国籍+	2	4
744	最+好+	2	2
744	当然+	1	2
745	正本+	1	2
745	向+我们+	2	3
746	现时+	1	2
746	得+	1	1
746	很+	1	1
747	按照+我+的+理解+	4	6
747	仍未+	1	2
747	相关+文件+	2	4
748	怎+	1	1
748	在+这里+	2	3
749	据+	1	1
749	主席+立法会+不+能够+	4	8
749	国家+任何+其他+的+居留权+	5	10
750	这+方面+	2	3
750	清楚+	1	2
750	没有+	1	2
751	与+大家+	2	3
751	其他+途径+	2	4
752	法律+背景+	2	4
752	既+	1	1
752	非+	1	1
753	我+主席+这+个+的+身份+	6	8
753	不+能够+	2	3
753	任何+回答+	2	4
755	不好意思+	1	4
755	这样+插言+	2	4
757	按照+你+刚才+的+说法+	5	8
757	作为+立法会+主席+	3	7
757	外国+居留权+	2	5
758	选举+	1	2
758	但是+	1	2
758	人+	1	1
758	于+稍后+半+分钟+或+十+后+小时+	8	11
758	便会+	1	2
759	在+内+今天+	3	4
759	正式+声明+	2	4
762	就+	1	1
762	一旦+	1	2
762	条件+	1	2
762	规定+	1	2
