sent_id	clause_text	c_phrase_n	word_n
651	刚才+秘书处+已+分钟+五+后+	4	6
651		0	0
652	现在+时间+已+了+分钟+五+	5	6
653	我+想+大家+跟+	3	4
653	会议+今天+的+部分+两+	2	5
654	刚才+大家+已+的+	4	4
654	部分+第一+是+	2	3
655	而+部分+第二+	2	3
655	主席+立法会+	1	2
656	我+	1	1
656	同事+	1	1
656	问题+对+候选人+主席+的+国籍+些+意见+	3	8
657	候选人+	1	1
657	方面+就+某些+澄清+	2	4
658	由于+会议+今天+的+并+程序+任何+	4	7
658	我们+	1	1
658	会议厅+在+内+澄清+提问+辩论+谘询+或+等+	2	9
658	因此+我们+可以+不+会议厅+在+内+工作+这些+	5	9
659	为+议员+一些+	2	3
659	事+此+的+	2	3
659	能+澄清+	2	2
659	不过+我+	2	2
659	梁君彦+议员+稍后+会议厅+到+外+传媒+向+新闻+问题+他+的+国籍+	5	13
660	事+此+的+	2	3
660	而+议员+亦+可+	4	4
660	阐述+他+的+	1	3
660	以及+可以+向+他+	4	4
661		0	0
661	会议厅+在+内+规则+根据+我+不+能+大家+	6	9
661		0	0
661	或+讨论+任何+	2	3
662	我+现在+议员+	3	3
662	事+此+的+	2	3
662	会议厅+到+外+交代+梁君彦+议员+的+	2	7
663	我+	1	1
663	会议+将+下午+在+时+二+分+三十+正式+	4	9
664	发言+我+的+到此+	2	4
665	现在+会议+	2	2
666	现在+时+二+分+三十五+	2	5
666	我+原先+的+	3	3
666	时+二+分+三十+会议+	2	5
666	时间+较+了+分钟+五+	3	5
667	我+想+不+再+	3	4
668	现在+	1	1
668	正式+	1	1
669	会议+现+已+	3	3
669	我+	1	1
669	同事+所有+座位+自己+的+	2	5
670	我们+	1	1
670		0	0
670	秩序+地+	2	2
670	今天+程式+	2	2
670	主席+的+	2	2
671	我+现在+再+同事+所有+	4	5
671	座位+自己+的+	1	3
672	议员+	1	1
672	想+问题+规程+	2	3
673	但+同事+其他+秘书+	3	4
673	先行+座位+	2	2
673		0	0
673	我+	1	1
673	工作+一些+文书+	1	3
674	秘书+	1	1
674		0	0
674	上+	1	1
674	否则+会+比较+	3	3
675	我+	1	1
675	议员+其他+先+座位+	3	4
675	我们+	1	1
675	可以+会议+	2	2
676	如果+大家+问题+任何+规程+	3	5
676	可以+	1	1
677	我+会+大家+时间+	4	4
678	主席+我+想+	3	3
678	秘书处+有+否+问题+梁君彦+议员+的+国籍+	3	8
679	他+	1	1
680	刚才+我+过+	3	3
680	有关+议员+的+	3	3
680	问题+国籍+不+是+会议+今天+的+讨论+	5	8
681	的+	1	1
682		0	0
682	先+我+	2	2
682		0	0
682	吗+	1	1
683	我+刚才+已经+过+	4	4
683	为了+大家+	2	2
683	进一步+问题+国籍+梁君彦+议员+有关+的+	2	7
683	或+他+	2	2
683		0	0
683	我+已+特别+作出+时间+	4	5
683	梁+议员+	1	2
683	会议厅+在+外+传媒+向+交代+澄清+和+	3	8
684	如果+各位+刚才+有+	4	4
684	便+应该+	2	2
684	情况+	1	1
685	无论+当事人+如何+	3	3
685	及+	1	1
685	不过+会议+在+这个+上+我+不+能+	5	8
685	大家+	1	1
685		0	0
686	主持人+作为+会议+我+只+能+规则+根据+会议+程序+	6	10
687	想+如果+议员+	1	3
687	问题+他+的+答复+满意+的+	2	6
687	可以+场合+在+其他+	2	4
688	会议+今天+的+中+则+办法+	3	6
688	问题+这个+	1	2
689	想+我+现在+	1	3
689	议员+哪些+	1	2
689	刚才+曾+	2	2
689	想+问题+规程+	2	3
