sent_id	word_char	upos	character_token_n	component_n
M010001	第五	m	2	4
M010001	部	q	1	2
M010001	预	d	1	2
M010001	知	v	1	2
M010001	能力	n	2	3
M010002	我	r	1	1
M010002	这样	r	2	4
M010002	说	v	1	2
M010002	原	d	1	2
M010002	是	v	1	2
M010002	有	v	1	2
M010002	一	m	1	1
M010002	种	q	1	2
M010002	想法	n	2	4
M010003	在	p	1	2
M010003	最初	d	2	4
M010003	告诉	v	2	4
M010003	这个	r	2	4
M010003	的	u	1	2
M010003	情形	n	2	4
M010003	时	ng	1	2
M010003	一点	m	2	3
M010003	兴趣	n	2	4
M010003	也	d	1	1
M010003	没有	v	2	4
M010003	后来	t	2	3
M010003	随着	p	2	4
M010003	她	r	1	2
M010003	进一步	d	3	5
M010003	介绍	v	2	4
M010003	渐渐	d	2	4
M010003	增加	v	2	4
M010003	最后	f	2	4
M010003	我们	r	2	3
M010003	之间	f	2	3
M010003	那	r	1	2
M010003	次	q	1	2
M010003	讨论	vn	2	4
M010003	之后	f	2	3
M010003	已经	d	2	3
M010003	准备	v	2	4
M010003	与	c	1	2
M010003	一起	s	2	3
M010003	来	v	1	1
M010003	管	v	1	2
M010003	这	r	1	2
M010003	件	q	1	2
M010003	事	n	1	1
M010003	了	y	1	1
M010004	可	v	1	2
M010004	现在	t	2	4
M010004	忽然	d	2	4
M010004	又	d	1	1
M010004	改变	v	2	4
M010004	主意	n	2	4
M010004	因为	p	2	3
M010004	实在	d	2	4
M010004	病态	n	2	4
M010004	懒得	v	2	4
M010004	身上	s	2	2
M010004	浪费	vn	2	4
M010004	时间	n	2	4
M010004	一个	m	2	3
M010004	事情	n	2	3
M010004	极	d	1	2
M010004	多	a	1	2
M010004	人	n	1	1
M010005	番	q	1	2
M010005	话	n	1	2
M010005	不	d	1	1
M010005	想	v	1	2
M010005	再	d	1	2
M010005	听	v	1	2
M010005	下去	v	2	3
M010005	就	d	1	2
M010005	这时	r	2	4
M010005	句	q	1	2
M010005	使	v	1	2
M010005	再次	d	2	4
M010005	被	p	1	2
M010005	调动	v	2	4
M010005	起来	v	2	3
M010006	那时	r	2	4
M010006	跟	p	1	2
M010006	你	r	1	2
M010006	一样	u	2	3
M010006	觉得	v	2	4
M010006	女孩	n	2	3
M010008	但是	c	2	4
M010008	夫妇	n	2	3
M010008	许多	m	2	4
M010008	年	q	1	1
M010008	见面	v	2	2
M010008	这次	r	2	4
M010008	如此	r	2	4
M010008	艰难	a	2	4
M010008	地	u	1	2
M010008	见	v	1	1
M010008	此生	r	2	3
M010008	中	f	1	1
M010008	很难说	l	3	6
M010008	还	d	1	2
M010008	会	v	1	2
M010008	不会	v	2	3
M010008	下次	t	2	3
M010008	所以	c	2	4
M010008	不好意思	ad	4	7
M010008	走	v	1	2
M010008	便	d	1	2
M010008	决定	v	2	4
M010008	那里	r	2	4
M010008	住	v	1	2
M010008	几	m	1	1
M010008	天	q	1	2
M010008	然后	c	2	4
M010008	那天	t	2	4
M010008	委婉	a	2	4
M010008	她们	r	2	4
M010008	别	d	1	2
M010008	为	p	1	1
M010008	费心	a	2	3
M010009	可是	c	2	4
M010009	接下来	l	3	4
M010009	一些	m	2	3
M010009	却	d	1	2
M010009	让	v	1	2
M010009	彻底	ad	2	4
M010010	对	p	1	2
M010010	此	r	1	2
M010010	感兴趣	a	3	6
M010010	起身	v	2	3
M010010	去	v	1	2
M010010	倒	v	1	2
M010010	酒	n	1	2
M010010	坐	v	1	2
M010010	下来	v	2	2
M010010	谈	v	1	2
M010010	点	q	1	2
M010010	别的	r	2	4
M010011	毕竟	d	2	4
M010011	日	q	1	1
M010011	要	v	1	2
M010011	当然	d	2	4
M010011	很多	m	2	4
M010012	听到	v	2	4
M010012	这话	r	2	4
M010012	转过	v	2	4
M010012	头	n	1	1
M010012	看	v	1	2
M010012	一眼	m	2	3
M010012	正好	z	2	4
M010013	交换	v	2	4
M010013	眼神	n	2	4
M010013	只不过	d	3	5
M010013	瞬间	t	2	4
M010013	也许	d	2	3
M010013	十分之一秒	t	5	7
M010013	百分之一秒	t	5	8
M010013	谁	r	1	2
M010013	能	v	1	2
M010013	得	u	1	2
M010013	清楚	a	2	4
M010014	从	p	1	2
M010014	看到	v	2	4
M010014	坚韧	an	2	4
M010014	从而	c	2	3
M010014	知道	v	2	4
M010014	似乎	d	2	3
M010014	有些	r	2	4
M010014	特别	a	2	4
M010014	而且	c	2	2
M010014	早已	d	2	3
M010014	拿	v	1	2
M010014	定	v	1	2
M010014	一定	d	2	3
M010014	过问	v	2	4
M010014	一下	m	2	2
M010014	并且	c	2	3
M010014	拉	v	1	2
M010014	进行	v	2	4
M010015	将	p	1	3
M010015	端	ag	1	2
M010015	过来	v	2	3
M010015	面前	f	2	4
M010015	坐下	v	2	3
M010015	向	p	1	2
M010015	举	v	1	2
M010015	酒杯	n	2	4
M010015	意思	n	2	4
M010015	既然	c	2	4
M010015	认为	v	2	3
