sent_id	word_char	character_token_n	stroke_n
n01001011	虽然	2	21
n01001011	美国	2	17
n01001011	的	1	8
n01001011	许多	2	12
n01001011	数字化	3	23
n01001011	转型	2	17
n01001011	都是	2	19
n01001011	史无前例	4	26
n01001011	的	1	8
n01001011	但	1	7
n01001011	权力	2	8
n01001011	的	1	8
n01001011	和平	2	13
n01001011	转移	2	19
n01001011	却	1	7
n01001011	存在	2	12
n01001011	先例	2	14
n01001011	奥巴马	3	19
n01001011	的	1	8
n01001011	特别	2	17
n01001011	助理	2	18
n01001011	科瑞	2	22
n01001011	舒尔曼	3	28
n01001011	在	1	6
n01001011	周	1	8
n01001011	一	1	1
n01001011	发布	2	10
n01001011	的	1	8
n01001011	博客	2	21
n01001011	中	1	4
n01001011	写道	2	19
n01001013	对于	2	8
n01001013	通过	2	16
n01001013	社交	2	13
n01001013	媒体	2	19
n01001013	来	1	7
n01001013	跟踪	2	28
n01001013	国会山	3	22
n01001013	任职	2	17
n01001013	变迁	2	14
n01001013	的	1	8
n01001013	人	1	2
n01001013	而	1	6
n01001013	言	1	7
n01001013	这	1	7
n01001013	次	1	6
n01001013	与	1	3
n01001013	以往	2	12
n01001013	有	1	6
n01001013	所	1	8
n01001013	不同	2	10
n01002017	但是	2	16
n01002017	他	1	5
n01002017	在	1	6
n01002017	过去	2	11
n01002017	的	1	8
n01002017	一	1	1
n01002017	次	1	6
n01002017	进行	2	13
n01002017	移民	2	16
n01002017	削减	2	20
n01002017	相关	2	15
n01002017	演说	2	23
n01002017	的	1	8
n01002017	休息	2	16
n01002017	环节	2	13
n01002017	作	1	7
n01002017	为	1	4
n01002017	共和党	3	24
n01002017	候选人	3	21
n01002017	他	1	5
n01002017	曾	1	12
n01002017	宣称	2	19
n01002017	作	1	7
n01002017	为	1	4
n01002017	总统	2	18
n01002017	基	1	11
n01002017	于	1	3
n01002017	政绩	2	20
n01002017	的	1	8
n01002017	考量	2	18
n01002017	他	1	5
n01002017	将	1	9
n01002017	允许	2	10
n01002017	超	1	12
n01002017	大量	2	15
n01002017	合法	2	14
n01002017	移民	2	16
n01002032	所以	2	12
n01002032	我	1	7
n01002032	不想	2	17
n01002032	给	1	9
n01002032	你们	2	12
n01002032	施加	2	14
n01002032	哪怕	2	17
n01002032	一丁点	3	12
n01002032	的	1	8
n01002032	压力	2	8
n01002032	但	1	7
n01002032	你们	2	12
n01002032	肩负	2	14
n01002032	的	1	8
n01002032	是	1	9
n01002032	共和国	3	22
n01002032	的	1	8
n01002032	命运	2	15
n01002032	奥巴马	3	19
n01002032	对	1	5
n01002032	在	1	6
n01002032	北卡罗来纳	5	39
n01002032	大学	2	11
n01002032	运动场	3	19
n01002032	上	1	3
n01002032	的	1	8
n01002032	群众	2	19
n01002032	说道	2	23
n01002042	希拉里	3	22
n01002042	的	1	8
