sent_id	word_char	upos	character_token_n	component_n
651	刚才	ADV	2	3
651	秘书处	NOUN	3	5
651	已	ADV	1	1
651	宣布	VERB	2	4
651	五	NUM	1	1
651	分钟	NOUN	2	4
651	后	ADP	1	2
651	复会	VERB	2	4
652	现在	NOUN	2	4
652	时间	NOUN	2	4
652	已	ADV	1	1
652	过	VERB	1	2
652	了	AUX	1	1
652	五	NUM	1	1
652	分钟	NOUN	2	4
653	我	PRON	1	1
653	想	AUX	1	2
653	跟	ADP	1	2
653	大家	PRON	2	3
653	说	VERB	1	2
653	今天	NOUN	2	4
653	的	PART	1	2
653	会议	NOUN	2	4
653	分为	VERB	2	3
653	两	NUM	1	1
653	部分	NOUN	2	4
654	第一	ADJ	2	4
654	部分	NOUN	2	4
654	是	AUX	1	2
654	刚才	ADV	2	3
654	大家	PRON	2	3
654	已	ADV	1	1
654	完成	VERB	2	4
654	的	PART	1	2
654	宣誓	NOUN	2	4
655	而	CCONJ	1	1
655	第二	ADJ	2	4
655	部分	NOUN	2	4
655	是	VERB	1	2
655	选举	VERB	2	4
655	立法会	NOUN	3	5
655	主席	NOUN	2	4
656	我	PRON	1	1
656	知道	VERB	2	4
656	有	VERB	1	2
656	同事	NOUN	2	3
656	对	ADP	1	2
656	主席	NOUN	2	4
656	候选人	NOUN	3	6
656	的	PART	1	2
656	国籍	NOUN	2	4
656	问题	NOUN	2	4
656	有	ADV	1	2
656	些	NOUN	1	2
656	意见	NOUN	2	3
657	要求	VERB	2	3
657	候选人	NOUN	3	6
657	就	ADP	1	2
657	某些	DET	2	4
657	方面	NOUN	2	2
657	作出	VERB	2	4
657	澄清	NOUN	2	4
658	由于	SCONJ	2	2
658	今天	NOUN	2	4
658	的	PART	1	2
658	会议	NOUN	2	4
658	并	ADV	1	2
658	没有	VERB	2	4
658	任何	DET	2	4
658	程序	NOUN	2	4
658	容许	VERB	2	4
658	我们	PRON	2	3
658	在	ADP	1	2
658	会议厅	NOUN	3	6
658	内	ADP	1	1
658	进行	VERB	2	4
658	澄清	NOUN	2	4
658	提问	NOUN	2	4
658	辩论	NOUN	2	4
658	或	CCONJ	1	2
658	谘询	NOUN	2	4
658	等	PART	1	2
658	因此	ADV	2	4
658	我们	PRON	2	3
658	不	ADV	1	1
658	可以	AUX	2	4
658	在	ADP	1	2
658	会议厅	NOUN	3	6
658	内	ADP	1	1
658	进行	VERB	2	4
658	这些	DET	2	4
658	工作	NOUN	2	3
659	不过	ADV	2	3
659	为	ADP	1	1
659	让	VERB	1	2
659	一些	DET	2	3
659	关注	VERB	2	4
659	此	DET	1	2
659	事	NOUN	1	1
659	的	PART	1	2
659	议员	NOUN	2	4
659	能	AUX	1	2
659	获	VERB	1	2
659	澄清	NOUN	2	4
659	我	PRON	1	1
659	建议	VERB	2	4
659	议员	NOUN	2	4
