sent_id	word_char	upos	character_token_n	component_n
M010001	第五	m	2	4
M010001	部	q	1	3
M010001	预	d	1	2
M010001	知	v	1	2
M010001	能力	n	2	3
M010002	我	r	1	1
M010002	这样	r	2	4
M010002	说	v	1	3
M010002	原	d	1	2
M010002	是	v	1	2
M010002	有	v	1	2
M010002	一	m	1	1
M010002	种	q	1	2
M010002	想法	n	2	6
M010003	在	p	1	2
M010003	最初	d	2	5
M010003	告诉	v	2	4
M010003	我	r	1	1
M010003	这个	r	2	4
M010003	的	u	1	3
M010003	情形	n	2	5
M010003	时	ng	1	2
M010003	我	r	1	1
M010003	是	v	1	2
M010003	一点	m	2	4
M010003	兴趣	n	2	6
M010003	也	d	1	1
M010003	没有	v	2	5
M010003	后来	t	2	3
M010003	随着	p	2	6
M010003	她	r	1	2
M010003	的	u	1	3
M010003	进一步	d	3	5
M010003	介绍	v	2	5
M010003	我	r	1	1
M010003	的	u	1	3
M010003	兴趣	n	2	6
M010003	也	d	1	1
M010003	渐渐	d	2	6
M010003	增加	v	2	6
M010003	最后	f	2	5
M010003	在	p	1	2
M010003	我们	r	2	3
M010003	之间	f	2	3
M010003	的	u	1	3
M010003	那	r	1	2
M010003	次	q	1	2
M010003	讨论	vn	2	5
M010003	之后	f	2	3
M010003	我	r	1	1
M010003	已经	d	2	3
M010003	准备	v	2	4
M010003	与	c	1	2
M010003	一起	s	2	4
M010003	来	v	1	1
M010003	管	v	1	3
M010003	一	m	1	1
M010003	管	v	1	3
M010003	这	r	1	2
M010003	件	q	1	2
M010003	事	n	1	1
M010003	了	y	1	1
M010004	可	v	1	2
M010004	现在	t	2	4
M010004	我	r	1	1
M010004	忽然	d	2	5
M010004	又	d	1	1
M010004	改变	v	2	7
M010004	了	u	1	1
M010004	主意	n	2	4
M010004	因为	p	2	3
M010004	这个	r	2	4
M010004	实在	d	2	4
M010004	是	v	1	2
M010004	一	m	1	1
M010004	种	q	1	2
M010004	病态	n	2	6
M010004	我	r	1	1
M010004	懒得	v	2	6
M010004	在	p	1	2
M010004	她	r	1	2
M010004	身上	s	2	2
M010004	浪费	vn	2	5
M010004	时间	n	2	4
M010004	我	r	1	1
M010004	是	v	1	2
M010004	一个	m	2	3
M010004	事情	n	2	3
M010004	极	d	1	2
M010004	多	a	1	2
M010004	的	u	1	3
M010004	人	n	1	1
M010005	在	p	1	2
M010005	我	r	1	1
M010005	说	v	1	3
M010005	了	u	1	1
M010005	那	r	1	2
M010005	番	q	1	2
M010005	话	n	1	2
M010005	之后	f	2	3
M010005	我	r	1	1
M010005	原	d	1	2
M010005	也	d	1	1
M010005	不	d	1	1
M010005	想	v	1	3
M010005	再	d	1	2
M010005	听	v	1	2
M010005	下去	v	2	3
M010005	可	v	1	2
M010005	就	d	1	4
M010005	在	p	1	2
M010005	这时	r	2	4
M010005	又	d	1	1
M010005	说	v	1	3
M010005	了	u	1	1
M010005	一	m	1	1
M010005	句	q	1	2
M010005	话	n	1	2
M010005	使	v	1	2
M010005	我	r	1	1
M010005	的	u	1	3
M010005	兴趣	n	2	6
M010005	再次	d	2	4
M010005	被	p	1	2
M010005	调动	v	2	6
M010005	起来	v	2	4
M010006	说	v	1	3
M010006	那时	r	2	4
M010006	我	r	1	1
M010006	跟	p	1	2
M010006	你	r	1	3
M010006	的	u	1	3
M010006	想法	n	2	6
M010006	一样	u	2	3
M010006	觉得	v	2	4
M010006	她	r	1	2
M010006	是	v	1	2
M010006	一个	m	2	3
M010006	病态	n	2	6
M010006	女孩	n	2	5
M010007	也	d	1	1
M010007	就	d	1	4
M010007	不	d	1	1
M010007	想	v	1	3
M010007	再	d	1	2
M010007	管	v	1	3
M010007	这	r	1	2
M010007	件	q	1	2
M010007	事	n	1	1
M010007	了	y	1	1
M010008	但是	c	2	5
M010008	我	r	1	1
M010008	与	p	1	2
M010008	夫妇	n	2	3
M010008	许多	m	2	5
M010008	年	q	1	1
M010008	没有	d	2	5
M010008	见面	v	2	2
M010008	这次	r	2	4
M010008	如此	r	2	4
M010008	艰难	a	2	4
M010008	地	u	1	2
