sent_id	word_char	upos	character_token_n	component_n
train-s1	看似	AUX	2	4
train-s1	简单	ADJ	2	4
train-s1	只	ADV	1	2
train-s1	是	VERB	1	2
train-s1	二	NUM	1	1
train-s1	选	VERB	1	2
train-s1	一	NUM	1	1
train-s1	做	VERB	1	2
train-s1	决择	NOUN	2	4
train-s1	但	ADV	1	2
train-s1	其实	ADV	2	4
train-s1	他们	PRON	2	4
train-s1	代表	VERB	2	4
train-s1	的	PART	1	2
train-s1	是	AUX	1	2
train-s1	你	PRON	1	2
train-s1	周遭	NOUN	2	4
train-s1	的	PART	1	2
train-s1	亲朋	NOUN	2	4
train-s1	好友	NOUN	2	4
train-s1	试	VERB	1	2
train-s1	着	AUX	1	2
train-s1	给	VERB	1	2
train-s1	你	PRON	1	2
train-s1	不同	ADJ	2	3
train-s1	的	PART	1	2
train-s1	意见	NOUN	2	3
train-s1	但	ADV	1	2
train-s1	追根究底	VERB	4	8
train-s1	最后	NOUN	2	4
train-s1	决定	VERB	2	4
train-s1	的	PART	1	2
train-s1	还是	AUX	2	4
train-s1	自己	PRON	2	2
train-s2	其	PRON	1	2
train-s2	便当	NOUN	2	4
train-s2	都是	VERB	2	4
train-s2	买来	VERB	2	3
train-s2	的	PART	1	2
train-s2	就算	ADP	2	5
train-s2	加热	VERB	2	4
train-s2	也是	ADV	2	3
train-s2	由	VERB	1	1
train-s2	妈妈	NOUN	2	4
train-s2	负责	VERB	2	4
train-s2	后来	NOUN	2	3
train-s2	揭晓	VERB	2	4
train-s2	其实	ADV	2	4
train-s2	是	VERB	1	2
train-s2	避免	VERB	2	4
train-s2	带来	VERB	2	4
train-s2	厄运	NOUN	2	4
train-s2	父亲	NOUN	2	3
train-s2	则	ADV	1	2
train-s2	在	VERB	1	2
train-s2	电视	NOUN	2	3
train-s2	台	PART	1	2
train-s2	上班	VERB	2	3
train-s3	这	DET	1	2
train-s3	次	NOUN	1	2
train-s3	游行	NOUN	2	4
train-s3	最大	ADJ	2	3
train-s3	的	PART	1	2
train-s3	特色	NOUN	2	3
train-s3	在	VERB	1	2
train-s3	于	VERB	1	1
train-s3	越来越	ADV	3	5
train-s3	多	ADJ	1	2
train-s3	年轻	ADJ	2	3
train-s3	人	PART	1	1
train-s3	上街	VERB	2	3
train-s3	游行	VERB	2	4
train-s3	而且	ADV	2	2
train-s3	当中	NOUN	2	3
train-s3	不乏	VERB	2	3
train-s3	行动	NOUN	2	4
train-s3	激烈	ADJ	2	4
train-s3	的	PART	1	2
train-s3	躁	PART	1	2
train-s3	少年	NOUN	2	3
train-s4	怀孕	VERB	2	4
train-s4	期	PART	1	2
train-s4	为	AUX	1	1
train-s4	至	CCONJ	1	2
train-s4	日	NOUN	1	1
train-s5	婷婷	PROPN	2	4
train-s5	向	ADP	1	2
train-s5	昏迷	VERB	2	4
train-s5	中	ADP	1	1
train-s5	的	PART	1	2
train-s5	婆婆	NOUN	2	4
train-s5	诉说	VERB	2	4
train-s5	为	ADP	1	1
train-s5	什么	PRON	2	4
train-s5	生活	NOUN	2	3
train-s5	会	AUX	1	2
train-s5	与	ADP	1	2
train-s5	她	PRON	1	2
train-s5	想像	VERB	2	4
train-s5	的	PART	1	2
train-s5	不	ADV	1	1
train-s5	一样	ADJ	2	3
train-s6	就算	ADP	2	5
train-s6	数论	NOUN	2	4
train-s6	的	PART	1	2
train-s6	应用	NOUN	2	4
train-s6	被	VERB	1	2
train-s6	找到	VERB	2	4
train-s6	了	PART	1	1
train-s6	也	ADV	1	1
train-s6	不会	AUX	2	3
train-s6	有	VERB	1	2
train-s6	人	NOUN	1	1
train-s6	会	AUX	1	2
train-s6	因	ADP	1	2
train-s6	此	PRON	1	2
train-s6	罢黜	VERB	2	4
train-s6	这	DET	1	2
train-s6	一	NUM	1	1
train-s6	数学	NOUN	2	4
train-s6	的	PART	1	2
train-s6	皇后	NOUN	2	4
train-s7	一中	PROPN	2	2
train-s7	商圈	NOUN	2	4
train-s7	另	DET	1	2
train-s7	一	NUM	1	1
train-s7	特色	NOUN	2	3
train-s7	为	VERB	1	1
train-s7	同	DET	1	2
train-s7	类型	NOUN	2	4
train-s7	商店	NOUN	2	4
train-s7	会	AUX	1	2
train-s7	聚集	VERB	2	4
train-s7	短短	ADJ	2	4
train-s7	的	PART	1	2
train-s7	育才	PROPN	2	4
train-s7	街	PART	1	2
train-s7	聚集	VERB	2	4
train-s7	了	AUX	1	1
train-s7	十数	NUM	2	3
train-s7	家	NOUN	1	2
train-s7	知名	ADJ	2	4
train-s7	眼镜	NOUN	2	4
train-s7	连锁	NOUN	2	4
train-s7	店	PART	1	2
train-s7	而	ADV	1	1
train-s7	体育	NOUN	2	5
train-s7	用品	NOUN	2	3
train-s7	店	PART	1	2
train-s7	沿着	ADP	2	5
train-s7	太平	PROPN	2	3
train-s7	路	PART	1	2
train-s7	连成	VERB	2	4
train-s7	一	NUM	1	1
train-s7	线	NOUN	1	2
train-s7	在	ADP	1	2
train-s7	激烈	ADJ	2	4
train-s7	竞争	NOUN	2	4
train-s7	下	ADP	1	1
train-s7	价格	NOUN	2	4
train-s7	比	ADP	1	1
train-s7	外地	NOUN	2	4
train-s7	便宜	ADJ	2	4
train-s7	不少	ADJ	2	3
train-s7	货	NOUN	1	2
train-s7	比	VERB	1	1
train-s7	三	NUM	1	1
train-s7	家	NOUN	1	2
train-s7	更	ADV	1	1
train-s7	增加	VERB	2	4
train-s7	购物	NOUN	2	4
train-s7	乐趣	NOUN	2	3
train-s8	一	NUM	1	1
train-s8	代	NOUN	1	2
train-s8	女皇	NOUN	2	3
train-s8	开录	VERB	2	4
train-s8	当日	NOUN	2	3
train-s8	掌镜	VERB	2	4
train-s8	者	PART	1	2
train-s8	是	AUX	1	2
train-s8	导播	NOUN	2	4
train-s8	出身	VERB	2	3
train-s8	的	PART	1	2
train-s8	当时	NOUN	2	4
train-s8	中视	PROPN	2	3
train-s8	节目	NOUN	2	3
train-s8	部	PART	1	2
train-s8	经理	NOUN	2	4
train-s8	王	PROPN	1	1
train-s8	世纲	PROPN	2	3
train-s9	我们	PRON	2	3
train-s9	只	ADV	1	2
train-s9	希望	VERB	2	5
train-s9	借着	ADP	2	4
train-s9	这	DET	1	2
train-s9	个	NOUN	1	2
train-s9	历史	NOUN	2	3
train-s9	上	ADP	1	1
train-s9	真实	ADJ	2	4
train-s9	人物	NOUN	2	3
train-s9	的	PART	1	2
train-s9	一	NUM	1	1
train-s9	生	NOUN	1	1
train-s9	利用	VERB	2	3
train-s9	一些	ADJ	2	3
train-s9	稗官野史	NOUN	4	7
train-s9	的	PART	1	2
train-s9	片段	NOUN	2	3
train-s9	资料	NOUN	2	4
train-s9	再	ADV	1	2
train-s9	加上	VERB	2	3
train-s9	一些	ADJ	2	3
train-s9	善意	NOUN	2	5
train-s9	改编	VERB	2	4
train-s9	的	PART	1	2
train-s9	部分	NOUN	2	4
train-s9	情节	NOUN	2	4
train-s9	而	ADV	1	1
train-s9	能	AUX	1	2
train-s9	带给	VERB	2	5
train-s9	观众	NOUN	2	4
train-s9	一些	ADJ	2	3
train-s9	启示	NOUN	2	3
train-s10	当时	NOUN	2	4
train-s10	外界	NOUN	2	4
train-s10	传闻	VERB	2	4
train-s10	樊	PROPN	1	2
train-s10	日行	PROPN	2	3
train-s10	是	VERB	1	2
train-s10	在	ADP	1	2
train-s10	中视	PROPN	2	3
train-s10	主管	NOUN	2	4
train-s10	授意	NOUN	2	4
train-s10	下	ADP	1	1
train-s10	装病	VERB	2	4
train-s10	樊	PROPN	1	2
train-s10	日行	PROPN	2	3
train-s10	否认	VERB	2	4
train-s10	人	NOUN	1	1
train-s10	都是	VERB	2	4
train-s10	吃	VERB	1	2
train-s10	五	NUM	1	1
train-s10	谷	NOUN	1	1
train-s10	杂粮	NOUN	2	4
train-s10	长大	VERB	2	2
train-s10	本来	ADV	2	2
train-s10	就	ADV	1	2
train-s10	会	AUX	1	2
train-s10	生病	VERB	2	3
train-s10	而且	ADV	2	2
train-s10	装病	VERB	2	4
train-s10	万一	ADV	2	2
train-s10	被	VERB	1	2
train-s10	拆穿	VERB	2	4
train-s10	了	PART	1	1
train-s10	岂	ADV	1	2
train-s10	不是	VERB	2	3
train-s10	无法	VERB	2	3
train-s10	对	ADP	1	2
train-s10	广大	ADJ	2	2
train-s10	的	PART	1	2
train-s10	观众	NOUN	2	4
train-s10	交代	VERB	2	4
train-s11	该剧	NOUN	2	4
train-s11	两	NUM	1	1
train-s11	位	NOUN	1	2
train-s11	编剧	NOUN	2	4
train-s11	独孤	PROPN	2	4
train-s11	红	PROPN	1	2
train-s11	罗	PROPN	1	2
train-s11	文忠	PROPN	2	3
train-s11	在	ADP	1	2
train-s11	写	VERB	1	2
train-s11	剧本	NOUN	2	3
train-s11	时	ADP	1	2
train-s11	几乎	ADV	2	2
train-s11	参考	VERB	2	4
train-s11	了	AUX	1	1
train-s11	所有	DET	2	4
train-s11	有关	ADP	2	4
train-s11	武	PROPN	1	2
train-s11	则天	PROPN	2	4
train-s11	的	PART	1	2
train-s11	资料	NOUN	2	4
train-s11	如	VERB	1	2
train-s11	林	PROPN	1	2
train-s11	语堂	PROPN	2	4
train-s11	武	PROPN	1	2
train-s11	则天	PROPN	2	4
train-s11	传	PART	1	2
train-s11	陈	PROPN	1	2
train-s11	虹	PROPN	1	2
train-s11	武	PROPN	1	2
train-s11	则天	PROPN	2	4
train-s11	与	CCONJ	1	2
train-s11	狄	PROPN	1	2
train-s11	仁杰	PROPN	2	4
train-s11	历代	NOUN	2	4
train-s11	通俗	ADJ	2	4
train-s11	演义	NOUN	2	3
train-s11	童	PROPN	1	2
train-s11	煦	PROPN	1	2
train-s11	中国	PROPN	2	3
train-s11	后妃	NOUN	2	4
train-s11	列传	NOUN	2	4
train-s11	黄	PROPN	1	1
train-s11	柏松	PROPN	2	4
train-s11	中国	PROPN	2	3
train-s11	艳姬	NOUN	2	4
train-s11	等	NOUN	1	2
train-s12	电视	NOUN	2	3
train-s12	台	PART	1	2
train-s12	把	ADP	1	2
train-s12	一	NUM	1	1
train-s12	个	NOUN	1	2
train-s12	跋扈	ADJ	2	4
train-s12	专横	ADJ	2	3
train-s12	乱伦	VERB	2	4
train-s12	篡国	VERB	2	4
train-s12	的	PART	1	2
train-s12	武	PROPN	1	2
train-s12	则天	PROPN	2	4
train-s12	演成	VERB	2	4
train-s12	柔弱	ADJ	2	4
train-s12	堪怜	ADJ	2	4
train-s12	的	PART	1	2
train-s12	女子	NOUN	2	2
train-s12	这	PRON	1	2
train-s12	是	VERB	1	2
train-s12	我们	PRON	2	3
train-s12	所	ADV	1	2
train-s12	不能	AUX	2	3
train-s12	容忍	VERB	2	4
train-s12	的	PART	1	2
train-s13	可	AUX	1	2
train-s13	用	VERB	1	1
train-s13	于	VERB	1	1
train-s13	设计	VERB	2	4
train-s13	信息	NOUN	2	4
train-s13	检索	NOUN	2	4
train-s13	或	CCONJ	1	2
train-s13	病历	NOUN	2	4
train-s13	系统	NOUN	2	4
train-s13	促进	VERB	2	4
train-s13	不同	ADJ	2	3
train-s13	系统	NOUN	2	4
train-s13	之间	ADP	2	3
train-s13	的	PART	1	2
train-s13	通讯	NOUN	2	4
train-s13	交流	NOUN	2	4
train-s13	或者	CCONJ	2	4
train-s13	用	VERB	1	1
train-s13	于	VERB	1	1
train-s13	开发	VERB	2	5
train-s13	能够	AUX	2	4
train-s13	解析	VERB	2	4
train-s13	生物	NOUN	2	3
train-s13	医学	NOUN	2	4
train-s13	文献	NOUN	2	3
train-s13	的	PART	1	2
train-s13	系统	NOUN	2	4
train-s14	一	NUM	1	1
train-s14	支	NOUN	1	2
train-s14	由	VERB	1	1
train-s14	白人	NOUN	2	2
train-s14	军官	NOUN	2	4
train-s14	带领	VERB	2	5
train-s14	的	PART	1	2
train-s14	黑人	NOUN	2	2
train-s14	民兵	NOUN	2	3
train-s14	洗劫	VERB	2	4
train-s14	了	AUX	1	1
