sent_id	character	component_n	stroke_n
n01001011	虽	2	9
n01001011	然	2	12
n01001011	美	2	9
n01001011	国	2	8
n01001011	的	3	8
n01001011	许	3	6
n01001011	多	2	6
n01001011	数	3	13
n01001011	字	2	6
n01001011	化	2	4
n01001011	转	2	8
n01001011	型	4	9
n01001011	都	3	10
n01001011	是	2	9
n01001011	史	1	5
n01001011	无	1	4
n01001011	前	3	9
n01001011	例	3	8
n01001011	的	3	8
n01001011	但	3	7
n01001011	权	2	6
n01001011	力	1	2
n01001011	的	3	8
n01001011	和	2	8
n01001011	平	1	5
n01001011	转	2	8
n01001011	移	3	11
n01001011	却	3	7
n01001011	存	2	6
n01001011	在	2	6
n01001011	先	2	6
n01001011	例	3	8
n01001011	奥	2	12
n01001011	巴	1	4
n01001011	马	1	3
n01001011	的	3	8
n01001011	特	3	10
n01001011	别	3	7
n01001011	助	2	7
n01001011	理	3	11
n01001011	科	2	9
n01001011	瑞	3	13
n01001011	舒	4	12
n01001011	尔	2	5
n01001011	曼	2	11
n01001011	在	2	6
n01001011	周	2	8
n01001011	一	1	1
n01001011	发	3	5
n01001011	布	2	5
n01001011	的	3	8
n01001011	博	3	12
n01001011	客	3	9
n01001011	中	1	4
n01001011	写	3	5
n01001011	道	2	14
n01001013	对	2	5
n01001013	于	1	3
n01001013	通	3	10
n01001013	过	2	6
n01001013	社	2	7
n01001013	交	2	6
n01001013	媒	3	12
n01001013	体	2	7
n01001013	来	1	7
n01001013	跟	2	13
n01001013	踪	3	15
n01001013	国	2	8
n01001013	会	3	6
n01001013	山	1	8
n01001013	任	3	6
n01001013	职	3	11
n01001013	变	5	8
n01001013	迁	2	6
n01001013	的	3	8
n01001013	人	1	2
n01001013	而	1	6
n01001013	言	1	7
n01001013	这	2	7
n01001013	次	2	6
n01001013	与	2	3
n01001013	以	2	4
n01001013	往	3	8
n01001013	有	2	6
n01001013	所	2	8
n01001013	不	1	4
n01001013	同	2	6
n01002017	但	3	7
n01002017	是	2	9
n01002017	他	2	5
n01002017	在	2	6
n01002017	过	2	6
n01002017	去	2	5
n01002017	的	3	8
n01002017	一	1	1
n01002017	次	2	6
n01002017	进	2	7
n01002017	行	3	6
n01002017	移	3	11
n01002017	民	1	5
n01002017	削	3	9
n01002017	减	4	11
n01002017	相	2	9
n01002017	关	4	6
n01002017	演	3	14
n01002017	说	3	9
n01002017	的	3	8
n01002017	休	2	6
n01002017	息	2	10
n01002017	环	2	8
n01002017	节	2	5
n01002017	作	2	7
n01002017	为	1	4
n01002017	共	2	6
n01002017	和	2	8
n01002017	党	2	10
n01002017	候	3	10
n01002017	选	3	9
n01002017	人	1	2
n01002017	他	2	5
n01002017	曾	3	12
n01002017	宣	4	9
n01002017	称	3	10
n01002017	作	2	7
n01002017	为	1	4
n01002017	总	4	9
n01002017	统	4	9
n01002017	基	3	11
n01002017	于	1	3
n01002017	政	3	9
n01002017	绩	3	11
n01002017	的	3	8
n01002017	考	2	6
n01002017	量	4	12
n01002017	他	2	5
n01002017	将	3	9
n01002017	允	2	4
n01002017	许	3	6
n01002017	超	4	12
n01002017	大	1	3
n01002017	量	4	12
n01002017	合	2	6
n01002017	法	3	8
n01002017	移	3	11
n01002017	民	1	5
n01002032	所	2	8
n01002032	以	2	4
n01002032	我	1	7
n01002032	不	1	4
n01002032	想	3	13
n01002032	给	3	9
n01002032	你	3	7
n01002032	们	2	5
n01002032	施	2	9
n01002032	加	2	5
n01002032	哪	3	9
n01002032	怕	2	8
n01002032	一	1	1
n01002032	丁	1	2
n01002032	点	3	9
n01002032	的	3	8
n01002032	压	3	6
n01002032	力	1	2
n01002032	但	3	7
n01002032	你	3	7
n01002032	们	2	5
n01002032	肩	2	8
n01002032	负	2	6
n01002032	的	3	8
n01002032	是	2	9
n01002032	共	2	6
n01002032	和	2	8
n01002032	国	2	8
n01002032	的	3	8
n01002032	命	4	8
n01002032	运	3	7
n01002032	奥	2	12
n01002032	巴	1	4
n01002032	马	1	3
n01002032	对	2	5
n01002032	在	2	6
n01002032	北	2	5
n01002032	卡	2	12
n01002032	罗	2	8
n01002032	来	1	7
n01002032	纳	2	7
n01002032	大	1	3
n01002032	学	2	8
n01002032	运	3	7
n01002032	动	3	6
n01002032	场	2	6
n01002032	上	1	3
n01002032	的	3	8
n01002032	群	3	13
n01002032	众	3	6
n01002032	说	3	9
n01002032	道	2	14
n01002042	希	3	7
n01002042	拉	2	8
n01002042	里	2	7
n01002042	的	3	8
n01002042	巨	1	4
n01002042	额	4	15
n01002042	银	2	11
n01002042	行	3	6
n01002042	帐	2	7
n01002042	户	1	4
n01002042	使	2	8
n01002042	政	3	9
n01002042	府	3	8
n01002042	支	2	4
n01002042	出	2	5
n01002042	的	3	8
n01002042	突	3	9
n01002042	破	2	10
n01002042	了	1	2
n01002042	新	3	12
n01002042	上	1	3
n01002042	限	2	8
n01002058	她	2	6
n01002058	的	3	8
n01002058	所	2	8
n01002058	言	1	7
n01002058	所	2	8
n01002058	行	3	6
n01002058	简	3	13
n01002058	直	2	8
n01002058	令	3	5
n01002058	人	1	2
n01002058	难	2	10
n01002058	以	2	4
n01002058	置	3	13
n01002058	信	2	9
n01003007	最	3	12
n01003007	高	4	10
n01003007	限	2	8
n01003007	额	4	15
n01003007	为	1	4
n01003007	每	2	7
n01003007	人	1	2
n01003007	美	2	9
n01003007	元	2	4
n01003010	在	2	6
n01003010	十	1	2
n01003010	月	1	4
n01003010	初	2	7
n01003010	政	3	9
n01003010	权	2	6
n01003010	转	2	8
n01003010	移	3	11
n01003010	团	2	6
n01003010	队	2	4
n01003010	在	2	6
n01003010	同	2	6
n01003010	一	1	1
n01003010	场	2	6
n01003010	地	2	6
n01003010	会	3	6
n01003010	见	1	4
n01003010	了	1	2
n01003010	技	3	7
n01003010	术	2	5
n01003010	团	2	6
n01003010	队	2	4
n01003010	的	3	8
n01003010	说	3	9
n01003010	客	3	9
n01003010	代	2	5
n01003010	表	2	8
n01003010	他	2	5
n01003010	们	2	5
n01003010	分	2	4
n01003010	别	3	7
n01003010	来	1	7
n01003010	自	1	6
n01003010	公	2	4
n01003010	司	2	5
n01003010	美	2	9
n01003010	国	2	8
n01003010	电	1	5
n01003010	影	5	15
n01003010	协	2	6
n01003010	会	3	6
n01003010	美	2	9
n01003010	国	2	8
n01003010	消	3	10
n01003010	费	2	9
n01003010	科	2	9
n01003010	技	3	7
n01003010	协	2	6
n01003010	会	3	6
n01003010	及	1	3
n01003010	其	2	8
n01003010	他	2	5
n01003010	团	2	6
n01003010	体	2	7
n01003012	这	2	7
n01003012	次	2	6
n01003012	集	2	12
n01003012	会	3	6
n01003012	原	2	10
n01003012	本	1	5
n01003012	定	2	8
n01003012	在	2	6
n01003012	几	1	2
n01003012	个	2	3
n01003012	街	5	12
n01003012	区	2	4
n01003012	之	1	3
n01003012	外	2	5
n01003012	的	3	8
n01003012	街	5	12
n01003012	上	1	3
n01003012	华	3	6
n01003012	盛	3	11
n01003012	顿	2	10
n01003012	的	3	8
n01003012	私	2	7
n01003012	人	1	2
n01003012	大	1	3
n01003012	都	3	10
n01003012	会	3	6
n01003012	俱	3	10
