sent_id	clause_text	lds_n	word_n
n01003007	為+限額+最高+元+每人+5,000+美+	4	7
n01003013	過+也許+要求+著裝+於+沉悶+	2	6
n01006011	過+被+害人+曾+襲擊+告訴+目擊者+位+一+警方+在+月+四+嫌疑人+	7	14
n01007012	有+遊戲+與+生活+的+我們+日常+處+之+相似+	6	10
n01009027	不是+但+他+並+一直+都+孤獨+可能+現在+Khanzir+是+豬+隻+一+的+寂寞+	9	16
n01016032	缺少+手機+Mate+9+界面+個+一+像+助手+谷歌+Siri+或+的+蘋果+的+那樣+人工+智能+	10	18
n01018040	來+方案+該+通過+贊助+廣告+和+盈利+	4	8
n01019005	了+但是+專家+一些+安全+提出+對+設立+的+課程+該+意圖+及+的+背後+其+質疑+	9	17
n01022016	了+投資+的+方面+這+增長+在+年+2015+6%+至+元+2210億+美+	8	14
n01025045	說+縱觀+歷史+著+上+市場+國際+頭髮+一直+有+意義+的+層面+政治+Tarlo+	7	15
n01026016	選用+交警+深圳市+以前+曾+處罰+非+常規+	5	8
n01027007	是+人+這些+誰+	1	4
n01027030	著+爭論+的+有關+黨+民主+一直+圍繞+今年+身分+白人+男性+	8	12
n01039039	亮相+妻子+的+特朗普+梅拉尼亞+特朗普+自+以來+大會+的+七+月+共和黨+全國+代表+首次+於+中+活動+	10	19
n01043014	超過+超過+預算+的+它+年度+元+十四億+美+員工+人+6000+	6	12
n01043025	過時+報告+政府+聯邦+主動+工資+的+部門+每個+總績效+水平+和+獎金+是+但+發布+的+最新+網上+信息+2013-2014+年+兩+了+	13	24
n01050009	為+時間+的+目前+等候+8+週+	3	7
n01052004	歲+她+已經+84+高齡+	3	5
n01053041	說+了+呼聲+的+她+傳遍+世界+Leive+	4	8
n01059054	不能+但+這+並+抹殺+於+大+差異+的+之間+蘇拉+特朗普+和+羅馬+美國+和+相似性+的+它們+處+的+牠們+之+相似+	10	24
n01062049	結束+之後+廣告+了+	2	4
n01065073	沒有+但是+在+當中+她+行為+和+她+的+與+人+其它+並+東西+的+顯然+藝術性+	12	17
n01066093	說道+了+他+完全+忽視+健康+的+自己+妻子+的+他+愛麗絲+	6	12
n01069004	過+他+寫+參賽+克里斯蒂安+沃爾瑪爾+將+在+日+月+12+1+書+不少+的+關於+歷史+鐵路+	12	18
n01070016	在+船員+超過+名+330+船上+	3	6
n01072012	過+他+曾+工作+在+BBC+年+十+	5	8
n01073004	能+誰+阻止+澳大利亞隊+	1	4
n01076030	主張+他+嚴刑+	1	3
n01077018	遇上+方面+密碼+我+都+麻煩+	3	6
n01086031	可怕+那+確實+很+	3	4
n01092014	是+那麽+立場+的+澳大利亞+甚麽+	2	6
n01093007	說道+擬定+不+上限+捕撈+可能+鱈魚+的+凱爾特海+會+滅絕+官員+位+一+歐盟+	5	15
n01093025	了+主義者+自然+資源+保護+接受+聲明+的+委員會+	5	9
n01095019	用+天+第三+我+又+再+EMicro+	4	7
n01097041	了+我+發現+個+幾+	3	5
n01101017	防備+同時+香港+似乎+正+在+抗議+的+一+波+下+	8	11
n01105013	尋找+失常+但+現在+事+所有+都+了+並且+他+似乎+一直+在+答案+	9	14
n01112012	可以+消費者+刺激+需求+的+對+改變+	3	7
n01115005	會+他們+將+演出+在+日+月+六+十+週六+	6	10
n01116014	現代化+裙子+很+	2	3
